Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
assemblage ^nn++++=assemblage
contains ^vbz++++=contains
three ^cd++++=three
bifacially ^vb+++??+=bifacially
shaped ^vbd+++xvbn+=shaped
pieces ^nns++++=pieces.
. ^zz++++=EXTRAWORD
The ^ati++++=The
invasive ^nn+++??+=invasive
removals ^nns++++=removals
show ^vb+vprv+++=show
deep ^jj+atrb+++=deep
negative ^jj+atrb+++=negative
bulbs ^nns++++=bulbs
typical ^jj++++=typical
of ^in++++=of
hard ^jj+atrb+++=hard
hammer ^nn++++=hammer
percussion ^nn++++=percussion.
. ^zz++++=EXTRAWORD
Shaping ^nvbg+++xvbg+=Shaping
removals ^nns++++=removals
partially ^rb+down+++=partially
cover ^vb++++=cover
the ^ati++++=the
dorsal ^jj+atrb+++=dorsal
and ^cc+phrs+++=and
ventral ^jj+atrb+++=ventral
faces ^nns++++=faces
of ^in++++=of
the ^ati++++=the
blank ^jj++++=blank,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
retain ^vb++++=retain
cortical ^jj+atrb++??+=cortical
areas ^nns++++=areas
on ^in++++=on
the ^ati++++=the
dorsal ^jj+atrb+++=dorsal
surface ^nn++++=surface.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
is ^vbz+bez+vrb++=is
cordiform ^nn+++??+=cordiform
( ^zz++++=(
Fig ^np++++=Fig.
. ^zz++++=EXTRAWORD
10 ^cd++++=10
A ^at++++=A)
) ^zz++++=EXTRAWORD
but ^cc++++=but
the ^ati++++=the
two ^cd++++=two
others ^aps++++=others
are ^vb+ber+vrb++=are
more ^rbr++++=more
irregular ^nn++++=irregular
in ^in++++=in
shape ^nn++++=shape
and ^cc++++=and
asymmetrical ^nn+++??+=asymmetrical,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
led ^vprf+++xvbnx+=led
us ^pp1o+pp1+++=us
to ^to++++=to
qualify ^vbi++++=qualify
them ^pp3o+pp3+++=them
as ^ql++++=as
bifacial ^vb+++??+=bifacial
pieces ^nns++++=pieces
rather ^rb++++=rather
than ^in++++=than
as ^ql++++=as
bifaces ^nns++++=bifaces
( ^zz++++=(
fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
10 ^cd++++=10
b ^zz++++=B).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
