Aside ^rp++++=Aside
from ^in++++=from
ca ^np++++=ca.
. ^zz++++=EXTRAWORD
900 ^cd++++=900
reported ^vbn+vpub++xvbn+=reported
ocher ^nn+++??+=ocher
pieces ^nns++++=pieces,
, ^zz++++=EXTRAWORD
some ^dti++++=some
256 ^cd++++=256
materials ^nns++++=materials
are ^vb+ber+aux++=are
reported ^vpsv++agls+xvbnx+=reported
to ^to+vcmp+++=to
bear ^vbi+vprv+++=bear
traces ^nns++++=traces
of ^in++++=of
possible ^jj+atrb+++=possible
red ^jj+atrb+++=red
ocher ^nn+++??+=ocher
residues ^nns++++=residues
from ^in++++=from
the ^ati++++=the
Upper ^jjb++++=Upper
Paleolithic ^np+++??+=Paleolithic
sequence ^nn++++=sequence
at ^in++++=at
Hohle ^np+++??+=Hohle
Fels ^np+++??+=Fels.
. ^zz++++=EXTRAWORD
Natural ^jj+atrb+++=Natural
processes ^nns++++=processes
likely ^jj++++=likely
stained ^jj+++xvbn+=stained
many ^ap++++=many
of ^in++++=of
these ^dt+dem+++=these
artifacts ^nns+++??+=artifacts,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
in ^in++++=in
the ^ati++++=the
case ^nn++++=case
for ^in++++=for
most ^ap+emph+++=most
of ^in++++=of
the ^ati++++=the
104 ^cd++++=104
pieces ^nns++++=pieces
of ^in++++=of
limestone ^nn++++=limestone
that ^tht+rel+subj++=that
show ^vb+vprv+++=show
red ^jj+atrb+++=red
coloration ^nn+++??+=coloration
( ^zz++++=(most
most ^ql+emph+++=EXTRAWORD
likely ^jj++++=likely
owing ^in++++=owing
to ^in++++=to
weathering ^nn+++??+=weathering
or ^cc++++=or
surface ^nn++++=surface
oxidization ^nn+++??+=oxidization
processes ^nns++++=processes).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
six ^cd++++=six
of ^in++++=of
these ^dt+dem+++=these
limestone ^nn++++=limestone
pieces ^nns++++=pieces
date ^nn++++=date
to ^in++++=to
the ^ati++++=the
Magdalenian ^np+++??+=Magdalenian
and ^cc++++=and
bear ^vb+vprv+++=bear
intentionally ^rb++++=intentionally
painted ^vprf+++xvbn+=painted
red ^jj+atrb+++=red
ocher ^nn+++??+=ocher
on ^in++++=on
their ^pp$+pp3+++=their
surfaces ^nns++++=surfaces
in ^in++++=in
rows ^nns++++=rows
of ^in++++=of
painted ^xvbn+++xvbn+=painted
dots ^nns++++=dots
( ^zz++++=(
Conard ^np++++=Conard
and ^cc++++=and
Malina ^np+++??+=Malina,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
, ^zz++++=,
2011 ^cd++++=2011
, ^zz++++=,
2012 ^cd++++=2012
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
red ^jj+atrb+++=red
residues ^nns++++=residues
on ^in++++=on
these ^dt+dem+++=these
painted ^jj+atrb++xvbn+=painted
limestones ^nns+++??+=limestones
represent ^vb++++=represent
a ^at++++=a
style ^nn++++=style
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
unique ^jj+pred+++=unique
to ^in++++=to
southern ^np++++=southern
Germany ^np++++=Germany;
; ^zz++++=EXTRAWORD
currently ^rb+cnj+++=currently,
, ^zz++++=EXTRAWORD
similar ^jj+atrb+++=similar
pieces ^nns++++=pieces
have ^vb+hv+aux++=have
only ^rb+down+splt++=only
been ^vprf+ben+aux+xvbnx+=been
found ^vpsv++agls+xvbnx+=found
at ^rb++++=at
the ^ati++++=the
Klausenh ^np+++??+=Klausenh
hle ^nn+++??+=hle
cave ^nn++++=cave
sites ^nns++++=sites
in ^in++++=in
Bavaria ^np++++=Bavaria
( ^zz++++=(Huber
huber ^nn+++??+=EXTRAWORD
and ^cc++++=and
Floss ^np+++??+=Floss,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition,
, ^zz++++=EXTRAWORD
other ^ap++++=other
ocher ^nn+++??+=ocher-stained
- ^zz++++=EXTRAWORD
stained ^jj+atrb++xvbn+=EXTRAWORD
artifacts ^nns+++??+=artifacts
attest ^vb++++=attest
to ^to++++=to
how ^wrb+who+++=how
people ^nns++++=people
deliberately ^rb++++=deliberately
used ^vbd+++xvbn+=used
ocher ^nn+++??+=ocher
pigments ^nns++++=pigments
at ^in++++=at
the ^ati++++=the
cave ^nn++++=cave
site ^nn++++=site.
. ^zz++++=EXTRAWORD
Bones ^nns++++=Bones,
, ^zz++++=EXTRAWORD
shells ^nns++++=shells,
, ^zz++++=EXTRAWORD
fossil ^nn++++=fossil
mollusks ^nns+++??+=mollusks,
, ^zz++++=EXTRAWORD
pieces ^nns++++=pieces
of ^in++++=of
ivory ^nn++++=ivory,
, ^zz++++=EXTRAWORD
animal ^nn++++=animal
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
personal ^jj+atrb+++=personal
ornaments ^nns++++=ornaments
are ^vb+ber+vrb++=are
all ^abn++++=all
examples ^nns++++=examples
of ^in++++=of
material ^nn++++=material
types ^nns++++=types
that ^tht+rel+subj++=that
bear ^vb+vprv+++=bear
red ^jj+atrb+++=red
colorants ^nns+++??+=colorants
( ^zz++++=(
velliky ^np++++=Velliky
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
