The ^ati++++=The
shape ^nn++++=shape
of ^in++++=of
the ^ati++++=the
maxillae ^nn+++??+=maxillae
was ^vbd+bedz+aux++=was
captured ^vpsv++by+xvbnx+=captured
by ^in++++=by
68 ^cd++++=68
3d ^cd++++=3D
landmarks ^nns++++=landmarks
( ^zz++++=(
Table ^np++++=Table
3 ^zz++++=3
; ^zz++++=;
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
1 ^zz++++=1
) ^zz++++=)
that ^dt+pdem+++=that
were ^vbd+bed+aux++=were
placed ^vpsv++agls+xvbnx+=placed
on ^in++++=on
the ^ati++++=the
surfaces ^nns++++=surfaces
and ^cc++++=and
recorded ^jj+atrb++xvbn+=recorded
using ^jj+++xvbg+=using
Avizo ^np+++??+=Avizo
v ^zz++++=v.
. ^zz++++=EXTRAWORD
7.1 ^cd++++=7.1.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
landmarks ^nns++++=landmarks
describe ^vb++++=describe
the ^ati++++=the
orientation ^nn++++=orientation
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
relative ^jj+atrb+++=relative
position ^nn++++=position
and ^cc++++=and
size ^nn++++=size
of ^in++++=of
the ^ati++++=the
upper ^jjb+atrb+++=upper
dental ^jj+atrb+++=dental
arcade ^nn++++=arcade
( ^zz++++=(excluding
excluding ^vbg+++xvbg+=EXTRAWORD
the ^ati++++=the
third ^od++++=third
molar ^vb+++??+=molar
alveolus ^nns+++??+=alveolus),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
midline ^nn+++??+=midline
palate ^nn++++=palate
and ^cc++++=and
subnasal ^jj+atrb++??+=subnasal
area ^nn++++=area,
, ^zz++++=EXTRAWORD
the ^ati++++=the
takeoff ^nn+++??+=takeoff
of ^in++++=of
the ^ati++++=the
zygomatic ^nn+++??+=zygomatic
process ^nn++++=process,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
inferior ^jj+atrb+++=inferior
parts ^nns++++=parts
of ^in++++=of
the ^ati++++=the
nasal ^jj+atrb+++=nasal
aperture ^nn++++=aperture
and ^cc++++=and
orbits ^nns++++=orbits.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
core ^nn++++=core
landmark ^nn++++=landmark
configuration ^nn++++=configuration
quantifies ^nns+++??+=quantifies
the ^ati++++=the
main ^jjb+atrb+++=main
maxillary ^nn+++??+=maxillary
architecture ^nn++++=architecture,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
not ^xnot++not++=not
relying ^vbg+++xvbg+=relying
on ^in++++=on
sliding ^xvbg+++xvbg+=sliding
semilandmarks ^nns+++??+=semilandmarks,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
particularly ^rb++++=particularly
easy ^jj+pred+++=easy
to ^to+jcmp+++=to
adapt ^vbi++++=adapt
in ^in++++=in
future ^jjb+atrb+++=future
studies ^nns++++=studies
when ^wrb+who+++=when
combining ^vbg+++xvbg+=combining
the ^ati++++=the
extant ^jj+atrb+++=extant
sample ^nn++++=sample
explored ^vbd+++xvbn+=explored
here ^rn+pl+++=here
with ^in++++=with
the ^ati++++=the
variably ^nn++++=variably
preserved ^vwbn+++xvbn+=preserved
hominin ^nn+++??+=hominin
fossil ^nn++++=fossil
record ^nn++++=record.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
record ^nn++++=record
zygomaxillare ^nn+++??+=zygomaxillare
because ^cs+cos+++=because
the ^ati++++=the
zygomaxillary ^nn+++??+=zygomaxillary
suture ^nn+++??+=suture
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
visible ^jj++++=visible
externally ^rb++++=externally
and ^cc+phrs+++=and
internally ^rb++++=internally
in ^in++++=in
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
African ^jj+atrb+++=African
ape ^nn++++=ape
sample ^nn++++=sample,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
