South ^nr+pl+++=South-western
- ^zz++++=EXTRAWORD
western ^jj+atrb+++=EXTRAWORD
European ^jj+atrb+++=European
conditions ^nns++++=conditions
were ^vbd+bed+vrb++=were
clearly ^rb++++=clearly
warmer ^jjr++++=warmer
overall ^jjb++++=overall
( ^zz++++=(
Fig ^np++++=Fig.
. ^zz++++=EXTRAWORD
20 ^cd++++=20
) ^zz++++=)
in ^in++++=in
both ^abx++++=both
Mis ^npt++++=MIS
11 ^cd++++=11
( ^zz++++=(Ambrona,
ambrona ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
ridos ^nns+++??+=ridos
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
Aroeira ^np+++??+=Aroeira,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Trinchera ^np+++??+=Trinchera
Dolina ^np+++??+=Dolina
10.3 ^cd++++=10.3)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Mis ^npt++++=MIS
12 ^cd++++=12
( ^zz++++=(Caune
caune ^nn+++??+=EXTRAWORD
de ^&fw++++=de
l ^zz++++=l
Arago ^np+++??+=Arago
and ^cc++++=and
Sima ^np+++??+=Sima
de ^&fw++++=de
los ^&fw++++=los
Huesos ^np+++??+=Huesos),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
a ^at++++=a
likely ^jj+atrb+++=likely
role ^nn++++=role
for ^in++++=for
these ^dt+dem+++=these
areas ^nns++++=areas
as ^in++++=as
glacial ^jj+atrb+++=glacial
refugia ^nn+++??+=refugia
( ^zz++++=(
Stewart ^np++++=Stewart
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
) ^zz++++=)
and ^cc++++=and
potential ^jj+atrb+++=potential
population ^nn++++=population
sources ^nns++++=sources
after ^in++++=after
periods ^nns++++=periods
of ^in++++=of
hominin ^nn+++??+=hominin
extirpation ^nn+++??+=extirpation
in ^in++++=in
northern ^np++++=northern
Europe ^np++++=Europe.
. ^zz++++=EXTRAWORD
Marine ^jj+atrb+++=Marine
Isotope ^np+++??+=Isotope
Stage ^nn++++=Stage
12 ^cd++++=12
occupations ^nns++++=occupations
in ^in++++=in
western ^jj+atrb+++=western
Europe ^np++++=Europe
are ^vb+ber+aux++=are
predominantly ^rb++splt++=predominantly
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
the ^ati++++=the
south ^nr+pl+++=south-west,
- ^zz++++=EXTRAWORD
west ^np+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
conditions ^nns++++=conditions
were ^vbd+bed+vrb++=were
relatively ^rb++++=relatively
stable ^nn++++=stable
( ^zz++++=(
L ^zz++++=L
pez ^np++++=pez-Garc
- ^zz++++=EXTRAWORD
garc ^nn+++??+=EXTRAWORD
a ^at++++=a
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021
) ^zz++++=),
, ^zz++++=EXTRAWORD
in ^in++++=in
marked ^jj+atrb++xvbn+=marked
contrast ^nn++++=contrast
to ^in++++=to
northern ^jj+atrb+++=northern
sites ^nns++++=sites
associated ^vbd+++xvbn+=associated
with ^in++++=with
Mis ^npt++++=MIS
12 ^cd++++=12
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ostend ^np+++??+=Ostend)
) ^zz++++=EXTRAWORD
or ^cc++++=or
Mis ^npt++++=MIS
11 ^cd++++=11
cold ^jj+atrb+++=cold
substages ^nns+++??+=substages
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Quinton ^np+++??+=Quinton
Faunal ^np+++??+=Faunal
Unit ^nn++++=Unit
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
also ^rb++++=also
possible ^jj+pred+++=possible
that ^tht+jcmp+++=that
the ^ati++++=the
favorable ^&fw++++=favorable
Mis ^npt++++=MIS
12 ^cd++++=12
conditions ^nns++++=conditions
suggested ^vbd+vpub++xvbn+=suggested
at ^rb++++=at
Sima ^np+++??+=Sima
de ^&fw++++=de
los ^&fw++++=los
Huesos ^np+++??+=Huesos
reflect ^vb+vprv+++=reflect
a ^at++++=a
temporary ^jj+atrb+++=temporary
