Broadly ^rb+cnj+++=Broadly,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
studies ^nns++++=studies
revealed ^vbd+vprv++xvbn+=revealed
that ^tht+vcmp+++=that
despite ^in++++=despite
postural ^jj+atrb+++=postural
differences ^nns++++=differences
in ^in++++=in
mammals ^nns++++=mammals,
, ^zz++++=EXTRAWORD
no ^at++++=no
substantial ^jj+atrb+++=substantial
differences ^nns++++=differences
exist ^vb++++=exist
among ^in++++=among
taxa ^nn+++??+=taxa
in ^in++++=in
maintaining ^xvbg+++xvbg+=maintaining
cranial ^nn+++??+=cranial
balance ^nn++++=balance
against ^in++++=against
gravity ^nn++++=gravity
at ^rb++++=at
rest ^nn++++=rest
( ^zz++++=(
Vidal ^np++++=Vidal
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1986 ^cd+date+++=1986
; ^zz++++=;
Graf ^np+++??+=Graf
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1995a ^cd++++=1995a
, ^zz++++=,
b ^zz++++=b
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
passive ^jj+atrb+++=passive
posture ^nn++++=posture,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mammal ^nn+++??+=mammal
neck ^nn++++=neck
adopts ^nns+++??+=adopts
an ^at++++=an
s ^zz++++=s-shaped
- ^zz++++=EXTRAWORD
shaped ^jj+atrb++xvbn+=EXTRAWORD
vertical ^jj+atrb+++=vertical
position ^nn++++=position
to ^in++++=to
minimize ^nn+++??+=minimize
the ^ati++++=the
distance ^nn++++=distance
between ^in++++=between
the ^ati++++=the
mass ^nn++++=mass
of ^in++++=of
the ^ati++++=the
head ^nn++++=head
and ^cc++++=and
the ^ati++++=the
weight ^nn++++=weight-bearing
- ^zz++++=EXTRAWORD
bearing ^vbg+++xvbg+=EXTRAWORD
cervicothoracic ^nn+++??+=cervicothoracic
junction ^nn++++=junction,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus
reducing ^jj+atrb++xvbg+=reducing
dorsal ^jj+atrb+++=dorsal
neck ^nn++++=neck
muscular ^jj++++=muscular
stress ^vb+vpub+++=stress
( ^zz++++=(
Vidal ^np++++=Vidal
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1986 ^cd+date+++=1986
; ^zz++++=;
Graf ^np+++??+=Graf
and ^cc++++=and
Wilson ^np++++=Wilson,
, ^zz++++=EXTRAWORD
1989 ^cd+date+++=1989
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
quadrupeds ^nns++++=quadrupeds,
, ^zz++++=EXTRAWORD
the ^ati++++=the
vertical ^jj+atrb+++=vertical
position ^nn++++=position
of ^in++++=of
the ^ati++++=the
neck ^nn++++=neck
requires ^vbz++++=requires
high ^jj+atrb+++=high
dorsiflexion ^nn+++??+=dorsiflexion
of ^in++++=of
the ^ati++++=the
cervicothoracic ^nn+++??+=cervicothoracic
articulation ^nn++++=articulation
( ^zz++++=(C6
c6 ^nn+++??+=EXTRAWORD
T2 ^zz++++=T2)
) ^zz++++=EXTRAWORD
and ^cc++++=and
hyperextension ^nn+++??+=hyperextension
of ^in++++=of
the ^ati++++=the
atlanto ^nn+++??+=atlanto-occipital
- ^zz++++=EXTRAWORD
occipital ^nn+++??+=EXTRAWORD
joint ^jjb++++=joint,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
also ^rb++++=also
allows ^vbz++++=allows
the ^ati++++=the
adjustment ^nn++++=adjustment
of ^in++++=of
head ^jjb+atrb+++=head
orientation ^nn++++=orientation
and ^cc++++=and
gaze ^nn++++=gaze
( ^zz++++=(
Vidal ^np++++=Vidal
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1986 ^cd+date+++=1986
; ^zz++++=;
White ^jj++++=White
and ^cc++++=and
Panjabi ^np+++??+=Panjabi,
, ^zz++++=EXTRAWORD
1990 ^cd+date+++=1990
; ^zz++++=;
Graf ^np+++??+=Graf
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1995a ^cd++++=1995a
; ^zz++++=;
Nalley ^np+++??+=Nalley
and ^cc++++=and
Grider ^np+++??+=Grider-Potter,
- ^zz++++=EXTRAWORD
potter ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
important ^jj+atrb+++=important
functional ^jj+atrb+++=functional
role ^nn++++=role
played ^vwbn+++xvbn+=played
by ^in++++=by
the ^ati++++=the
cranial ^nn+++??+=cranial
and ^cc++++=and
caudal ^jj+atrb++??+=caudal
cervical ^jj+atrb+++=cervical
modules ^nns+++??+=modules
contrasts ^nns++++=contrasts
with ^in++++=with
the ^ati++++=the
midcervical ^nn+++??+=midcervical
module ^nn+++??+=module,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
mainly ^rb++splt++=mainly
circumscribed ^vpsv++agls+xvbnx+=circumscribed
to ^in++++=to
axial ^jj+atrb++??+=axial
rotation ^nn++++=rotation
and ^cc++++=and
does ^vbz+doz+aux++=does
not ^xnot++not++=not
show ^vb+vprv+++=show
functional ^jj+atrb+++=functional
specializations ^nns+++??+=specializations
( ^zz++++=(
Graf ^np++++=Graf
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1995a ^cd++++=1995a
, ^zz++++=,
b ^zz++++=b
; ^zz++++=;
Arnold ^np++++=Arnold,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
) ^zz++++=).
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
species ^nns++++=species
that ^tht+rel+subj++=that
do ^vb+do+aux++=do
not ^xnot++not++=not
display ^vb++++=display
a ^at++++=a
complete ^jj+atrb+++=complete
quadrupedal ^nn+++??+=quadrupedal
posture ^nn++++=posture,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
some ^dti++++=some
primates ^nns+++??+=primates,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
especially ^rb++++=especially
modern ^jj+atrb+++=modern
humans ^nns++++=humans,
, ^zz++++=EXTRAWORD
show ^vb+vprv+++=show
a ^at++++=a
more ^rbr++++=more
limited ^jj+atrb++xvbn+=limited
range ^nn++++=range
of ^in++++=of
motion ^nn++++=motion
in ^in++++=in
the ^ati++++=the
atlanto ^nn+++??+=atlanto-occipital
- ^zz++++=EXTRAWORD
occipital ^nn+++??+=EXTRAWORD
articulation ^nn++++=articulation;
; ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
circumscribe ^nn+++??+=circumscribe
most ^ql+emph+++=most
of ^in++++=of
the ^ati++++=the
craniocervical ^nn+++??+=craniocervical
motions ^nns++++=motions
in ^in++++=in
the ^ati++++=the
midsagittal ^nn+++??+=midsagittal
plane ^nn++++=plane
to ^in++++=to
the ^ati++++=the
cervicothoracic ^nn+++??+=cervicothoracic
articulation ^nn++++=articulation
( ^zz++++=(
White ^np++++=White
and ^cc++++=and
Panjabi ^np+++??+=Panjabi,
, ^zz++++=EXTRAWORD
1990 ^cd+date+++=1990
; ^zz++++=;
Graf ^np+++??+=Graf
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1995a ^cd++++=1995a
, ^zz++++=,
b ^zz++++=b
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
relatively ^rb++++=relatively
slight ^jj+atrb+++=slight
differences ^nns++++=differences
observed ^vbd+vprv++xvbn+=observed
at ^rb++++=at
rest ^nn++++=rest
between ^in++++=between
quadrupedal ^nn+++??+=quadrupedal
and ^cc++++=and
nonquadrupedal ^nn+++??+=nonquadrupedal
mammals ^nns++++=mammals
increase ^nn++++=increase
during ^in++++=during
locomotion ^nn+++??+=locomotion.
. ^zz++++=EXTRAWORD
The ^ati++++=The
former ^ap++++=former
reorients ^nns+++??+=reorients
the ^ati++++=the
neck ^nn++++=neck
horizontally ^rb++++=horizontally
during ^in++++=during
exertion ^nn++++=exertion,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
humans ^nns++++=humans
and ^cc++++=and
plausibly ^rb++++=plausibly
other ^ap++++=other
upright ^jj+atrb+++=upright
mammals ^nns++++=mammals
do ^vb+do+vrb++=do
not ^xnot++not++=not
( ^zz++++=(
Vidal ^np++++=Vidal
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1986 ^cd+date+++=1986
; ^zz++++=;
Graf ^np+++??+=Graf
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1995a ^cd++++=1995a
, ^zz++++=,
b ^zz++++=b
; ^zz++++=;
Dunbar ^np+++??+=Dunbar
and ^cc++++=and
Badam ^np+++??+=Badam,
, ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998
; ^zz++++=;
strait ^nn++++=Strait
and ^cc++++=and
ross ^np++++=Ross,
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999
) ^zz++++=).
. ^zz++++=EXTRAWORD
