Previously ^rb+cnj+++=Previously,
, ^zz++++=EXTRAWORD
fragmentation ^nn++++=fragmentation
in ^in++++=in
the ^ati++++=the
health ^nn++++=health
care ^nn++++=care
system ^nn++++=system
had ^vbd+hvd+aux++=had
prevented ^vprf+++xvbnx+=prevented
differently ^rb++++=differently
located ^xvbn+++xvbn+=located
clinicians ^nns+++??+=clinicians
from ^in++++=from
learning ^xvbg+++xvbg+=learning
from ^in++++=from
each ^dt++++=each
other ^ap++++=other
or ^cc++++=or
from ^in++++=from
understanding ^xvbg+++xvbg+=understanding
why ^wrb+who+++=why
a ^at++++=a
potential ^jj+atrb+++=potential
solution ^nn++++=solution
that ^tht+rel+subj++=that
seemed ^vprf+++xvbn+=seemed
straightforward ^jj++++=straightforward
from ^in++++=from
one ^cd1++++=one
standpoint ^nn++++=standpoint
was ^vbd+bedz+vrb++=was
unworkable ^nn+++??+=unworkable
from ^in++++=from
another ^dt++++=another.
. ^zz++++=EXTRAWORD
Mapping ^nn++++=Mapping
not ^xnot++not++=not
only ^rb+down+++=only
articulated ^vb+++??+=articulated
the ^ati++++=the
problem ^nn++++=problem
through ^in++++=through
a ^at++++=a
variety ^nn++++=variety
of ^in++++=of
lenses ^nns++++=lenses
( ^zz++++=(legal,
legal ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
technical ^jj++++=technical,
, ^zz++++=EXTRAWORD
clinical ^jj++++=clinical,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
administrative ^jj++++=administrative),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
engaged ^xvbn+++xvbn+=engaged
individuals ^nns++++=individuals
in ^in++++=in
solutions ^nns++++=solutions-development
- ^zz++++=EXTRAWORD
development ^nn++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
way ^nn++++=way
that ^tht+rel+subj++=that
transcended ^vbd+++xvbn+=transcended
traditional ^jj+atrb+++=traditional
siloes ^nns+++??+=siloes.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
Imit ^np+++??+=IMIT
workers ^nns++++=workers
valued ^vwbn+++xvbn+=valued
the ^ati++++=the
opportunity ^nn++++=opportunity
to ^to+ncmp+++=to
hear ^vbi+vprv+++=hear
how ^wrb+who+whcl++=how
their ^pp$+pp3+++=their
back ^rp++++=back-end
- ^zz++++=EXTRAWORD
end ^nn++++=EXTRAWORD
work ^nn++++=work
would ^md+prd+++=would
enable ^vb++++=enable
better ^jjr+atrb+++=better
patient ^nn++++=patient
care ^nn++++=care,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
clinicians ^nns+++??+=clinicians
gained ^vbd+++xvbn+=gained
an ^at++++=an
appreciation ^nn++++=appreciation
of ^in++++=of
the ^ati++++=the
technical ^jj+atrb+++=technical
complexities ^nns++++=complexities
of ^in++++=of
health ^nn++++=health
in ^in++++=in
the ^ati++++=the
digital ^jj+atrb+++=digital
age ^nn++++=age.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
mapping ^nn++++=mapping
had ^vb+hv+vrb++=had
the ^ati++++=the
secondary ^jj+atrb+++=secondary
benefit ^nn++++=benefit
of ^in++++=of
strengthening ^xvbg+++xvbg+=strengthening
relationships ^nns++++=relationships
between ^in++++=between
groups ^nns++++=groups
within ^in++++=within
the ^ati++++=the
health ^nn++++=health
authority ^nn++++=authority,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
clinicians ^nns+++??+=clinicians
and ^cc++++=and
Imit ^np+++??+=IMIT
personnel ^nns++++=personnel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
also ^rb++++=also
between ^in++++=between
groups ^nns++++=groups
in ^in++++=in
different ^jj+atrb+++=different
care ^nn++++=care
settings ^nns++++=settings.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
debriefing ^nn+++??+=debriefing
session ^nn++++=session
with ^in++++=with
the ^ati++++=the
oversight ^nn++++=oversight
committee ^nn++++=committee,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
member ^nn++++=member
explained ^vbd+vpub++xvbn+=explained,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
the ^ati++++=the
initial ^jj+atrb+++=initial
meetings ^nns++++=meetings
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
important ^jj++++=important.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
really ^rb+emph+++=really
opened ^vbd+++xvbn+=opened
up ^rp++++=up
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
information ^nn++++=information
we ^pp1a+pp1+++=we
hadn ^nn++++=hadn
t ^zz++++=t
considered ^vbd+vprv++xvbn+=considered
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
