Some ^dti++++=Some
mean ^jj+atrb+++=mean
shape ^nn++++=shape
differences ^nns++++=differences
suggest ^vb+vpub+++=suggest
more ^ql++++=more
taxon ^nn+++??+=taxon-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
changes ^nns++++=changes,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
reduction ^nn++++=reduction
in ^in++++=in
anterior ^jj+atrb+++=anterior
projection ^nn++++=projection
of ^in++++=of
the ^ati++++=the
snout ^nn++++=snout
in ^in++++=in
G ^zz++++=G.
. ^zz++++=EXTRAWORD
gorilla ^nn+++??+=gorilla
and ^cc++++=and
G ^zz++++=G.
. ^zz++++=EXTRAWORD
beringei ^nn+++??+=beringei
and ^cc++++=and
the ^ati++++=the
inferior ^jj+atrb+++=inferior
rotation ^nn++++=rotation
of ^in++++=of
the ^ati++++=the
subnasal ^nn+++??+=subnasal
area ^nn++++=area
in ^in++++=in
P ^zz++++=P.
. ^zz++++=EXTRAWORD
paniscus ^nns+++??+=paniscus
. ^zz++++=.
These ^dt+dem+++=These
contrast ^nn++++=contrast
with ^in++++=with
the ^ati++++=the
pattern ^nn++++=pattern
of ^in++++=of
increased ^jj+atrb++xvbn+=increased
facial ^jj+atrb+++=facial
prognathism ^nn+++??+=prognathism
and ^cc++++=and
upward ^jjb+atrb+++=upward
rotation ^nn++++=rotation
of ^in++++=of
the ^ati++++=the
anterior ^nn++++=anterior
maxilla ^vb+++??+=maxilla
reported ^vbd+vpub++xvbn+=reported
for ^in++++=for
hominine ^nn+++??+=hominine
postnatal ^nn+++??+=postnatal
development ^nn++++=development
overall ^jjb++++=overall
( ^zz++++=(
Schultz ^np++++=Schultz,
, ^zz++++=EXTRAWORD
1950 ^cd+date+++=1950
, ^zz++++=,
1962 ^cd+date+++=1962
, ^zz++++=,
1969 ^cd+date+++=1969
; ^zz++++=;
Krogman ^np+++??+=Krogman,
, ^zz++++=EXTRAWORD
1969 ^cd+date+++=1969
; ^zz++++=;
Mccollum ^np+++??+=McCollum
and ^cc++++=and
Ward ^nn++++=Ward,
, ^zz++++=EXTRAWORD
1997 ^cd+date+++=1997
; ^zz++++=;
Cobb ^np+++??+=Cobb
and ^cc++++=and
O ^zz++++=O'Higgins,
'higgins, ^nn+++??+=EXTRAWORD
2004 ^cd++++=2004
) ^zz++++=),
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
our ^pp$+pp1+++=our
findings ^nns++++=findings
may ^md+pos+++=may
represent ^vb++++=represent
localized ^jj+atrb++??+=localized
ontogenetic ^jj+atrb+++=ontogenetic
changes ^nns++++=changes
in ^in++++=in
late ^jj+atrb+++=late
juveniles ^nns++++=juveniles,
, ^zz++++=EXTRAWORD
specific ^jj++++=specific
to ^in++++=to
particular ^jj+atrb+++=particular
taxa ^nn++++=taxa
only ^rb+down+++=only.
. ^zz++++=EXTRAWORD
