Age ^nn++++=Age
range ^nn++++=range
Early ^jj+atrb+++=Early
Pliocene ^np+++??+=Pliocene
( ^zz++++=(MN14,
mn14 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Ruscinian ^np+++??+=Ruscinian)
) ^zz++++=EXTRAWORD
to ^in++++=to
late ^jj+atrb+++=late
Early ^jj+atrb+++=Early
Pleistocene ^np+++??+=Pleistocene
( ^zz++++=(ca.
ca ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
800 ^cd++++=800
ka ^nn+++??+=ka;
; ^zz++++=EXTRAWORD
Reumer ^np+++??+=Reumer,
, ^zz++++=EXTRAWORD
1984 ^cd+date+++=1984
; ^zz++++=;
botka ^np++++=Botka
and ^cc++++=and
m ^zz++++=M
sz ^nn++++=sz
ros ^nns++++=ros,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
) ^zz++++=).
. ^zz++++=EXTRAWORD
