Dental ^jj+atrb+++=Dental
morphology ^nn++++=morphology
and ^cc++++=and
dimensions ^nns++++=dimensions
of ^in++++=of
the ^ati++++=the
Marathousa ^np+++??+=Marathousa
1 ^zz++++=1
specimen ^nn++++=specimen
permit ^vb++++=permit
its ^pp$+it+++=its
attribution ^nn++++=attribution
to ^in++++=to
the ^ati++++=the
Barbary ^np+++??+=Barbary
macaque ^nn+++??+=macaque
M ^zz++++=M.
. ^zz++++=EXTRAWORD
sylvanus ^nns+++??+=sylvanus
. ^zz++++=.
Although ^cs+con+++=Although
clear ^jj++++=clear-cut
- ^zz++++=EXTRAWORD
cut ^vb+++xvbn+=EXTRAWORD
diagnostic ^nn+++??+=diagnostic
criteria ^nns++++=criteria
for ^in++++=for
the ^ati++++=the
fossil ^nn++++=fossil
subspecies ^nns+++??+=subspecies
are ^vb+ber+aux++=are
currently ^rb++splt++=currently
lacking ^vbg+++xvbgx+=lacking,
, ^zz++++=EXTRAWORD
the ^ati++++=the
multivariate ^nn+++??+=multivariate
( ^zz++++=(PCA)
pca ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
analysis ^nn++++=analysis
of ^in++++=of
molar ^nn+++??+=molar
crown ^nn++++=crown
dimensions ^nns++++=dimensions
supports ^vbz++++=supports
an ^at++++=an
attribution ^nn++++=attribution
of ^in++++=of
Mar ^vb++++=MAR-1-9B
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
9b ^cd++++=EXTRAWORD
to ^in++++=to
M ^zz++++=M.
. ^zz++++=EXTRAWORD
s ^zz++++=s.
. ^zz++++=EXTRAWORD
cf ^vb++++=cf.
. ^zz++++=EXTRAWORD
pliocena ^nn+++??+=pliocena
, ^zz++++=,
in ^in++++=in
agreement ^nn++++=agreement
with ^in++++=with
its ^pp$+it+++=its
chronology ^nn++++=chronology
but ^cc++++=but
pending ^in++++=pending
future ^jjb+atrb+++=future
discoveries ^nns++++=discoveries
and ^cc++++=and
the ^ati++++=the
clarification ^nn++++=clarification
of ^in++++=of
the ^ati++++=the
differential ^nn++++=differential
diagnoses ^vbz++++=diagnoses
among ^in++++=among
the ^ati++++=the
fossil ^nn++++=fossil
macaque ^nn++++=macaque
subspecies ^nns++++=subspecies.
. ^zz++++=EXTRAWORD
