Intraspecific ^np+++??+=Intraspecific
static ^jj+atrb+++=static
allometry ^nn+++??+=allometry
was ^vbd+bedz+aux++=was
explored ^vpsv++agls+xvbnx+=explored
in ^in++++=in
the ^ati++++=the
adult ^jj+atrb+++=adult
sample ^nn++++=sample
of ^in++++=of
each ^dt++++=each
species ^nns++++=species
through ^in++++=through
Procrustes ^np+++??+=Procrustes
analyses ^nns++++=analyses
of ^in++++=of
variance ^nn++++=variance
with ^in++++=with
permutation ^nn++++=permutation
procedures ^nns++++=procedures
( ^zz++++=(aim
aim ^nn++++=EXTRAWORD
6 ^zz++++=6).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
To ^to++++=To
assess ^vbi++++=assess
if ^cs+cnd+++=if
sex ^nn++++=sex
should ^md+nec+++=should
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
when ^wrb+who+whcl++=when
adjusting ^jj+++xvbg+=adjusting
for ^in++++=for
allometry ^nn+++??+=allometry,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
tested ^vbd+++xvbn+=tested
three ^cd++++=three
regression ^nn++++=regression
models ^nns++++=models
for ^in++++=for
each ^dt++++=each
species ^nns++++=species
separately ^rb++++=separately:
: ^zz++++=EXTRAWORD
one ^pn++++=one
including ^in++++=including
only ^ap+down+++=only
size ^nn++++=size
( ^zz++++=(shape
shape ^nn++++=EXTRAWORD
size ^nn++++=size),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
second ^od++++=second
including ^in++++=including
size ^nn++++=size
and ^cc++++=and
sex ^nn++++=sex
( ^zz++++=(shape
shape ^nn++++=EXTRAWORD
size ^nn++++=size
+ ^zz++++=+
sex ^nn++++=sex),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
third ^nn++++=third
including ^in++++=including
size ^nn++++=size,
, ^zz++++=EXTRAWORD
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
interaction ^nn++++=interaction
between ^in++++=between
size ^nn++++=size
and ^cc++++=and
sex ^nn++++=sex
( ^zz++++=(shape
shape ^nn++++=EXTRAWORD
size ^nn++++=size
sex ^nn++++=sex).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
lowest ^jjt++++=lowest
Akaike ^np+++??+=Akaike
information ^nn++++=information
criterion ^nn++++=criterion
values ^nns++++=values,
, ^zz++++=EXTRAWORD
showing ^vbg+vprv++xvbg+=showing
which ^wdt+who+whcl++=which
model ^nn++++=model
fits ^vbz++++=fits
the ^ati++++=the
data ^nns++++=data
best ^jjt++++=best,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^od++++=first
regression ^nn++++=regression
model ^nn++++=model
including ^in++++=including
only ^ap+down+++=only
size ^nn++++=size
was ^vbd+bedz+aux++=was
chosen ^vpsv++agls+xvbnx+=chosen
for ^in++++=for
all ^abn++++=all
species ^nns++++=species.
. ^zz++++=EXTRAWORD
Further ^jjb+atrb+++=Further
analyses ^nns++++=analyses
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
for ^in++++=for
those ^dt+dem+++=those
species ^nn++++=species
with ^in++++=with
a ^at++++=a
significant ^jj+atrb+++=significant
size ^nn++++=size-shape
- ^zz++++=EXTRAWORD
shape ^nn++++=EXTRAWORD
regression ^nn++++=regression.
. ^zz++++=EXTRAWORD
Allometric ^np+++??+=Allometric
effects ^nns++++=effects
were ^vbd+bed+aux++=were
explored ^vpsv++by+xvbnx+=explored
by ^in++++=by
predicting ^xvbg+++xvbg+=predicting
and ^cc++++=and
then ^rn+tm+++=then
comparing ^vbg+++xvbg+=comparing
the ^ati++++=the
maxillary ^nn+++??+=maxillary
shape ^nn++++=shape
of ^in++++=of
the ^ati++++=the
smallest ^jjt+atrb+++=smallest
and ^cc+phrs+++=and
largest ^jjt+atrb+++=largest
centroid ^nn++++=centroid
size ^nn++++=size
for ^in++++=for
each ^dt++++=each
species ^nns++++=species
using ^vwbg+++xvbg+=using
the ^ati++++=the
size ^nn++++=size-shape
- ^zz++++=EXTRAWORD
shape ^nn++++=EXTRAWORD
regressions ^nns+++??+=regressions.
. ^zz++++=EXTRAWORD
To ^to++++=To
investigate ^vbi++++=investigate
how ^wrb+who+++=how
static ^jj+atrb+++=static
intraspecific ^nn+++??+=intraspecific
allometry ^nn+++??+=allometry
impacts ^nns+++??+=impacts
shape ^nn++++=shape
comparisons ^nns++++=comparisons
between ^in++++=between
two ^cd++++=two
taxa ^nn+++??+=taxa,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
obtained ^vbd+++xvbn+=obtained
the ^ati++++=the
allometrically ^nn+++??+=allometrically
adjusted ^vwbn+++xvbn+=adjusted
shapes ^nns++++=shapes
by ^in++++=by
scaling ^xvbg+++xvbg+=scaling
all ^abn++++=all
specimens ^nns++++=specimens
to ^in++++=to
the ^ati++++=the
same ^ap++++=same
mean ^jj+atrb+++=mean
natural ^jj+atrb+++=natural
logarithm ^nn++++=logarithm
of ^in++++=of
centroid ^nn++++=centroid
size ^nn++++=size
using ^vwbg+++xvbg+=using
the ^ati++++=the
species ^nn++++=species-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
size ^nn++++=size-shape
- ^zz++++=EXTRAWORD
shape ^nn++++=EXTRAWORD
regressions ^nns+++??+=regressions.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
comparing ^jj+++xvbg+=comparing
two ^cd++++=two
species ^nn++++=species,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
mean ^jj+atrb+++=mean
natural ^jj+atrb+++=natural
logarithm ^nn++++=logarithm
of ^in++++=of
centroid ^nn++++=centroid
size ^nn++++=size
was ^vbd+bedz+aux++=was
calculated ^vpsv++by+xvbnx+=calculated
by ^in++++=by
taking ^xvbg+++xvbg+=taking
the ^ati++++=the
mean ^nn++++=mean
of ^in++++=of
the ^ati++++=the
two ^cd++++=two
species ^nns++++=species
mean ^jj+atrb+++=mean
sizes ^nns++++=sizes.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
comparing ^jj+++xvbg+=comparing
two ^cd++++=two
genera ^nns++++=genera,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mean ^jj+atrb+++=mean
size ^nn++++=size
of ^in++++=of
each ^ppls++++=each
genus ^vbz+++??+=genus
was ^vbd+bedz+aux++=was
first ^od++++=first
calculated ^vbd+vprv++xvbn+=calculated
from ^in++++=from
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
species ^nn++++=species,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
calculating ^xvbg+++xvbg+=calculating
the ^ati++++=the
overall ^jjb+atrb+++=overall
generic ^jj+atrb+++=generic
mean ^nn++++=mean.
. ^zz++++=EXTRAWORD
A ^at++++=A
Pca ^np+++??+=PCA
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
on ^in++++=on
the ^ati++++=the
allometrically ^nn+++??+=allometrically
adjusted ^vwbn+++xvbn+=adjusted
shapes ^nns++++=shapes
and ^cc++++=and
the ^ati++++=the
results ^nns++++=results
were ^vbd+bed+aux++=were
compared ^vpsv++agls+xvbnx+=compared
with ^in++++=with
the ^ati++++=the
pca ^np++++=PCA
of ^in++++=of
isometrically ^nn++++=isometrically
adjusted ^xvbn+++xvbn+=adjusted
procrustes ^np++++=Procrustes
shapes ^nns++++=shapes.
. ^zz++++=EXTRAWORD
