Cercopithecoidea ^np+++??+=Cercopithecoidea,
, ^zz++++=EXTRAWORD
a ^at++++=a
morphologically ^rb++++=morphologically
diverse ^jj+atrb+++=diverse
clade ^nn+++??+=clade
of ^in++++=of
smallto ^nn+++??+=smallto
medium ^nn++++=medium-sized
- ^zz++++=EXTRAWORD
sized ^jj+atrb+++=EXTRAWORD
primates ^nns+++??+=primates,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
today ^nr+tm+++=today
widely ^rb++++=widely
distributed ^vbd+++xvbn+=distributed
across ^in+pl+++=across
a ^at++++=a
vast ^jj+atrb+++=vast
region ^nn++++=region
of ^in++++=of
the ^ati++++=the
Old ^jj+atrb+++=Old
World ^nn++++=World,
, ^zz++++=EXTRAWORD
from ^in++++=from
West ^np+pl+++=West
Africa ^np++++=Africa
to ^in++++=to
Japan ^np++++=Japan,
, ^zz++++=EXTRAWORD
inhabiting ^vbg+++xvbg+=inhabiting
a ^at++++=a
considerable ^jj+atrb+++=considerable
variety ^nn++++=variety
of ^in++++=of
environments ^nns++++=environments.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
earliest ^jjt+atrb+++=earliest
record ^nn++++=record
is ^vbz+bez+aux++=is
documented ^vpsv++agls+xvbnx+=documented
in ^in++++=in
the ^ati++++=the
Late ^jj+atrb+++=Late
Oligocene ^np+++??+=Oligocene
of ^in++++=of
Africa ^np++++=Africa,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
remained ^vbd+++xvbnx+=remained
endemic ^jj++++=endemic
until ^in++++=until
the ^ati++++=the
late ^jj+atrb+++=late
Miocene ^np+++??+=Miocene
( ^zz++++=(
Jablonski ^np++++=Jablonski
and ^cc++++=and
Frost ^nn++++=Frost,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
; ^zz++++=;
Stevens ^np++++=Stevens
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
) ^zz++++=),
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
members ^nns++++=members
of ^in++++=of
both ^abx++++=both
cercopithecid ^nn+++??+=cercopithecid
subfamilies ^nns+++??+=subfamilies,
, ^zz++++=EXTRAWORD
Colobinae ^np+++??+=Colobinae
and ^cc++++=and
Cercopithecinae ^np+++??+=Cercopithecinae,
, ^zz++++=EXTRAWORD
dispersed ^j+++xvbn+=dispersed
toward ^in++++=toward
Eurasia ^np+++??+=Eurasia.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cercopithecine ^nn+++??+=cercopithecine
Macaca ^np+++??+=Macaca
( ^zz++++=(
Lac ^np++++=Lac
p ^zz++++=p
de ^&fw++++=de,
, ^zz++++=EXTRAWORD
1799 ^cd+date+++=1799
) ^zz++++=)
is ^vbz+bez+aux++=is
thought ^vpsv++agls+xvbnx+=thought
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
entered ^vprf+++xvbnx+=entered
Europe ^np++++=Europe
toward ^in++++=toward
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
Miocene ^np+++??+=Miocene,
, ^zz++++=EXTRAWORD
at ^rb++++=at
5.5 ^cd++++=5.5
Ma ^npt++++=Ma
( ^zz++++=(
K ^zz++++=K
hler ^nn+++??+=hler
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000
; ^zz++++=;
Alba ^np+++??+=Alba
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
) ^zz++++=).
. ^zz++++=EXTRAWORD
Macaca ^np+++??+=Macaca
, ^zz++++=,
although ^cs+con+++=although
evolutionarily ^nn+++??+=evolutionarily
conservative ^jj++++=conservative
( ^zz++++=(
Szalay ^np++++=Szalay
and ^cc++++=and
Delson ^np+++??+=Delson,
, ^zz++++=EXTRAWORD
1979 ^cd+date+++=1979
: ^zz++++=:
355 ^cd++++=355),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
among ^in++++=among
the ^ati++++=the
longest ^jjt++++=longest-lived
- ^zz++++=EXTRAWORD
lived ^vbd+++xvbn+=EXTRAWORD
( ^zz++++=(>5
> ^zz++++=EXTRAWORD
5 ^zz++++=EXTRAWORD
Myr ^np+++??+=Myr)
) ^zz++++=EXTRAWORD
cercopithecids ^nns+++??+=cercopithecids
in ^in++++=in
Europe ^np++++=Europe,
, ^zz++++=EXTRAWORD
surviving ^vbg+++xvbg+=surviving
under ^in++++=under
various ^jj+atrb+++=various
paleoenvironmental ^nn+++??+=paleoenvironmental
conditions ^nns++++=conditions
and ^cc++++=and
thought ^vb+++xvbn+=thought
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
continuously ^rb++splt++=continuously
present ^vb++++=present
on ^in++++=on
the ^ati++++=the
continent ^nn++++=continent
until ^in++++=until
the ^ati++++=the
Late ^jj+atrb+++=Late
Pleistocene ^np++++=Pleistocene
 ^zz++++=(
Elton ^np++++=Elton
And ^cc++++=and
O ^zz++++=O'Regan,
regan, ^nn++be++0=EXTRAWORD
014 ^cd++++=2014
	 ^zz++++=).
 ^zz++++=EXTRAWORD
