Rb1 ^np+++??+=RB1
thin ^jj+atrb+++=thin
section ^nn++++=section
from ^in++++=from
Su1 ^np+++??+=SU1
confirms ^vbz+vpub+++=confirms
the ^ati++++=the
transition ^nn++++=transition
between ^in++++=between
an ^at++++=an
alteration ^nn++++=alteration
horizon ^nn++++=horizon
of ^in++++=of
the ^ati++++=the
underlying ^jj+atrb++xvbg+=underlying
siliceous ^jj+atrb+++=siliceous
limestones ^nns+++??+=limestones
and ^cc++++=and
the ^ati++++=the
first ^od++++=first
fluvial ^vb+++??+=fluvial
deposits ^nns++++=deposits
in ^in++++=in
the ^ati++++=the
ravine ^nn++++=ravine.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
shows ^vbz+vprv+++=shows
fragments ^nns++++=fragments
of ^in++++=of
limestones ^nns+++??+=limestones
and ^cc++++=and
fluvial ^jj+atrb++??+=fluvial
quartz ^nn++++=quartz
sands ^nns++++=sands
( ^zz++++=(150
150 ^cd++++=EXTRAWORD
200 ^cd++++=200
m ^zz++++=m)
) ^zz++++=EXTRAWORD
with ^in++++=with
blunt ^jj+atrb+++=blunt
sandstone ^nn++++=sandstone
gravels ^nns++++=gravels
in ^in++++=in
a ^at++++=a
matrix ^nn++++=matrix
of ^in++++=of
micritic ^nn+++??+=micritic
and ^cc++++=and
microsparite ^jj+atrb++??+=microsparite
carbonate ^nn++++=carbonate
silts ^nns+++??+=silts
corresponding ^vwbg+++xvbg+=corresponding
to ^in++++=to
substrate ^nn++++=substrate
alterations ^nns++++=alterations.
. ^zz++++=EXTRAWORD
The ^ati++++=The
horizontal ^jj+atrb+++=horizontal
carbonate ^nn++++=carbonate
concretions ^nns+++??+=concretions
indicate ^vb+vprv+++=indicate
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
stagnant ^jj+atrb+++=stagnant
water ^nn++++=water,
, ^zz++++=EXTRAWORD
at ^in++++=at
least ^rbt++++=least
seasonally ^nn+++??+=seasonally.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pedological ^jj+atrb+++=pedological
features ^nns++++=features
are ^vb+ber+vrb++=are
mainly ^rb++++=mainly
porosity ^nn++++=porosity
of ^in++++=of
biological ^jj+atrb+++=biological
origin ^nn++++=origin,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
moderate ^jj+atrb+++=moderate
post ^nn++++=post-depositional
- ^zz++++=EXTRAWORD
depositional ^nn+++??+=EXTRAWORD
pedogenesis ^nns+++??+=pedogenesis
. ^zz++++=.
The ^ati++++=The
high ^jj+atrb+++=high
carbonate ^nn++++=carbonate
content ^nn++++=content
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
alluvial ^nn+++??+=alluvial
groundwater ^nn+++??+=groundwater
has ^vbz+hvz+aux++=has
always ^rb++splt++=always
been ^vprf+ben+vrb+xvbnx+=been
very ^ql+amp+++=very
high ^np++++=high
until ^in++++=until
today ^nr+tm+++=today,
, ^zz++++=EXTRAWORD
preventing ^vbg+++xvbg+=preventing
the ^ati++++=the
leaching ^nn++++=leaching
of ^in++++=of
carbonate ^nn++++=carbonate,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
usually ^rb+down+++=usually
very ^ql+amp+++=very
active ^jj++++=active
in ^in++++=in
sudanese ^np++++=Sudanese
environments ^nns++++=environments.
. ^zz++++=EXTRAWORD
