Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
to ^to++++=to
ascertain ^vbi+vprv+++=ascertain
the ^ati++++=the
reliability ^nn++++=reliability
of ^in++++=of
our ^pp$+pp1+++=our
results ^nns++++=results,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
following ^vbg+++xvbg+=following
Melo ^np+++??+=Melo
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=,
we ^pp1a+pp1+++=we
tested ^vbd+++xvbn+=tested
the ^ati++++=the
repeatability ^nn+++??+=repeatability
of ^in++++=of
the ^ati++++=the
raw ^jj+atrb+++=raw
data ^nns++++=data
sets ^nns++++=sets
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
C3 ^np+++??+=C3
G ^zz++++=G.
. ^zz++++=EXTRAWORD
gorilla ^nn+++??+=gorilla
, ^zz++++=,
C4 ^np+++??+=C4
P ^zz++++=P.
. ^zz++++=EXTRAWORD
troglodytes ^nns+++??+=troglodytes
) ^zz++++=)
by ^in++++=by
bootstrapping ^nn+++??+=bootstrapping
each ^dt++++=each
data ^nns++++=data
set ^vbd+++xvbn+=set
10,000 ^cd++++=10,000
times ^nns++++=times
and ^cc++++=and
comparing ^vbg+++xvbg+=comparing
the ^ati++++=the
original ^jj++++=original
and ^cc++++=and
the ^ati++++=the
obtained ^jj+atrb++xvbn+=obtained
covariances ^nns+++??+=covariances
matrix ^nn++++=matrix
using ^vwbg+++xvbg+=using
random ^rb++++=random
skewers ^nns+++??+=skewers
analysis ^nn++++=analysis
( ^zz++++=(mean
mean ^jj+atrb+++=EXTRAWORD
= ^zz++++==
0.880 ^nn+++??+=0.880,
, ^zz++++=EXTRAWORD
median ^jjb+atrb+++=median
= ^zz++++==
0.881 ^nn++++=0.881;
; ^zz++++=EXTRAWORD
som ^np++++=SOM
table ^nn++++=Table
s9 ^np++++=S9
) ^zz++++=).
. ^zz++++=EXTRAWORD
