Our ^pp$+pp1+++=Our
dental ^jj+atrb+++=dental
metric ^nn+++??+=metric
comparisons ^nns++++=comparisons
show ^vb+vprv+tht0++=show
that ^tht+vcmp+++=that
Mar ^vb++++=MAR-1-9B
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
9b ^cd++++=EXTRAWORD
is ^vbz+bez+vrb++=is
distinct ^jj+pred+++=distinct
from ^in++++=from
the ^ati++++=the
smaller ^jjr++++=smaller-sized
- ^zz++++=EXTRAWORD
sized ^jj+atrb+++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
majori ^nn+++??+=majori
and ^cc++++=and
that ^tht+vcmp+++=that
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
M ^zz++++=M.
. ^zz++++=EXTRAWORD
sylvanus ^nns+++??+=sylvanus
, ^zz++++=,
the ^ati++++=the
sole ^jjb++++=sole
Plio ^np+++??+=Plio-Pleistocene
- ^zz++++=EXTRAWORD
pleistocene ^nn+++??+=EXTRAWORD
representative ^nn++++=representative
of ^in++++=of
macaques ^nns+++??+=macaques
in ^in++++=in
continental ^jj+atrb+++=continental
Europe ^np++++=Europe
( ^zz++++=(
Elton ^np++++=Elton
and ^cc++++=and
O ^zz++++=O'Regan,
'regan, ^nn++be+??+0=EXTRAWORD
2014 ^cd++++=2014
) ^zz++++=).
. ^zz++++=EXTRAWORD
With ^in+cmpx+++=With
the ^in"++++=the
exception ^in"++++=exception
of ^in"++++=of
the ^ati++++=the
smaller ^jjr++++=smaller-toothed
- ^zz++++=EXTRAWORD
toothed ^nn+++??+=EXTRAWORD
Pliocene ^np+++??+=Pliocene
M ^zz++++=M.
. ^zz++++=EXTRAWORD
s ^zz++++=s.
. ^zz++++=EXTRAWORD
prisca ^nn+++??+=prisca
( ^zz++++=(whose
whose ^whp+who+++=EXTRAWORD
sample ^nn++++=sample,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
too ^ql++++=too
limited ^jj+++xvbn+=limited
to ^to++++=to
draw ^vbi++++=draw
secure ^jj+atrb+++=secure
conclusions ^nns++++=conclusions),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
Mar ^vb++++=MAR-1-9B
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
9b ^cd++++=EXTRAWORD
dental ^jj+atrb+++=dental
dimensions ^nns++++=dimensions
fall ^nn++++=fall
in ^in++++=in
the ^ati++++=the
ranges ^nns++++=ranges
of ^in++++=of
all ^abn++++=all
M ^zz++++=M.
. ^zz++++=EXTRAWORD
sylvanus ^nns+++??+=sylvanus
comparative ^jj+atrb+++=comparative
samples ^nns++++=samples
