Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
apart ^rp++++=apart
from ^in++++=from
negative ^jj+atrb+++=negative
frequency ^nn++++=frequency-dependent
- ^zz++++=EXTRAWORD
dependent ^jj+atrb+++=EXTRAWORD
selection ^nn++++=selection,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fighting ^jj+atrb++xvbg+=fighting
hypothesis ^nn++++=hypothesis
requires ^vbz++++=requires
increased ^vbd+++xvbn+=increased
costs ^nns++++=costs
for ^in++++=for
left ^vbd+++xvbn+=left-handers
- ^zz++++=EXTRAWORD
handers ^nns+++??+=EXTRAWORD
explaining ^vwbg+vpub++xvbg+=explaining
why ^wrb+who+whcl++=why
left ^vbd+++xvbn+=left-handers
- ^zz++++=EXTRAWORD
handers ^nns+++??+=EXTRAWORD
are ^vb+ber+vrb++=are
in ^in++++=in
the ^ati++++=the
minority ^nn++++=minority
in ^in++++=in
the ^ati++++=the
first ^od++++=first
place ^nn++++=place.
. ^zz++++=EXTRAWORD
Increased ^jj+atrb++xvbn+=Increased
health ^nn++++=health
costs ^nns++++=costs
for ^in++++=for
left ^vbd+++xvbn+=left-handers
- ^zz++++=EXTRAWORD
handers ^nns+++??+=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
proposed ^vpsv++agls+xvbnx+=proposed
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
reason ^nn++++=reason
for ^in++++=for
this ^dt+dem+++=this
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
reduced ^xvbn+++xvbn+=reduced
longevity ^nn++++=longevity
and ^cc++++=and
delayed ^jj+atrb++xvbn+=delayed
sexual ^jj+atrb+++=sexual
maturity ^nn++++=maturity,
, ^zz++++=EXTRAWORD
as ^in++++=as
reviewed ^nn++++=reviewed
in ^in++++=in
Llaurens ^np+++??+=Llaurens
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
) ^zz++++=).
. ^zz++++=EXTRAWORD
Costs ^nns++++=Costs
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
health ^vb++++=health
risks ^nns++++=risks
for ^in++++=for
left ^vbd+++xvbn+=left-handers
- ^zz++++=EXTRAWORD
handers ^nns+++??+=EXTRAWORD
can ^md+pos+++=can
also ^rb++splt++=also
explain ^vb+vpub+++=explain
why ^wrb+who+whcl++=why
the ^ati++++=the
strong ^jj+atrb+++=strong
population ^nn++++=population
bias ^vb++++=bias
needed ^vbd+++xvbn+=needed
for ^in++++=for
facilitation ^nn+++??+=facilitation
of ^in++++=of
imitation ^nn++++=imitation
is ^vbz+bez+vrb++=is
in ^in++++=in
favor ^nn++++=favor
of ^in++++=of
right ^jj++++=right-handedness.
- ^zz++++=EXTRAWORD
handedness ^nns+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
would ^md+prd+++=would
hold ^vb+vprv+++=hold
true ^jj++++=true
even ^rb++++=even
if ^cs+cnd+++=if
the ^ati++++=the
fighting ^jj+atrb++xvbg+=fighting
hypothesis ^nn++++=hypothesis
is ^vbz+bez+aux++=is
not ^xnot++not++=not
supported ^vbd+++xvbn+=supported.
. ^zz++++=EXTRAWORD
Since ^cs+sub+++=Since
recent ^jj+atrb+++=recent
literature ^nn++++=literature
has ^vbz+hvz+aux++=has
begun ^vprf+++xvbnx+=begun
to ^to++++=to
question ^vbi++++=question
the ^ati++++=the
differential ^jj+atrb+++=differential
health ^nn++++=health
costs ^nns++++=costs
for ^in++++=for
leftand ^nn+++??+=leftand
right ^jj++++=right-handers
- ^zz++++=EXTRAWORD
handers ^nns+++??+=EXTRAWORD
( ^zz++++=(
Mcmanus ^np++++=McManus
and ^cc++++=and
Wysocki ^np+++??+=Wysocki,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005
; ^zz++++=;
Zickert ^np+++??+=Zickert
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
; ^zz++++=;
van ^&fw++++=van
der ^&fw++++=der
Feen ^np+++??+=Feen
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
) ^zz++++=),
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
might ^md+pos+++=might
be ^vb+be+vrb++=be
feasible ^jj+pred+++=feasible
to ^to++++=to
search ^vbi++++=search
for ^in++++=for
other ^ap++++=other
factors ^nns++++=factors
explaining ^vwbg+vpub++xvbg+=explaining
the ^ati++++=the
right ^jj++++=right-handed
- ^zz++++=EXTRAWORD
handed ^vwbn+++xvbn+=EXTRAWORD
bias ^nn++++=bias.
. ^zz++++=EXTRAWORD
Alternatively ^rb+cnj+++=Alternatively,
, ^zz++++=EXTRAWORD
a ^at++++=a
