Allometric ^np+++??+=Allometric
scaling ^vwbg+++xvbg+=scaling
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
an ^at++++=an
important ^jj+atrb+++=important
part ^nn++++=part
of ^in++++=of
studies ^nns++++=studies
considering ^vwbg+++xvbg+=considering
the ^ati++++=the
underlying ^jj+atrb++xvbg+=underlying
factors ^nns++++=factors
that ^tht+rel+subj++=that
contribute ^vb++++=contribute
to ^in++++=to
morphological ^jj+atrb+++=morphological
differences ^nns++++=differences
between ^in++++=between
great ^jj+atrb+++=great
ape ^nn++++=ape
taxa ^nn+++??+=taxa.
. ^zz++++=EXTRAWORD
In ^in++++=In
particular ^jj++++=particular,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
focus ^nn++++=focus
on ^in++++=on
whether ^cs+who+++=whether
the ^ati++++=the
skull ^nn++++=skull
of ^in++++=of
P ^zz++++=P.
. ^zz++++=EXTRAWORD
paniscus ^nns+++??+=paniscus
is ^vbz+bez+vrb++=is
paedomorphic ^jj+++??+=paedomorphic
compared ^jj+++xvbn+=compared
with ^in++++=with
that ^dt+dem+++=that
of ^in++++=of
P ^zz++++=P.
. ^zz++++=EXTRAWORD
troglodytes ^nns+++??+=troglodytes
and ^cc+cls+++=and
whether ^cs+who+++=whether
the ^ati++++=the
skulls ^nns++++=skulls
of ^in++++=of
Gorilla ^np+++??+=Gorilla
and ^cc++++=and
Pan ^nn++++=Pan
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
to ^in++++=to
some ^dti++++=some
extent ^nn++++=extent,
, ^zz++++=EXTRAWORD
scaled ^vprf+++xvbn+=scaled
versions ^nns++++=versions
of ^in++++=of
each ^dt++++=each
other ^ap++++=other
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Giles ^np+++??+=Giles,
, ^zz++++=EXTRAWORD
1956 ^cd+date+++=1956
; ^zz++++=;
Mchenry ^np+++??+=McHenry
and ^cc++++=and
Corruccini ^np+++??+=Corruccini,
, ^zz++++=EXTRAWORD
1981 ^cd+date+++=1981
) ^zz++++=).
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
studies ^nns++++=studies
have ^vb+hv+aux++=have
approached ^vprf+++xvbnx+=approached
these ^dt+dem+++=these
questions ^nns++++=questions
exploring ^vwbg+++xvbg+=exploring
ontogenetic ^jj+atrb+++=ontogenetic
allometry ^nn+++??+=allometry
in ^in++++=in
growth ^nn++++=growth
studies ^nns++++=studies
( ^zz++++=(
Shea ^np++++=Shea,
, ^zz++++=EXTRAWORD
1983a ^cd++++=1983a
, ^zz++++=,
b ^zz++++=b
, ^zz++++=,
1984 ^cd+date+++=1984
; ^zz++++=;
Godfrey ^np++++=Godfrey
and ^cc++++=and
Sutherland ^np++++=Sutherland,
, ^zz++++=EXTRAWORD
1996 ^cd+date+++=1996
; ^zz++++=;
Ackermann ^np+++??+=Ackermann
and ^cc++++=and
Krovitz ^np+++??+=Krovitz,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002
; ^zz++++=;
Williams ^np++++=Williams
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003
; ^zz++++=;
Berge ^np+++??+=Berge
and ^cc++++=and
Penin ^np+++??+=Penin,
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004
; ^zz++++=;
Cobb ^np+++??+=Cobb
and ^cc++++=and
O ^zz++++=O'Higgins,
'higgins, ^nn+++??+=EXTRAWORD
2004 ^cd++++=2004
; ^zz++++=;
Mitteroecker ^np+++??+=Mitteroecker
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
