Another ^dt++++=Another
factor ^nn++++=factor
shaping ^vwbg+++xvbg+=shaping
variation ^nn++++=variation
in ^in++++=in
hamadryas ^nns+++??+=hamadryas
leader ^nn++++=leader
male ^jj+atrb+++=male
fitness ^nn++++=fitness
is ^vbz+bez+vrb++=is
the ^ati++++=the
presence ^nn++++=presence
and ^cc++++=and
number ^nn++++=number
of ^in++++=of
follower ^nn++++=follower
males ^nns++++=males
in ^in++++=in
an ^at++++=an
Omu ^np+++??+=OMU,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
positively ^rb++splt++=positively
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
the ^ati++++=the
tenure ^nn++++=tenure
of ^in++++=of
a ^at++++=a
leader ^nn++++=leader
male ^nn++++=male,
, ^zz++++=EXTRAWORD
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
females ^nns++++=females
acquired ^vwbn+++xvbn+=acquired
by ^in++++=by
the ^ati++++=the
leader ^nn++++=leader
male ^nn++++=male,
, ^zz++++=EXTRAWORD
the ^ati++++=the
duration ^nn++++=duration
that ^tht+rel+obj++=that
females ^nns++++=females
are ^vb+ber+aux++=are
retained ^vpsv++by+xvbnx+=retained
by ^in++++=by
the ^ati++++=the
leader ^nn++++=leader
male ^nn++++=male,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
infants ^nns++++=infants
born ^vwbn+++xvbn+=born
into ^in++++=into
the ^ati++++=the
leader ^nn++++=leader
male ^jj+atrb+++=male's
's ^vbz+bez+vrb++0=EXTRAWORD
Omu ^np+++??+=OMU
( ^zz++++=(
Chowdhury ^np++++=Chowdhury
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
) ^zz++++=).
. ^zz++++=EXTRAWORD
Follower ^nn++++=Follower
males ^nns++++=males
are ^vb+ber+vrb++=are
not ^xnot++not++=not
permanent ^jj+atrb+++=permanent
fixtures ^nns++++=fixtures
of ^in++++=of
Omus ^np+++??+=OMUs
but ^cc++++=but
rather ^rb++++=rather
may ^md+pos+++=may
transiently ^rb++splt++=transiently
attach ^vb++++=attach
and ^cc+phrs+++=and
detach ^vb++++=detach
from ^in++++=from
the ^ati++++=the
Omu ^np+++??+=OMU
over ^in++++=over
time ^nn++++=time.
. ^zz++++=EXTRAWORD
The ^ati++++=The
potential ^jj+atrb+++=potential
fitness ^nn++++=fitness
benefits ^nns++++=benefits
of ^in++++=of
follower ^nn++++=follower
males ^nns++++=males
to ^in++++=to
leader ^nn++++=leader
males ^nns++++=males
are ^vb+ber+aux++=are
thought ^vpsv++agls+xvbnx+=thought
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
function ^nn++++=function
of ^in++++=of
increased ^jj+atrb++xvbn+=increased
unit ^nn++++=unit
defense ^nn+++??+=defense
and ^cc++++=and
infant ^nn++++=infant
protection ^nn++++=protection
provided ^vwbn+vsua++xvbn+=provided
by ^in++++=by
followers ^nns++++=followers.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
likely ^jj+pred+++=likely
that ^tht+jcmp+++=that
the ^ati++++=the
ability ^nn++++=ability
of ^in++++=of
leader ^nn++++=leader
males ^nns++++=males
to ^in++++=to
both ^abx++++=both
attract ^vb++++=attract
and ^cc+phrs+++=and
tolerate ^vb++++=tolerate
follower ^nn++++=follower
males ^nns++++=males
has ^vbz+hvz+aux++=has
evolved ^vprf+++xvbnx+=evolved
as ^ql++++=as
an ^at++++=an
adaptive ^nn++++=adaptive
strategy ^nn++++=strategy
that ^tht+rel+subj++=that
increases ^vbz++++=increases
leader ^nn++++=leader
male ^jj+atrb+++=male
fitness ^nn++++=fitness.
. ^zz++++=EXTRAWORD
