Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
evaluate ^vb++++=evaluate
how ^wrb+who+++=how
human ^jj++++=human
and ^cc++++=and
bipedal ^nn+++??+=bipedal
chimpanzee ^nn+++??+=chimpanzee
musculoskeletal ^nn+++??+=musculoskeletal
structure ^nn++++=structure
affects ^vbz++++=affects
their ^pp$+pp3+++=their
3 ^zz++++=3-D
- ^zz++++=EXTRAWORD
d ^zz++++=EXTRAWORD
moments ^nns++++=moments,
, ^zz++++=EXTRAWORD
work ^nn++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
power ^nn++++=power
output ^nn++++=output.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
provide ^vb+vsua+++=provide
the ^ati++++=the
first ^rb++++=first
comprehensive ^jj+atrb+++=comprehensive
description ^nn++++=description
and ^cc++++=and
direct ^jj++++=direct,
, ^zz++++=EXTRAWORD
speed ^nn++++=speed-controlled
- ^zz++++=EXTRAWORD
controlled ^vbd+++xvbn+=EXTRAWORD
comparisons ^nns++++=comparisons
of ^in++++=of
stride ^nn++++=stride-to-stride
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
stride ^nn++++=EXTRAWORD
and ^cc++++=and
intraspecific ^jj+atrb++??+=intraspecific
variation ^nn++++=variation
of ^in++++=of
human ^jj++++=human
and ^cc++++=and
bipedal ^nn+++??+=bipedal
chimpanzee ^nn+++??+=chimpanzee
ground ^nn++++=ground
reaction ^nn++++=reaction
forces ^nns++++=forces,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
lower ^jjr+atrb+++=lower/hind
limb ^nn++++=limb
joint ^jjb+atrb+++=joint
moment ^nn++++=moment
and ^cc++++=and
power ^nn++++=power
profiles ^nns++++=profiles
of ^in++++=of
each ^dt++++=each
species ^nns++++=species
over ^in++++=over
a ^at++++=a
full ^nn++++=full
walking ^vwbg+++xvbg+=walking
stride ^nn++++=stride.
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
their ^pp$+pp3+++=their
differences ^nns++++=differences
in ^in++++=in
musculoskeletal ^nn+++??+=musculoskeletal
structure ^nn++++=structure,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
then ^rn+tm+++=then
test ^nn++++=test
whether ^cs+who+++=whether:
: ^zz++++=EXTRAWORD
1 ^zz++++=1)
) ^zz++++=EXTRAWORD
the ^ati++++=the
estimated ^jj+atrb++xvbn+=estimated
limb ^nn++++=limb
joint ^jjb+atrb+++=joint
work ^nn++++=work
and ^cc++++=and
power ^nn++++=power
during ^in++++=during
the ^ati++++=the
stance ^nn++++=stance
phase ^nn++++=phase,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
the ^ati++++=the
single ^jj++++=single-support
- ^zz++++=EXTRAWORD
support ^nn++++=EXTRAWORD
period ^nn++++=period,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
lower ^jjr+pred+++=lower
in ^in++++=in
humans ^nns++++=humans
than ^in++++=than
in ^in++++=in
bipedal ^nn+++??+=bipedal
chimpanzees ^nns++++=chimpanzees,
, ^zz++++=EXTRAWORD
2 ^zz++++=2)
) ^zz++++=EXTRAWORD
the ^ati++++=the
limb ^nn++++=limb
joint ^jjb+atrb+++=joint
work ^nn++++=work
and ^cc++++=and
power ^nn++++=power
required ^vbd+++xvbn+=required
for ^in++++=for
limb ^nn++++=limb
swing ^nn++++=swing
is ^vbz+bez+vrb++=is
lower ^jjr+pred+++=lower
in ^in++++=in
humans ^nns++++=humans
than ^in++++=than
in ^in++++=in
bipedal ^nn+++??+=bipedal
chimpanzees ^nns++++=chimpanzees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
3 ^zz++++=3)
) ^zz++++=EXTRAWORD
the ^ati++++=the
estimated ^jj+++xvbn+=estimated
total ^jj+atrb+++=total
mechanical ^jj+atrb+++=mechanical
power ^nn++++=power
during ^in++++=during
walking ^xvbg+++xvbg+=walking,
, ^zz++++=EXTRAWORD
accounting ^nvbg+++xvbg+=accounting
for ^in++++=for
the ^ati++++=the
storage ^nn++++=storage
of ^in++++=of
passive ^jj+atrb+++=passive
elastic ^jj+atrb+++=elastic
strain ^nn++++=strain
energy ^nn++++=energy
in ^in++++=in
humans ^nns++++=humans,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
lower ^jjr+pred+++=lower
in ^in++++=in
humans ^nns++++=humans
than ^in++++=than
in ^in++++=in
bipedal ^nn+++??+=bipedal
chimpanzees ^nns++++=chimpanzees.
. ^zz++++=EXTRAWORD
For ^in++++=For
