The ^ati++++=The
interviews ^nns++++=interviews
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
during ^in++++=during
the ^ati++++=the
uncertain ^jj+atrb+++=uncertain
early ^jj+atrb+++=early
days ^nns++++=days
of ^in++++=of
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
still ^rb+atrb+++=still
unclear ^nn+++??+=unclear
for ^in++++=for
the ^ati++++=the
students ^nns++++=students
whether ^cs+who+++=whether
the ^ati++++=the
situation ^nn++++=situation
would ^md+prd+++=would
have ^vb+hv+vrb++=have
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
effects ^nns++++=effects
and ^cc+cls+++=and
how ^wrb+who+++=how
long ^rb++++=long
the ^ati++++=the
campus ^nn++++=campus
food ^nn++++=food
pantry ^nn++++=pantry
would ^md+prd+++=would
stay ^vb++++=stay
closed ^vbd+++xvbn+=closed.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
interviewees ^nns++++=interviewees
stated ^vbd+vpub++xvbn+=stated
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
ready ^jj+pred+++=ready
for ^in++++=for
the ^ati++++=the
pandemic ^nn+++??+=pandemic
because ^cs+cos+++=because
of ^in++++=of
their ^pp$+pp3+++=their
recent ^jj+atrb+++=recent
visit ^nn++++=visit
to ^in++++=to
the ^ati++++=the
food ^nn++++=food
pantry ^nn++++=pantry
and ^cc++++=and
the ^ati++++=the
accumulated ^jj+atrb++xvbn+=accumulated
food ^nn++++=food
in ^in++++=in
their ^pp$+pp3+++=their
homes ^nrs++++=homes,
, ^zz++++=EXTRAWORD
hoping ^vbg+vprv+tht0+xvbg+=hoping
everything ^pn++++=everything
would ^md+prd+++=would
return ^vb++++=return
to ^in++++=to
normal ^jj++++=normal
soon ^rb+tm+++=soon.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked
Colette ^np+++??+=Colette,
, ^zz++++=EXTRAWORD
a ^at++++=a
graduate ^nn++++=graduate
student ^nn++++=student,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
the ^ati++++=the
pandemic ^nn++++=pandemic
affected ^vwbn+++xvbn+=affected
her ^pp$+pp3+++=her
access ^nn++++=access
to ^in++++=to
food ^nn++++=food
and ^cc++++=and
her ^pp$+pp3+++=her
food ^nn++++=food
pantry ^nn++++=pantry
