Our ^pp$+pp1+++=Our
results ^nns++++=results
are ^vb+ber+vrb++=are
broadly ^rb+down+++=broadly
consistent ^jj+pred+++=consistent
with ^in++++=with
previous ^jj+atrb+++=previous
descriptions ^nns++++=descriptions
of ^in++++=of
the ^ati++++=the
3 ^zz++++=3-D
- ^zz++++=EXTRAWORD
d ^zz++++=EXTRAWORD
ground ^nn++++=ground
force ^nn++++=force
components ^nns++++=components
in ^in++++=in
bipedal ^nn+++??+=bipedal
chimpanzee ^nn+++??+=chimpanzee
walking ^vwbg+++xvbg+=walking
( ^zz++++=(
Kimura ^np++++=Kimura
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1977 ^cd+date+++=1977
; ^zz++++=;
Pontzer ^np+++??+=Pontzer
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
) ^zz++++=).
. ^zz++++=EXTRAWORD
As ^cs+sub+++=As
expected ^jj+++xvbn+=expected,
, ^zz++++=EXTRAWORD
all ^abn++++=all
three ^cd++++=three
animals ^nns++++=animals
exhibited ^vbd+++xvbn+=exhibited
monophasic ^nn+++??+=monophasic
vertical ^jj+atrb+++=vertical
force ^nn++++=force
patterns ^nns++++=patterns,
, ^zz++++=EXTRAWORD
with ^in++++=with
small ^jj+atrb+++=small
magnitude ^nn++++=magnitude
anterior ^jj++++=anterior-posterior
- ^zz++++=EXTRAWORD
posterior ^jj+atrb+++=EXTRAWORD
force ^nn++++=force
peaks ^nns++++=peaks
compared ^vbd+++xvbn+=compared
to ^in++++=to
a ^at++++=a
human ^nn++++=human
walking ^xvbg+++xvbg+=walking
step ^vb++++=step
at ^rb++++=at
similar ^jj+atrb+++=similar
dimensionless ^nns+++??+=dimensionless
speeds ^nns++++=speeds,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
in ^in++++=in
the ^ati++++=the
second ^od++++=second
double ^jj++++=double-support
- ^zz++++=EXTRAWORD
support ^nn++++=EXTRAWORD
period ^nn++++=period
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
push ^vb++++=push-off).
- ^zz++++=EXTRAWORD
off ^rp+pl+++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
species ^nn++++=species
difference ^nn++++=difference
in ^in++++=in
peak ^nn++++=peak
vertical ^jj+atrb+++=vertical
force ^nn++++=force
magnitude ^nn++++=magnitude
( ^zz++++=(H
h ^zz++++=EXTRAWORD
= ^zz++++==
