Our ^pp$+pp1+++=Our
final ^jj+atrb+++=final
claim ^nn++++=claim
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
nonprofits ^nns+++??+=nonprofits
engaged ^vwbn+++xvbn+=engaged
in ^in++++=in
activist ^nn+++??+=activist
work ^nn++++=work
and ^cc++++=and
fact ^nn++++=fact-finding
- ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=EXTRAWORD
welcome ^jj+atrb+++=welcome
applied ^jj+atrb++xvbn+=applied
researchers ^nns+++??+=researchers.
. ^zz++++=EXTRAWORD
Primarily ^rb+cnj+++=Primarily,
, ^zz++++=EXTRAWORD
sociologists ^nns++++=sociologists
are ^vb+ber+aux++=are
sought ^vpsv++agls+xvbnx+=sought
after ^cs+sub+++=after
for ^in++++=for
their ^pp$+pp3+++=their
trained ^xvbn+++xvbn+=trained
skills ^nns++++=skills
for ^in++++=for
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
our ^pp$+pp1+++=our
general ^jj++++=general
understanding ^jj+++xvbg+=understanding
of ^in++++=of
quantitative ^jj+atrb+++=quantitative
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
sampling ^nn++++=sampling
design ^nn++++=design,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
survey ^nn++++=survey
design ^nn++++=design.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
all ^abn++++=all
three ^cd++++=three
authors ^nns++++=authors
studied ^vbd+++xvbn+=studied
labor ^nn+++??+=labor
markets ^nns++++=markets.
. ^zz++++=EXTRAWORD
Collectively ^np+++??+=Collectively,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
possessed ^vbd+++xvbn+=possessed
the ^ati++++=the
skills ^nns++++=skills
needed ^vwbn+++xvbn+=needed
to ^to+vcmp+++=to
conduct ^vbi++++=conduct
research ^nn++++=research
in ^in++++=in
Niagara ^np+++??+=Niagara.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
reflections ^nns++++=reflections
highlight ^nn++++=highlight
the ^ati++++=the
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
consider ^vb+vprv+++=consider
not ^xnot++not++=not
only ^rb+down+++=only
the ^ati++++=the
skills ^nns++++=skills
that ^tht+rel+subj++=that
applied ^vwbn+++xvbn+=applied
researchers ^nns+++??+=researchers
might ^md+pos+++=might
use ^vb++++=use
but ^cc++++=but
also ^rb++++=also
how ^wrb+who+++=how
they ^pp3a+pp3+++=they
apply ^vb++++=apply
these ^dt+dem+++=these
tools ^nns++++=tools
and ^cc++++=and
for ^in++++=for
what ^wdt+who+++=what
purpose ^nn++++=purpose.
. ^zz++++=EXTRAWORD
Research ^nn++++=Research
that ^tht+rel+subj++=that
appears ^vbz+seem+tht0++=appears
objective ^nn++++=objective
is ^vbz+bez+aux++=is
informed ^vpsv++by+xvbnx+=informed
by ^in++++=by
social ^jj+atrb+++=social
contexts ^nns++++=contexts,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
limit ^vb++++=limit
the ^ati++++=the
potential ^jj+atrb+++=potential
utility ^nn++++=utility
of ^in++++=of
applied ^jj+atrb++xvbn+=applied
sociology ^nn++++=sociology.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
applied ^xvbn+++xvbn+=applied
sociologists ^nns++++=sociologists
desire ^nn++++=desire
to ^to+ncmp+++=to
make ^vbi++++=make
social ^jj+atrb+++=social
change ^nn++++=change,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Petersen ^np+++??+=Petersen
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2008)
2008 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
suggest ^vb+vpub+++=suggest,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
vital ^jj+pred+++=vital
to ^to+jcmp+++=to
examine ^vbi++++=examine
the ^ati++++=the
embedded ^jj+atrb++xvbn+=embedded
assumptions ^nns++++=assumptions
informing ^vwbg+++xvbg+=informing
research ^nn++++=research
approaches ^nns++++=approaches,
, ^zz++++=EXTRAWORD
else ^rb+cnj+++=else
risk ^vb++++=risk
reproducing ^vbg+++xvbg+=reproducing
the ^ati++++=the
same ^ap++++=same
structures ^nns++++=structures
we ^pp1a+pp1+++=we
desire ^nn++++=desire
to ^to+ncmp+++=to
change ^vb++++=change.
. ^zz++++=EXTRAWORD
