Currently ^rb+cnj+++=Currently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
research ^nn++++=research
concerning ^in++++=concerning
pigment ^nn++++=pigment
use ^nn++++=use
on ^in++++=on
personal ^jj+atrb+++=personal
ornaments ^nns++++=ornaments
from ^in++++=from
early ^jj++++=early
( ^zz++++=(>35
> ^zz++++=EXTRAWORD
35 ^cd++++=EXTRAWORD
ka ^nn+++??+=ka)
) ^zz++++=EXTRAWORD
contexts ^nns++++=contexts
is ^vbz+bez+aux++=is
restricted ^vpsv++agls+xvbnx+=restricted
to ^in++++=to
the ^ati++++=the
African ^jj+atrb+++=African
continent ^nn++++=continent
( ^zz++++=(
Bouzouggar ^np++++=Bouzouggar
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007
; ^zz++++=;
d ^zz++++=d'Errico
'errico ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005
; ^zz++++=;
Henshilwood ^np+++??+=Henshilwood
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004
) ^zz++++=)
or ^cc++++=or
the ^ati++++=the
Levant ^np+++??+=Levant
( ^zz++++=(
Vanhaeren ^np++++=Vanhaeren
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
; ^zz++++=;
Mayer ^np+++??+=Mayer
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
) ^zz++++=),
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
some ^dti++++=some
European ^jj+atrb+++=European
Aurignacian ^np+++??+=Aurignacian
sites ^nns++++=sites
mention ^vb+vpub+++=mention
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
red ^jj+atrb+++=red
staining ^nn++++=staining
or ^cc++++=or
colorant ^nn+++??+=colorant
on ^in++++=on
personal ^jj+atrb+++=personal
ornaments ^nns++++=ornaments
( ^zz++++=(
Otte ^np++++=Otte,
, ^zz++++=EXTRAWORD
1979 ^cd+date+++=1979
; ^zz++++=;
White ^jj++++=White,
, ^zz++++=EXTRAWORD
1995 ^cd+date+++=1995
; ^zz++++=;
Hublin ^np+++??+=Hublin
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
) ^zz++++=).
. ^zz++++=EXTRAWORD
Often ^rb++++=Often
( ^zz++++=(except
except ^in++++=EXTRAWORD
for ^in++++=for
White ^jj++++=White,
, ^zz++++=EXTRAWORD
1995 ^cd+date+++=1995
) ^zz++++=),
, ^zz++++=EXTRAWORD
the ^ati++++=the
reported ^jj+atrb++xvbn+=reported
beads ^nns++++=beads
are ^vb+ber+aux++=are
made ^vpsv++agls+xvbnx+=made
of ^in++++=of
marine ^nn++++=marine,
, ^zz++++=EXTRAWORD
freshwater ^jjb++++=freshwater,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
terrestrial ^jj+atrb+++=terrestrial
shells ^nps++++=shells.
. ^zz++++=EXTRAWORD
As ^cs+sub+++=As
of ^in++++=of
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
