Turning ^nvbg+++xvbg+=Turning
to ^in++++=to
the ^ati++++=the
root ^nn++++=root
dimensions ^nns++++=dimensions,
, ^zz++++=EXTRAWORD
Boxgrove ^np+++??+=Boxgrove
shows ^vbz+vprv+++=shows
higher ^jjr+atrb+++=higher
similarities ^nns++++=similarities
to ^in++++=to
the ^ati++++=the
Sh ^np+++??+=SH
material ^nn++++=material.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
more ^rbr++++=more
gracile ^nn+++??+=gracile
than ^in++++=than
the ^ati++++=the
incisors ^nns+++??+=incisors
of ^in++++=of
Mauer ^np+++??+=Mauer,
, ^zz++++=EXTRAWORD
Neanderthals ^np+++??+=Neanderthals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
any ^dti++++=any
Early ^jj+atrb+++=Early
and ^cc+phrs+++=and
Middle ^jjb++++=Middle
Pleistocene ^np+++??+=Pleistocene
hominin ^jj+++??+=hominin
studied ^jj+++xvbn+=studied
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^rbr++++=more
robust ^jj++++=robust
than ^in++++=than
the ^ati++++=the
Rmh ^np+++??+=RMH
samples ^nns++++=samples.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition,
, ^zz++++=EXTRAWORD
Boxgrove ^np+++??+=Boxgrove
and ^cc++++=and
Sh ^np+++??+=SH
share ^nn++++=share
a ^at++++=a
relatively ^rb++++=relatively
narrower ^jjr+atrb+++=narrower
labiolingual ^nn+++??+=labiolingual
root ^nn++++=root
diameter ^nn++++=diameter
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
a ^at++++=a
shorter ^jjr+atrb+++=shorter
incisor ^nn+++??+=incisor
root ^nn++++=root,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
places ^nns++++=places
them ^pp3o+pp3+++=them
in ^in++++=in
an ^at++++=an
intermediate ^jj+atrb+++=intermediate
position ^nn++++=position
between ^in++++=between
the ^ati++++=the
Rmh ^np+++??+=RMH
sample ^nn++++=sample
and ^cc++++=and
other ^ap++++=other
extinct ^jj+atrb+++=extinct
hominins ^nns+++??+=hominins,
, ^zz++++=EXTRAWORD
including ^in++++=including
other ^ap++++=other
European ^jj+atrb+++=European
hominins ^nns+++??+=hominins
such ^abl++++=such
as ^ql++++=as
Mauer ^np+++??+=Mauer
and ^cc++++=and
later ^rbr+tm+++=later
Neanderthals ^np+++??+=Neanderthals.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
adjusted ^vbd+++xvbn+=adjusted
Z ^zz++++=Z-Scores
- ^zz++++=EXTRAWORD
scores ^nns++++=EXTRAWORD
strongly ^rb+amp+++=strongly
align ^jj+atrb++??+=align
Boxgrove ^np+++??+=Boxgrove
and ^cc++++=and
Sh ^np+++??+=SH
together ^rb++++=together
for ^in++++=for
Ca ^np++++=CA,
, ^zz++++=EXTRAWORD
Rl ^np+++??+=RL,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Rv ^np+++??+=RV
relative ^nn++++=relative
to ^in++++=to
Rmh ^np+++??+=RMH
and ^cc++++=and
Neanderthals ^np+++??+=Neanderthals.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
study ^nn++++=study
reveals ^vbz+vprv+++=reveals
that ^tht+vcmp+++=that
Boxgrove ^np+++??+=Boxgrove
and ^cc++++=and
Sh ^np+++??+=SH
are ^vb+ber+vrb++=are
different ^jj+pred+++=different
from ^in++++=from
late ^jj+atrb+++=late
Neanderthals ^np+++??+=Neanderthals,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
share ^nn++++=share
with ^in++++=with
other ^ap++++=other
Early ^jj+atrb+++=Early
and ^cc+phrs+++=and
Middle ^jjb++++=Middle
Pleistocene ^np+++??+=Pleistocene
groups ^nns++++=groups
a ^at++++=a
more ^rbr++++=more
robust ^jj+atrb+++=robust
conformation ^nn+++??+=conformation.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
findings ^nns++++=findings
concur ^vb++++=concur
with ^in++++=with
those ^dt+dem+++=those
of ^in++++=of
Le ^&fw++++=Le
Cabec ^np+++??+=Cabec
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2013)
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
that ^dt+dem+++=that
Neanderthals ^np+++??+=Neanderthals
preserve ^vb++++=preserve
the ^ati++++=the
primitive ^jj+atrb+++=primitive
condition ^nn++++=condition,
, ^zz++++=EXTRAWORD
