Our ^pp$+pp1+++=Our
previous ^jj+atrb+++=previous
work ^nn++++=work
at ^rb++++=at
Marathousa ^np+++??+=Marathousa
1 ^zz++++=1
permits ^nns++++=permits
the ^ati++++=the
detailed ^jj+atrb+++=detailed
reconstruction ^nn++++=reconstruction
of ^in++++=of
the ^ati++++=the
paleoenvironmental ^nn+++??+=paleoenvironmental
conditions ^nns++++=conditions
under ^in++++=under
which ^whp+rel+pied++=which
the ^ati++++=the
Mar ^vb++++=MAR-1-9B
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
9b ^cd++++=EXTRAWORD
macaque ^nn+++??+=macaque
lived ^vbd+++xvbn+=lived.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sedimentological ^nn+++??+=sedimentological
study ^nn++++=study
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
the ^ati++++=the
( ^zz++++=(spatially
spatially ^rb++++=EXTRAWORD
and ^cc++++=and
stratigraphically ^nn+++??+=stratigraphically
associated ^vbd+++xvbn+=associated)
) ^zz++++=EXTRAWORD
fossil ^nn++++=fossil
and ^cc++++=and
cultural ^jj+atrb+++=cultural
material ^nn++++=material
was ^vbd+bedz+aux++=was
deposited ^vpsv++agls+xvbnx+=deposited
on ^in++++=on
an ^at++++=an
extensive ^jj+atrb+++=extensive
mudflat ^nn+++??+=mudflat
surrounding ^vwbg+++xvbg+=surrounding
a ^at++++=a
lake ^nn++++=lake
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
glacial ^jj+atrb+++=glacial
Mis ^npt++++=MIS
12 ^cd++++=12
and ^cc++++=and
the ^ati++++=the
gradual ^jj+atrb+++=gradual
transition ^nn++++=transition
to ^in++++=to
the ^ati++++=the
interglacial ^nn+++??+=interglacial
Mis ^npt++++=MIS
11 ^cd++++=11
( ^zz++++=(
Karkanas ^np++++=Karkanas
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=),
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
temperate ^jj+atrb+++=temperate
prevailing ^jj+atrb++xvbg+=prevailing
climate ^nn++++=climate,
, ^zz++++=EXTRAWORD
as ^in++++=as
reconstructed ^nn++++=reconstructed
by ^in++++=by
paleobotanical ^nn+++??+=paleobotanical
remains ^nns++++=remains.
. ^zz++++=EXTRAWORD
Plants ^nns++++=Plants
were ^vbd+bed+vrb++=were
diverse ^jj+pred+++=diverse
and ^cc+phrs+++=and
dominated ^jj+++xvbn+=dominated
by ^in++++=by
aquatic ^jj++++=aquatic,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
waterside ^nn++++=waterside
and ^cc++++=and
damp ^jj+atrb+++=damp
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
taxa ^nn+++??+=taxa
( ^zz++++=(
Field ^np++++=Field
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
recovered ^jj+++xvbn+=recovered
wood ^np++++=wood
assemblage ^nn++++=assemblage
was ^vbd+bedz+aux++=was
dominated ^vpsv++by+xvbnx+=dominated
by ^in++++=by
willow ^nn++++=willow
( ^zz++++=(
Salix ^np++++=Salix
) ^zz++++=)
and ^cc++++=and
alder ^nn+++??+=alder
( ^zz++++=(
Alnus ^np++++=Alnus
) ^zz++++=),
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
included ^vbd+++xvbn+=included
elm ^nn++++=elm
( ^zz++++=(
Ulmus ^np++++=Ulmus
) ^zz++++=),
, ^zz++++=EXTRAWORD
deciduous ^jj+atrb+++=deciduous
oak ^nn++++=oak
( ^zz++++=(
Quercus ^np++++=Quercus
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
maple ^nn+++??+=maple
( ^zz++++=(
Acer ^np++++=Acer
; ^zz++++=;
Field ^nn++++=Field
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
Temperate ^jj+atrb+++=Temperate
conditions ^nns++++=conditions
are ^vb+ber+aux++=are
also ^rb++splt++=also
inferred ^vpsv++agls+xvbnx+=inferred
from ^in++++=from
the ^ati++++=the
diverse ^jj+atrb+++=diverse
bird ^nn++++=bird
( ^zz++++=(particularly
particularly ^rb++++=EXTRAWORD
rich ^jj++++=rich
in ^in++++=in
anatids ^nns+++??+=anatids
and ^cc++++=and
rallids ^nns+++??+=rallids)
) ^zz++++=EXTRAWORD
and ^cc++++=and
large ^jj+atrb+++=large
mammal ^nn+++??+=mammal
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
beavers ^nns+++??+=beavers,
, ^zz++++=EXTRAWORD
otters ^nns+++??+=otters,
, ^zz++++=EXTRAWORD
deer ^nns++++=deer
, ^zz++++=,
hippos ^nns+++??+=hippos,
, ^zz++++=EXTRAWORD
elephants ^nns+++??+=elephants)
) ^zz++++=EXTRAWORD
assemblages ^nns+++??+=assemblages,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
point ^nn++++=point
to ^in++++=to
a ^at++++=a
landscape ^nn++++=landscape
with ^in++++=with
substantial ^jj+atrb+++=substantial
woodland ^nn++++=woodland
components ^nns++++=components
as ^cs+sub+++=as
well ^rb++++=well
as ^in++++=as
more ^rbr++++=more
open ^jj+atrb+++=open
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
close ^jj++++=close
to ^in++++=to
permanent ^jj++++=permanent
and ^cc+phrs+++=and
large ^jj+atrb+++=large
freshwater ^jjb+atrb+++=freshwater
bodies ^nns++++=bodies
( ^zz++++=(
Konidaris ^np++++=Konidaris
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
; ^zz++++=;
Michailidis ^np+++??+=Michailidis
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
a ^at++++=a
multiproxy ^nn+++??+=multiproxy
analysis ^nn++++=analysis
using ^vwbg+++xvbg+=using
ostracods ^nns+++??+=ostracods
, ^zz++++=,
sponge ^nn++++=sponge
spicules ^nns+++??+=spicules,
, ^zz++++=EXTRAWORD
diatoms ^nns+++??+=diatoms,
, ^zz++++=EXTRAWORD
grain ^nn++++=grain
sizes ^nns++++=sizes,
, ^zz++++=EXTRAWORD
total ^jj+atrb+++=total
organic ^jj+atrb+++=organic
carbon ^nn++++=carbon,
, ^zz++++=EXTRAWORD
total ^jj+atrb+++=total
inorganic ^jj+atrb+++=inorganic
carbon ^nn++++=carbon
, ^zz++++=,
and ^cc+cls+++=and
conventional ^jj++++=conventional
X ^zz++++=X-ray
- ^zz++++=EXTRAWORD
ray ^np++++=EXTRAWORD
fluorescence ^nn++++=fluorescence,
, ^zz++++=EXTRAWORD
indicated ^j+++xvbn+=indicated
a ^at++++=a
mostly ^rb++++=mostly
dry ^jj++++=dry
and ^cc++++=and
rather ^rb++++=rather
cold ^jj+atrb+++=cold
climate ^nn++++=climate,
, ^zz++++=EXTRAWORD
with ^in++++=with
summer ^nn++++=summer
water ^nn++++=water
temperatures ^nns++++=temperatures
between ^in++++=between
10 ^cd++++=10
and ^cc++++=and
15 ^cd++++=15
C ^zz++++=C
( ^zz++++=(
Bludau ^np++++=Bludau
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021
) ^zz++++=).
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
transitional ^jj+atrb+++=transitional
temperate ^jj+atrb+++=temperate
conditions ^nns++++=conditions
and ^cc++++=and
temperature ^nn++++=temperature
range ^nn++++=range
are ^vb+ber+vrb++=are
suitable ^jj+pred+++=suitable
for ^in++++=for
M ^zz++++=M.
. ^zz++++=EXTRAWORD
sylvanus ^nns+++??+=sylvanus
according ^in+cmpx+++=according
to ^in++++=to
Elton ^np+++??+=Elton
and ^cc++++=and
O ^zz++++=O'Regan
'regan ^nn++be+??+0=EXTRAWORD
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=.
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Marathousa ^np+++??+=Marathousa
1 ^zz++++=1
landscape ^nn++++=landscape
would ^md+prd+++=would
have ^vb+hv+aux++=have
offered ^vprf+++xvbnx+=offered
macaques ^nns+++??+=macaques
the ^ati++++=the
protection ^nn++++=protection
and ^cc++++=and
the ^ati++++=the
plant ^nn++++=plant
resources ^nns++++=resources
of ^in++++=of
the ^ati++++=the
nearby ^jjb+atrb+++=nearby
woodlands ^nns++++=woodlands,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
