Size ^nn++++=Size
differences ^nns++++=differences
between ^in++++=between
taxa ^nn+++??+=taxa,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
natural ^jj+atrb+++=natural
logarithm ^nn++++=logarithm
of ^in++++=of
centroid ^nn++++=centroid
size ^nn++++=size,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
largest ^jjt+pred+++=largest
at ^rb++++=at
the ^ati++++=the
genus ^nns+++??+=genus
level ^nn++++=level
and ^cc++++=and
smallest ^jjt++++=smallest
between ^in++++=between
subspecies ^nns+++??+=subspecies
( ^zz++++=(
Som ^np++++=SOM
Tables ^nns++++=Tables
S3 ^np+++??+=S3
and ^cc++++=and
S7 ^np+++??+=S7
) ^zz++++=)
and ^cc++++=and
will ^md+prd+++=will
be ^vb+be+aux++=be
discussed ^vpsv++agls+xvbn+=discussed
in ^in++++=in
more ^rbr++++=more
detail ^nn++++=detail
in ^in++++=in
sections ^nns++++=sections
3.3 ^cd++++=3.3
3.5 ^cd++++=3.5.
. ^zz++++=EXTRAWORD
