Contrary ^in+cmpx+++=Contrary
to ^in"++++=to
our ^pp$+pp1+++=our
expectation ^nn++++=expectation,
, ^zz++++=EXTRAWORD
a ^at++++=a
leader ^nn++++=leader
male ^nn++++=male's
's ^vbz+bez+vrb++0=EXTRAWORD
yearly ^jj+atrb+++=yearly
per ^nnu++++=per-female
- ^zz++++=EXTRAWORD
female ^nn++++=EXTRAWORD
birth ^nn++++=birth
rate ^nn++++=rate
( ^zz++++=(based
based ^xvbn+++xvbn+=EXTRAWORD
on ^in++++=on
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
infants ^nns++++=infants
born ^vwbn+++xvbn+=born
into ^in++++=into
his ^pp$+pp3+++=his
Omu ^np+++??+=OMU)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
predicted ^vpsv++by+xvbn+=predicted
by ^in++++=by
the ^ati++++=the
percentage ^nn++++=percentage
of ^in++++=of
his ^pp$+pp3+++=his
takeovers ^nns+++??+=takeovers
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
aggressive ^jj+pred+++=aggressive
( ^zz++++=(
Table ^np++++=Table
1 ^zz++++=1
; ^zz++++=;
r ^zz++++=r
2 ^zz++++=2
= ^zz++++==
0.003 ^nn+++??+=0.003,
, ^zz++++=EXTRAWORD
F[1 ^np+++??+=F[1,
, ^zz++++=EXTRAWORD
40 ^cd++++=40]
] ^zz++++=EXTRAWORD
= ^zz++++==
0.140 ^nn+++??+=0.140,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.710 ^nn+++??+=0.710;
; ^zz++++=EXTRAWORD
r ^zz++++=r
s ^zz++++=s
= ^zz++++==
0.075 ^nn+++??+=0.075,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.638 ^nn+++??+=0.638;
; ^zz++++=EXTRAWORD
n ^zz++++=n
= ^zz++++==
42 ^cd++++=42
leader ^nn++++=leader
males ^nns++++=males).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
no ^at++++=no
significant ^jj+atrb+++=significant
relationships ^nns++++=relationships
between ^in++++=between
various ^jj+atrb+++=various
measures ^nns++++=measures
of ^in++++=of
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
females ^nns++++=females
in ^in++++=in
a ^at++++=a
leader ^nn++++=leader
male ^jj+atrb+++=male's
's ^vbz+bez+vrb++0=EXTRAWORD
Omu ^np+++??+=OMU
and ^cc++++=and
that ^dt+dem+++=that
male ^jj+atrb+++=male's
's ^vbz+bez+vrb++0=EXTRAWORD
percentage ^nn++++=percentage
of ^in++++=of
