Unsurprisingly ^np+++??+=Unsurprisingly,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
no ^at++++=no
relationship ^nn++++=relationship
between ^in++++=between
a ^at++++=a
leader ^nn++++=leader
male ^nn++++=male's
's ^vbz+bez+vrb++0=EXTRAWORD
average ^jj+atrb+++=average
intensity ^nn++++=intensity
of ^in++++=of
aggression ^nn++++=aggression
toward ^in++++=toward
other ^ap++++=other
males ^nns++++=males
and ^cc++++=and
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
females ^nns++++=females
in ^in++++=in
a ^at++++=a
male ^jj+atrb+++=male's
's ^vbz+bez+vrb++0=EXTRAWORD
Omu ^np+++??+=OMU
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
19 ^cd++++=19
leader ^nn++++=leader
males ^nns++++=males),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
mean ^jj+atrb+++=mean
monthly ^jj+atrb+++=monthly
number ^nn++++=number
of ^in++++=of
females ^nns++++=females
( ^zz++++=(r
r ^zz++++=EXTRAWORD
2 ^zz++++=2
= ^zz++++==
0.012 ^nn+++??+=0.012,
, ^zz++++=EXTRAWORD
F[1 ^np+++??+=F[1,
, ^zz++++=EXTRAWORD
17 ^cd++++=17]
] ^zz++++=EXTRAWORD
= ^zz++++==
0.201 ^nn+++??+=0.201,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.660 ^nn+++??+=0.660),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
maximum ^nn++++=maximum
number ^nn++++=number
of ^in++++=of
females ^nns++++=females
( ^zz++++=(at
at ^rb++++=EXTRAWORD
any ^dti++++=any
point ^nn++++=point
in ^in++++=in
time ^nn++++=time;
; ^zz++++=EXTRAWORD
r ^zz++++=r
2 ^zz++++=2
= ^zz++++==
0.011 ^nn+++??+=0.011,
, ^zz++++=EXTRAWORD
F[1 ^np+++??+=F[1,
, ^zz++++=EXTRAWORD
17 ^cd++++=17]
] ^zz++++=EXTRAWORD
= ^zz++++==
0.186 ^nn+++??+=0.186,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.671 ^nn+++??+=0.671),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
female ^jj++++=female-years
- ^zz++++=EXTRAWORD
years ^nns++++=EXTRAWORD
( ^zz++++=(r
r ^zz++++=EXTRAWORD
2 ^zz++++=2
= ^zz++++==
0.114 ^nn+++??+=0.114,
, ^zz++++=EXTRAWORD
F[1 ^np+++??+=F[1,
, ^zz++++=EXTRAWORD
17 ^cd++++=17]
] ^zz++++=EXTRAWORD
= ^zz++++==
2.176 ^cd++++=2.176,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.158 ^nn++++=0.158).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
