Ancient ^jj+atrb+++=Ancient
Dna ^np+++??+=DNA
analyses ^nns++++=analyses
have ^vb+hv+aux++=have
shown ^vprf+++xvbnx+=shown
that ^tht+vcmp+++=that
interbreeding ^nn+++??+=interbreeding
between ^in++++=between
hominin ^nn+++??+=hominin
taxa ^nn+++??+=taxa
occurred ^vbd+++xvbn+=occurred
multiple ^jj+atrb+++=multiple
times ^nns++++=times.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
admixture ^nn++++=admixture
is ^vbz+bez+aux++=is
often ^rb++splt++=often
reflected ^vpsv++agls+xvbnx+=reflected
in ^in++++=in
skeletal ^nn+++??+=skeletal
phenotype ^nn+++??+=phenotype,
, ^zz++++=EXTRAWORD
the ^ati++++=the
relationship ^nn++++=relationship
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
remains ^nns++++=remains
poorly ^rb++++=poorly
understood ^vbd+vprv++xvbn+=understood,
, ^zz++++=EXTRAWORD
hampering ^jj+atrb+++=hampering
interpretation ^nn++++=interpretation
of ^in++++=of
the ^ati++++=the
hominin ^nn+++??+=hominin
fossil ^nn++++=fossil
record ^nn++++=record.
. ^zz++++=EXTRAWORD
Direct ^jj+atrb+++=Direct
study ^nn++++=study
of ^in++++=of
this ^dt+dem+++=this
relationship ^nn++++=relationship
is ^vbz+bez+vrb++=is
often ^rb++++=often
impossible ^jj++++=impossible
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
paucity ^nn++++=paucity
of ^in++++=of
hominin ^nn+++??+=hominin
fossils ^nns++++=fossils
and ^cc++++=and
difficulties ^nns++++=difficulties
retrieving ^j++++=retrieving
ancient ^jj+atrb+++=ancient
genetic ^jj+atrb+++=genetic
material ^nn++++=material.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
use ^vb++++=use
a ^at++++=a
sample ^nn++++=sample
of ^in++++=of
known ^vbn+vprv++xvbn+=known
ancestry ^nn+++??+=ancestry
hybrids ^nns++++=hybrids
between ^in++++=between
two ^cd++++=two
closely ^rb++++=closely
related ^vbd+++xvbn+=related
nonhuman ^nn+++??+=nonhuman
primate ^nn++++=primate
taxa ^nn+++??+=taxa
( ^zz++++=(Indian
indian ^jj+atrb+++=EXTRAWORD
and ^cc+phrs+++=and
Chinese ^jj+atrb+++=Chinese
Macaca ^np+++??+=Macaca
mulatta ^nn+++??+=mulatta
) ^zz++++=)
to ^to++++=to
investigate ^vbi++++=investigate
the ^ati++++=the
effect ^nn++++=effect
of ^in++++=of
admixture ^nn++++=admixture
on ^in++++=on
skeletal ^nn+++??+=skeletal
morphology ^nn++++=morphology.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
focus ^nn++++=focus
on ^in++++=on
pelvic ^nn+++??+=pelvic
shape ^nn++++=shape,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+vrb++=has
potential ^jj+atrb+++=potential
fitness ^nn++++=fitness
implications ^nns++++=implications
in ^in++++=in
hybrids ^nns++++=hybrids,
, ^zz++++=EXTRAWORD
as ^ql++++=as
mismatches ^nns+++??+=mismatches
between ^in++++=between
maternal ^jj+atrb+++=maternal
pelvic ^nn+++??+=pelvic
and ^cc++++=and
fetal ^nn+++??+=fetal
cranial ^nn+++??+=cranial
morphology ^nn++++=morphology
are ^vb+ber+vrb++=are
often ^rb++++=often
fatal ^jj+pred+++=fatal
to ^in++++=to
mother ^nn++++=mother
and ^cc++++=and
offspring ^nn++++=offspring.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
pelvis ^nn++++=pelvis
is ^vbz+bez+vrb++=is
also ^rb++++=also
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
skeletal ^nn+++??+=skeletal
regions ^nns++++=regions
that ^tht+rel+subj++=that
differs ^vbz++++=differs
most ^ap+emph+++=most
between ^in++++=between
Homo ^np+++??+=Homo
sapiens ^nns+++??+=sapiens
and ^cc++++=and
Neanderthals ^np+++??+=Neanderthals,
, ^zz++++=EXTRAWORD
investigating ^vbg+++xvbg+=investigating
the ^ati++++=the
pelvic ^nn+++??+=pelvic
consequences ^nns++++=consequences
of ^in++++=of
interbreeding ^nn+++??+=interbreeding
could ^md+pos+++=could
be ^vb+be+vrb++=be
informative ^jj+pred+++=informative
regarding ^in++++=regarding
the ^ati++++=the
viability ^nn+++??+=viability
of ^in++++=of
their ^pp$+pp3+++=their
hybrids ^nns++++=hybrids.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
find ^vb+vprv+++=find
that ^tht+vcmp+++=that
the ^ati++++=the
effect ^nn++++=effect
of ^in++++=of
admixture ^nn++++=admixture
in ^in++++=in
M ^zz++++=M.
. ^zz++++=EXTRAWORD
mulatta ^nn+++??+=mulatta
is ^vbz+bez+vrb++=is
small ^jj+pred+++=small
and ^cc+phrs+++=and
proportional ^jj++++=proportional
to ^in++++=to
the ^ati++++=the
relatively ^rb++++=relatively
small ^jj+atrb+++=small
