Surprisingly ^rb+cnj+++=Surprisingly,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
a ^at++++=a
small ^jj+atrb+++=small
body ^nn++++=body
of ^in++++=of
literature ^nn++++=literature
on ^in++++=on
the ^ati++++=the
topic ^nn++++=topic
of ^in++++=of
learning ^xvbg+++xvbg+=learning
from ^in++++=from
models ^nns++++=models
with ^in++++=with
different ^jj+atrb+++=different
hand ^nn++++=hand
preferences ^nns++++=preferences,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
when ^wrb+who+++=when
it ^pp3+it+++=it
comes ^vbz++++=comes
to ^in++++=to
experimental ^jj+atrb+++=experimental
evidence ^nn++++=evidence
for ^in++++=for
the ^ati++++=the
hypothesis ^nn++++=hypothesis
that ^tht+ncmp+++=that
learning ^vbg+vprv++xvbg+=learning
from ^in++++=from
a ^at++++=a
concordantly ^nn++++=concordantly
handed ^vbd+++xvbn+=handed
instructor ^nn++++=instructor
is ^vbz+bez+vrb++=is
easier ^jjr+pred+++=easier
than ^in++++=than
from ^in++++=from
a ^at++++=a
discordantly ^nn++++=discordantly
handed ^vbd+++xvbn+=handed
one ^pn++++=one.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
study ^nn++++=study
by ^in++++=by
Michel ^np++++=Michel
and ^cc++++=and
Harkins ^np+++??+=Harkins
( ^zz++++=(1985)
1985 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=,
the ^ati++++=the
efficiency ^nn++++=efficiency
of ^in++++=of
imitation ^nn++++=imitation
was ^vbd+bedz+aux++=was
tested ^vpsv++agls+xvbnx+=tested
for ^in++++=for
three ^cd++++=three
different ^jj+atrb+++=different
knots ^nns++++=knots,
, ^zz++++=EXTRAWORD
as ^in++++=as
demonstrated ^nn++++=demonstrated
by ^in++++=by
either ^dtx++++=either
a ^at++++=a
leftor ^nn+++??+=leftor
right ^jj++++=right-handed
- ^zz++++=EXTRAWORD
handed ^vwbn+++xvbn+=EXTRAWORD
model ^nn++++=model.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
found ^vbd+vprv++xvbnx+=found
that ^tht+vcmp+++=that
concordance ^nn++++=concordance
of ^in++++=of
handedness ^nns+++??+=handedness
between ^in++++=between
model ^nn++++=model
and ^cc++++=and
imitator ^nn+++??+=imitator
yielded ^vbd+++xvbn+=yielded
a ^at++++=a
higher ^jjr+atrb+++=higher
success ^nn++++=success
rate ^nn++++=rate
in ^in++++=in
learning ^xvbg+++xvbg+=learning
the ^ati++++=the
knots ^nns++++=knots.
. ^zz++++=EXTRAWORD
In ^in++++=In
an ^at++++=an
additional ^jj+atrb+++=additional
analysis ^nn++++=analysis
of ^in++++=of
one ^cd1++++=one
knot ^nn++++=knot
specifically ^rb+cnj+++=specifically,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
found ^vbd+vprv++xvbnx+=found
a ^at++++=a
significant ^jj+atrb+++=significant
interaction ^nn++++=interaction
between ^in++++=between
handedness ^nns+++??+=handedness
of ^in++++=of
imitator ^nn+++??+=imitator
and ^cc++++=and
teacher ^nn++++=teacher
on ^in++++=on
the ^ati++++=the
time ^nn++++=time
needed ^vwbn+++xvbn+=needed
to ^to+vcmp+++=to
learn ^vbi+vprv+++=learn
the ^ati++++=the
knot ^nn++++=knot.
. ^zz++++=EXTRAWORD
Right ^jj++++=Right-handers
- ^zz++++=EXTRAWORD
handers ^vbz+++??+=EXTRAWORD
learned ^vprf+++xvbn+=learned
better ^jjr++++=better
from ^in++++=from
a ^at++++=a
right ^jj++++=right-handed
- ^zz++++=EXTRAWORD
handed ^vwbn+++xvbn+=EXTRAWORD
demonstrator ^nn+++??+=demonstrator
and ^cc++++=and
slower ^jjr++++=slower
from ^in++++=from
a ^at++++=a
left ^vbd+++xvbn+=left-handed
- ^zz++++=EXTRAWORD
handed ^vwbn+++xvbn+=EXTRAWORD
demonstrator ^nn+++??+=demonstrator,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
vice ^nn++++=vice-versa
- ^zz++++=EXTRAWORD
versa ^rb"++++=EXTRAWORD
for ^in++++=for
left ^vbd+++xvbn+=left-handers.
- ^zz++++=EXTRAWORD
handers ^nns+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
a ^at++++=a
problem ^nn++++=problem
with ^in++++=with
this ^dt+dem+++=this
study ^nn++++=study
might ^md+pos+++=might
be ^vb+be+vrb++=be
that ^dt+dem+++=that
only ^rb+down+++=only
one ^cd1++++=one
demonstrator ^nn+++??+=demonstrator
was ^vbd+bedz+aux++=was
used ^vpsv++agls+xvbnx+=used
per ^nnu++++=per
hand ^nn++++=hand
preference ^nn++++=preference.
. ^zz++++=EXTRAWORD
Demonstrators ^nns++++=Demonstrators
could ^md+pos+++=could
have ^vb+hv+aux++=have
differed ^vprf+++xvbnx+=differed
in ^in++++=in
other ^ap++++=other
aspects ^nns++++=aspects
than ^in++++=than
being ^xvbg+++xvbg+=being
leftor ^nn+++??+=leftor
right ^jj++++=right-handed,
- ^zz++++=EXTRAWORD
handed ^vwbn+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
they ^pp3a+pp3+++=they
could ^md+pos+++=could
have ^vb+hv+aux++=have
produced ^vprf+++xvbnx+=produced
knots ^nns++++=knots
of ^in++++=of
identical ^jj+atrb+++=identical
chirality ^nn++++=chirality
rather ^rb++++=rather
than ^cs+sub+++=than
mirrored ^xvbn+++xvbn+=mirrored
knots ^nns++++=knots.
. ^zz++++=EXTRAWORD
