Original ^nn++++=Original
reference ^nn++++=reference
Forsyth ^np+++??+=Forsyth
Major ^jj++++=Major
( ^zz++++=(1902)
1902 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=,
on ^in++++=on
some ^dti++++=some
mandibles ^nns+++??+=mandibles
and ^cc++++=and
teeth ^nns++++=teeth
of ^in++++=of
Pliocene ^np+++??+=Pliocene
voles ^nns+++??+=voles
( ^zz++++=(
Mimomys ^np++++=Mimomys
gen ^np++++=gen.
. ^zz++++=EXTRAWORD
nov ^nr++++=nov.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
Norwich ^np++++=Norwich
Crag ^np++++=Crag
In ^in++++=in
Thorpe ^np++++=Thorpe
And ^cc++++=and
The ^ati++++=the
Upper ^jjb++++=Upper
Val ^np++++=Val
D ^zz++++=d'Arno.
arno. ^nn+++??+=EXTRAWORD
