Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
an ^at++++=an
often ^rb++++=often-cited
- ^zz++++=EXTRAWORD
cited ^vwbn+++xvbn+=EXTRAWORD
hypothesis ^nn++++=hypothesis
is ^vbz+bez+vrb++=is
the ^ati++++=the
so ^ql++++=so-called
- ^zz++++=EXTRAWORD
called ^xvbn+++xvbn+=EXTRAWORD
fighting ^nvbg+++xvbg+=fighting
hypothesis ^nn++++=hypothesis
( ^zz++++=(
Faurie ^np++++=Faurie
and ^cc++++=and
Raymond ^np++++=Raymond,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
) ^zz++++=)
to ^to++++=to
explain ^vbi+vpub+++=explain
the ^ati++++=the
strong ^jj+atrb+++=strong
population ^nn++++=population
bias ^nn++++=bias
in ^in++++=in
handedness ^nns+++??+=handedness.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
proposes ^vbz+vsua+tht0++=proposes
that ^tht+vcmp+++=that
left ^vbd+++xvbn+=left-handedness
- ^zz++++=EXTRAWORD
handedness ^nns+++??+=EXTRAWORD
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
fitness ^nn++++=fitness-decreasing
- ^zz++++=EXTRAWORD
decreasing ^jj+atrb++xvbg+=EXTRAWORD
traits ^nns++++=traits
such ^abl++++=such
as ^ql++++=as
higher ^jjr+atrb+++=higher
vulnerability ^nn+++??+=vulnerability
for ^in++++=for
several ^ap++++=several
diseases ^nns++++=diseases
but ^cc++++=but
is ^vbz+bez+aux++=is
maintained ^vpsv++agls+xvbnx+=maintained
in ^in++++=in
the ^ati++++=the
population ^nn++++=population
by ^in++++=by
negative ^jj+atrb+++=negative
frequency ^nn++++=frequency-dependent
- ^zz++++=EXTRAWORD
dependent ^jj+atrb+++=EXTRAWORD
selection ^nn++++=selection
on ^in++++=on
co ^nn++++=co-occurring
- ^zz++++=EXTRAWORD
occurring ^vbg+++xvbg+=EXTRAWORD
fitness ^nn++++=fitness
benefits ^nns++++=benefits.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
latter ^ap++++=latter,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
propose ^vb++++=propose
a ^at++++=a
higher ^jjr+atrb+++=higher
chance ^nn++++=chance
of ^in++++=of
winning ^nn++++=winning
fights ^vbz++++=fights
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
a ^at++++=a
surprise ^nn++++=surprise
effect ^nn++++=effect.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
hypothesis ^nn++++=hypothesis
has ^vbz+hvz+aux++=has
received ^vprf+++xvbnx+=received
criticism ^nn++++=criticism.
. ^zz++++=EXTRAWORD
Direct ^jj+atrb+++=Direct
evidence ^nn++++=evidence
for ^in++++=for
the ^ati++++=the
negative ^jj+atrb+++=negative
frequency ^nn++++=frequency-dependent
- ^zz++++=EXTRAWORD
dependent ^jj+atrb+++=EXTRAWORD
selection ^nn++++=selection
process ^nn++++=process
on ^in++++=on
winning ^nn++++=winning
fights ^vbz++++=fights
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
yet ^rb++++=yet
been ^vprf+ben+aux+xvbn+=been
published ^vpsv++agls+xvbnx+=published,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
evidence ^nn++++=evidence
in ^in++++=in
favor ^nn++++=favor
of ^in++++=of
the ^ati++++=the
hypothesis ^nn++++=hypothesis
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
challenged ^vpsv++agls+xvbnx+=challenged
( ^zz++++=(for
for ^in++++=EXTRAWORD
a ^at++++=a
review ^nn++++=review,
, ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
groothuis ^np++++=Groothuis
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
) ^zz++++=).
. ^zz++++=EXTRAWORD
