Based ^xvbn+++xvbn+=Based
on ^in++++=on
a ^at++++=a
Bayesian ^np+++??+=Bayesian
model ^nn++++=model
of ^in++++=of
the ^ati++++=the
14 ^cd++++=14
determinations ^nns+++??+=determinations
from ^in++++=from
Bombrini ^np+++??+=Bombrini
( ^zz++++=(
Benazzi ^np++++=Benazzi
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
, ^zz++++=,
their ^pp$+pp3+++=their
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
3 ^zz++++=3
) ^zz++++=),
, ^zz++++=EXTRAWORD
the ^ati++++=the
start ^nn++++=start
of ^in++++=of
the ^ati++++=the
Proto ^np+++??+=Proto-Aurignacian
- ^zz++++=EXTRAWORD
aurignacian ^nn+++??+=EXTRAWORD
is ^vbz+bez+aux++=is
placed ^vpsv++agls+xvbnx+=placed
at ^rb++++=at
39.5 ^cd++++=39.5
36.7 ^cd++++=36.7
ka ^nn+++??+=ka
cal ^nn+++??+=cal
Bp ^np+++??+=BP
or ^cc++++=or
40.0 ^cd++++=40.0
36.5 ^cd++++=36.5
ka ^nn+++??+=ka
cal ^nn+++??+=cal
Bp ^np+++??+=BP
( ^zz++++=(68/95%
68 ^cd++++=EXTRAWORD
probability ^nn++++=probability),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
Mousterian ^np+++??+=Mousterian
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
sequence ^nn++++=sequence
falls ^vbz++++=falls
between ^in++++=between
40.9 ^cd++++=40.9
and ^cc++++=and
39.6 ^cd++++=39.6
ka ^nn+++??+=ka
cal ^nn+++??+=cal
Bp ^np+++??+=BP
or ^cc++++=or
41.1 ^cd++++=41.1
38.6 ^cd++++=38.6
ka ^nn+++??+=ka
cal ^nn+++??+=cal
Bp ^np+++??+=BP
( ^zz++++=(68/95%
68 ^cd++++=EXTRAWORD
probability ^nn++++=probability).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
estimates ^nns++++=estimates
are ^vb+ber+vrb++=are
a ^at++++=a
few ^ap++++=few
millennia ^nns++++=millennia
later ^rbr+tm+++=later
than ^in++++=than
the ^ati++++=the
respective ^jj+atrb+++=respective
start ^nn++++=start
and ^cc++++=and
end ^nn++++=end
boundaries ^nns++++=boundaries
at ^in++++=at
Mochi ^np+++??+=Mochi.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
note ^vb++++=note
that ^tht+vcmp+obj++=that
the ^ati++++=the
lower ^jjr+atrb+++=lower
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
Bombrini ^np+++??+=Bombrini
sequence ^nn++++=sequence
is ^vbz+bez+vrb++=is
dated ^jj+pred+++=dated
only ^rb+down+++=only
by ^in++++=by
four ^cd++++=four
shells ^nps++++=shells,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
the ^ati++++=the
upper ^jjb+atrb+++=upper
part ^nn++++=part
contains ^vbz++++=contains
dates ^vbz++++=dates
made ^vbd+++xvbn+=made
of ^in++++=of
bone ^nn++++=bone
and ^cc++++=and
charcoal ^nn++++=charcoal
samples ^nns++++=samples.
. ^zz++++=EXTRAWORD
Moreover ^rb+cnj+++=Moreover,
, ^zz++++=EXTRAWORD
the ^ati++++=the
two ^cd++++=two
bone ^nn++++=bone
samples ^nns++++=samples
from ^in++++=from
the ^ati++++=the
Proto ^np+++??+=Proto-Aurignacian
- ^zz++++=EXTRAWORD
aurignacian ^nn+++??+=EXTRAWORD
level ^nn++++=level
Liii ^np+++??+=LIII
dated ^jj++++=dated
to ^to++++=to
38.9 ^cd++++=38.9
38.1 ^cd++++=38.1
ka ^nn+++??+=ka
cal ^nn+++??+=cal
Bp ^np+++??+=BP
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
probability ^nn++++=probability;
; ^zz++++=EXTRAWORD
Mams ^np+++??+=MAMS
21662 ^cd++++=21662)
) ^zz++++=EXTRAWORD
and ^cc++++=and
37.6 ^cd++++=37.6
36.4 ^cd++++=36.4
ka ^nn+++??+=ka
cal ^nn+++??+=cal
Bp ^np+++??+=BP
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
probability ^nn++++=probability;
; ^zz++++=EXTRAWORD
Mams ^np+++??+=MAMS
21663 ^cd++++=21663),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
respectively ^rb+cnj+++=respectively,
, ^zz++++=EXTRAWORD
also ^rb++++=also
present ^jj+atrb+++=present
low ^jj+atrb+++=low
amounts ^nns++++=amounts
of ^in++++=of
extracted ^vbd+++xvbn+=extracted
collagen ^nn+++??+=collagen
( ^zz++++=(1.4
1.4 ^cd++++=EXTRAWORD
and ^cc++++=and
0.9 ^nn+++??+=0.9%
% ^zz++++=EXTRAWORD
collagen ^nn+++??+=collagen
respectively ^rb++++=respectively)
) ^zz++++=EXTRAWORD
and ^cc++++=and
have ^vb+hv+vrb++=have
high ^jj+atrb+++=high
C:n ^np+++??+=C:N
ratios ^nns++++=ratios
( ^zz++++=(3.5
3.5 ^cd++++=EXTRAWORD
and ^cc++++=and
3.4 ^cd++++=3.4,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
both ^abx++++=both
of ^in++++=of
which ^whp+rel+pied++=which
may ^md+pos+++=may
indicate ^vb+vprv+++=indicate
possible ^jj+atrb+++=possible
contamination ^nn++++=contamination.
. ^zz++++=EXTRAWORD
With ^in++++=With
uncertainties ^nns++++=uncertainties
in ^in++++=in
the ^ati++++=the
depositional ^nn+++??+=depositional
history ^nn++++=history
of ^in++++=of
the ^ati++++=the
shells ^nps++++=shells,
, ^zz++++=EXTRAWORD
the ^ati++++=the
diagenetic ^nn+++??+=diagenetic
potential ^jj++++=potential
of ^in++++=of
shell ^nn++++=shell
in ^in++++=in
general ^jj++++=general,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
possible ^jj+atrb+++=possible
bone ^nn++++=bone
contamination ^nn++++=contamination,
, ^zz++++=EXTRAWORD
further ^jjb++++=further
dating ^jj+++xvbg+=dating
at ^rb++++=at
Bombrini ^np+++??+=Bombrini
