Unsurprisingly ^np+++??+=Unsurprisingly,
, ^zz++++=EXTRAWORD
in ^in++++=in
these ^dt+dem+++=these
quadruped ^nn+++??+=quadruped
species ^nns++++=species,
, ^zz++++=EXTRAWORD
the ^ati++++=the
highest ^jjt+atrb+++=highest
correlation ^nn++++=correlation
occurred ^vbd+++xvbn+=occurred
between ^in++++=between
variables ^nns++++=variables
functionally ^rb++++=functionally
implicated ^vbd+++xvbn+=implicated
in ^in++++=in
the ^ati++++=the
head ^jjb+atrb+++=head's
's ^vbz+bez+vrb++0=EXTRAWORD
load ^nn++++=load
arm ^nn++++=arm,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
prognathism ^nn+++??+=prognathism
of ^in++++=of
the ^ati++++=the
face ^nn++++=face
( ^zz++++=(
Schultz ^np++++=Schultz,
, ^zz++++=EXTRAWORD
1942 ^cd+date+++=1942
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+dem+++=those
vertebral ^nn+++??+=vertebral
traits ^nns++++=traits
that ^tht+rel+subj++=that
serve ^vb++++=serve
for ^in++++=for
the ^ati++++=the
insertion ^nn++++=insertion
of ^in++++=of
the ^ati++++=the
major ^jj+atrb+++=major
nuchal ^nn+++??+=nuchal
muscles ^nns++++=muscles
that ^tht+rel+obj++=that
support ^nn++++=support
this ^dt+dem+++=this
stress ^nn++++=stress
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
transverse ^jj++++=transverse
and ^cc++++=and
spinous ^nns+++??+=spinous
processes ^nns++++=processes,
, ^zz++++=EXTRAWORD
Kapandji ^np+++??+=Kapandji,
, ^zz++++=EXTRAWORD
1974 ^cd+date+++=1974
; ^zz++++=;
White ^jj++++=White
and ^cc++++=and
Panjabi ^np+++??+=Panjabi,
, ^zz++++=EXTRAWORD
1990 ^cd+date+++=1990
) ^zz++++=).
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
in ^in++++=in
species ^nn++++=species
with ^in++++=with
an ^at++++=an
upright ^jj+atrb+++=upright
posture ^nn++++=posture,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
humans ^nns++++=humans,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
head ^nn++++=head
is ^vbz+bez+aux++=is
located ^vpsv++agls+xvbnx+=located
upon ^in++++=upon
the ^ati++++=the
cervical ^jj+atrb+++=cervical
spine ^nn++++=spine
and ^cc++++=and
the ^ati++++=the
loads ^nns++++=loads
are ^vb+ber+aux++=are
transmitted ^vpsv++agls+xvbnx+=transmitted
more ^rbr++++=more
vertically ^rb++++=vertically
( ^zz++++=(
Demes ^np++++=Demes,
, ^zz++++=EXTRAWORD
1985 ^cd+date+++=1985
) ^zz++++=),
, ^zz++++=EXTRAWORD
the ^ati++++=the
highest ^jjt+atrb+++=highest
correlation ^nn++++=correlation
occurs ^vbz++++=occurs
between ^in++++=between
the ^ati++++=the
cranial ^nn+++??+=cranial
maximum ^nn++++=maximum
length ^rb++++=length
and ^cc++++=and
vertebral ^jj+atrb++??+=vertebral
body ^nn++++=body
variables ^nns++++=variables.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
could ^md+pos+++=could
reflex ^vb++++=reflex
the ^ati++++=the
different ^jj++++=different
muscular ^jj++++=muscular
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Dean ^np++++=Dean,
, ^zz++++=EXTRAWORD
1985a ^cd++++=1985a
, ^zz++++=,
b ^zz++++=b
) ^zz++++=)
and ^cc++++=and
biomechanical ^nn+++??+=biomechanical
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
head ^nn++++=head-neck
- ^zz++++=EXTRAWORD
neck ^nn++++=EXTRAWORD
movement ^nn++++=movement
system ^nn++++=system
between ^in++++=between
these ^dt+dem+++=these
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
as ^ql++++=as
humans ^nns++++=humans
maintain ^vb+vpub+++=maintain
the ^ati++++=the
atlas ^nn++++=atlas
and ^cc++++=and
the ^ati++++=the
lower ^jjr+atrb+++=lower
cervical ^jj+atrb+++=cervical
vertebrae ^nn+++??+=vertebrae
in ^in++++=in
a ^at++++=a
midposition ^nn+++??+=midposition
between ^in++++=between
extreme ^jj+atrb+++=extreme
flexion ^nn++++=flexion
and ^cc++++=and
extreme ^jj+atrb+++=extreme
extension ^nn++++=extension
( ^zz++++=(
Graf ^np++++=Graf
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1995b ^cd++++=1995b
) ^zz++++=),
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
a ^at++++=a
more ^rbr++++=more
self ^nn++++=self-stabilizing
- ^zz++++=EXTRAWORD
stabilizing ^nn+++??+=EXTRAWORD
resting ^vwbg+++xvbg+=resting
posture ^nn++++=posture
( ^zz++++=(
Schultz ^np++++=Schultz,
, ^zz++++=EXTRAWORD
1942 ^cd+date+++=1942
; ^zz++++=;
Adams ^np++++=Adams
and ^cc++++=and
Moore ^np++++=Moore,
, ^zz++++=EXTRAWORD
1975 ^cd+date+++=1975
, ^zz++++=,
Dean ^np++++=Dean,
, ^zz++++=EXTRAWORD
1985a ^cd++++=1985a
, ^zz++++=,
b ^zz++++=b
; ^zz++++=;
Lieberman ^np+++??+=Lieberman,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
) ^zz++++=).
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
might ^md+pos+++=might
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
cervical ^jj+atrb+++=cervical
vertebral ^nn+++??+=vertebral
morphology ^nn++++=morphology
is ^vbz+bez+aux++=is
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
the ^ati++++=the
biomechanical ^nn+++??+=biomechanical
requirements ^nns++++=requirements
of ^in++++=of
head ^jjb+atrb+++=head
movement ^nn++++=movement
and ^cc++++=and
maintenance ^nn++++=maintenance
of ^in++++=of
the ^ati++++=the
visual ^jj+atrb+++=visual
field ^nn++++=field,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
during ^in++++=during
locomotion ^nn+++??+=locomotion,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
advantage ^nn++++=advantage
of ^in++++=of
cervical ^jj+atrb+++=cervical
lordosis ^nns+++??+=lordosis
in ^in++++=in
pronograde ^nn+++??+=pronograde
species ^nns++++=species
is ^vbz+bez+vrb++=is
minimized ^nn+++??+=minimized
owing ^in+cmpx+++=owing
to ^in"++++=to
the ^ati++++=the
reorientation ^nn++++=reorientation
of ^in++++=of
the ^ati++++=the
neck ^nn++++=neck
( ^zz++++=(
Graf ^np++++=Graf
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1995b ^cd++++=1995b
; ^zz++++=;
Manfreda ^np+++??+=Manfreda
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
; ^zz++++=;
Nalley ^np+++??+=Nalley
and ^cc++++=and
Grider ^np+++??+=Grider-Potter,
- ^zz++++=EXTRAWORD
potter ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
; ^zz++++=;
Arlegi ^np+++??+=Arlegi
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
