Although ^cs+con+++=Although
sandstone ^nn++++=sandstone
is ^vbz+bez+vrb++=is
the ^ati++++=the
dominant ^jj+atrb+++=dominant
raw ^jj+atrb+++=raw
material ^nn++++=material
type ^nn++++=type
used ^vwbn+++xvbn+=used
at ^rb++++=at
the ^ati++++=the
Ravin ^np+++??+=Ravin
Blanc ^np++++=Blanc
I ^pp1a+pp1+++=I
site ^nn++++=site,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+vrb++=has
different ^jj+atrb+++=different
surface ^nn++++=surface
appearances ^nns++++=appearances.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cement ^nn++++=cement
of ^in++++=of
the ^ati++++=the
sandstone ^nn++++=sandstone
contains ^vbz++++=contains
more ^rbr++++=more
or ^cc+phrs+++=or
less ^rbr++++=less
silica ^nn++++=silica
or ^cc++++=or
limestone ^nn++++=limestone,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
strongly ^rb+amp+splt++=strongly
impacted ^vb+++??+=impacted
the ^ati++++=the
preservation ^nn++++=preservation
of ^in++++=of
the ^ati++++=the
lithic ^nn+++??+=lithic
artifacts ^nns+++??+=artifacts
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
extreme ^nn++++=extreme
hydrometric ^nn+++??+=hydrometric
conditions ^nns++++=conditions
characterizing ^nn++++=characterizing
Su1 ^np+++??+=SU1
and ^cc++++=and
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
The ^ati++++=The
higher ^jjr++++=higher
is ^vbz+bez+vrb++=is
the ^ati++++=the
silica ^nn++++=silica
content ^nn++++=content
in ^in++++=in
the ^ati++++=the
sandstone ^nn++++=sandstone
cement ^nn++++=cement,
, ^zz++++=EXTRAWORD
the ^ati++++=the
greater ^jjr++++=greater
is ^vbz+bez+vrb++=is
the ^ati++++=the
preservation ^nn++++=preservation
of ^in++++=of
the ^ati++++=the
sharpness ^nn++++=sharpness
of ^in++++=of
the ^ati++++=the
cutting ^jj+atrb++xvbg+=cutting
edges ^nns++++=edges
and ^cc++++=and
of ^in++++=of
the ^ati++++=the
negative ^jj+atrb+++=negative
scars ^nns++++=scars.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lithics ^nn++++=lithics
made ^vbd+++xvbn+=made
of ^in++++=of
sandstone ^nn++++=sandstone
with ^in++++=with
higher ^jjr+atrb+++=higher
rates ^nns++++=rates
of ^in++++=of
limestone ^nn++++=limestone
cement ^nn++++=cement
have ^vb+hv+aux++=have
blunted ^vprf+++xvbn+=blunted
edges ^nns++++=edges
and ^cc++++=and
a ^at++++=a
soapy ^nn+++??+=soapy
appearance ^vb++++=appearance
that ^tht+vcmp+subj++=that
makes ^vbz++++=makes
it ^pp3+it+++=it
sometimes ^rb++++=sometimes
difficult ^jj++++=difficult
to ^to+jcmp+++=to
characterize ^vbi++++=characterize
the ^ati++++=the
technical ^jj+atrb+++=technical
traces ^nns++++=traces.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
sandstone ^nn++++=sandstone
used ^vwbn+++xvbn+=used
at ^rb++++=at
the ^ati++++=the
Ravin ^np+++??+=Ravin
Blanc ^np++++=Blanc
I ^pp1a+pp1+++=I
site ^nn++++=site
has ^vbz+hvz+vrb++=has
a ^at++++=a
coarse ^jj++++=coarse-grained
- ^zz++++=EXTRAWORD
grained ^jj+atrb+++=EXTRAWORD
appearance ^nn++++=appearance
due ^jj++++=due
to ^in+jcmp+++=to
visible ^jj+atrb+++=visible
sand ^nn++++=sand
grains ^nns++++=grains.
. ^zz++++=EXTRAWORD
Surface ^nn++++=Surface
patina ^nn+++??+=patina
is ^vbz+bez+vrb++=is
invariably ^rb++++=invariably
chalky ^jj+atrb+++=chalky
white ^nn++++=white,
, ^zz++++=EXTRAWORD
pasty ^nn+++??+=pasty
when ^wrb+who+++=when
wet ^jj++++=wet,
, ^zz++++=EXTRAWORD
except ^in++++=except
for ^in++++=for
eight ^cd++++=eight
sandstone ^nn++++=sandstone
lithics ^nns+++??+=lithics
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
disintegrating ^jj+atrb+++=disintegrating
following ^jj+atrb++xvbg+=following
significant ^jj+atrb+++=significant
fissuring ^nn++++=fissuring,
, ^zz++++=EXTRAWORD
showing ^vbg+vprv++xvbg+=showing
an ^at++++=an
ultimate ^jj+atrb+++=ultimate
stage ^nn++++=stage
of ^in++++=of
alteration ^nn++++=alteration.
. ^zz++++=EXTRAWORD
