The ^ati++++=The
developed ^jj+atrb++xvbn+=developed
level ^nn++++=level
of ^in++++=of
subindicators ^nns+++??+=subindicators
within ^in++++=within
each ^dt++++=each
area ^nn++++=area
aims ^vb++++=aims
to ^to+vcmp+++=to
increase ^vbi++++=increase
knowledge ^nn++++=knowledge
of ^in++++=of
the ^ati++++=the
social ^jj+atrb+++=social
bond ^nn++++=bond
and ^cc++++=and
the ^ati++++=the
emotional ^jj+atrb+++=emotional
aspects ^nns++++=aspects
of ^in++++=of
Atv ^np+++??+=ATV
therapy ^nn++++=therapy.
. ^zz++++=EXTRAWORD
In ^in++++=In
what ^wdt+who+++=what
follows ^vbz+vprv+++=follows,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
will ^md+prd+++=will
look ^vb++++=look
at ^rb++++=at
the ^ati++++=the
tension ^nn++++=tension
between ^in++++=between
the ^ati++++=the
balanced ^jj+atrb++xvbn+=balanced
relationship ^nn++++=relationship
and ^cc++++=and
the ^ati++++=the
isolated ^jj+atrb++xvbn+=isolated/over-differentiated
relationship ^nn++++=relationship
and ^cc++++=and
the ^ati++++=the
balanced ^jj+++xvbn+=balanced
and ^cc++++=and
the ^ati++++=the
respective ^nn++++=respective
engulfed ^vbd+++xvbn+=engulfed/under-differentiated
relationship ^nn++++=relationship
that ^tht+rel+subj++=that
indicates ^vbz+vpub+++=indicates
when ^wrb+who+whcl++=when
the ^ati++++=the
therapy ^nn++++=therapy
results ^nns++++=results
in ^in++++=in
solidarity ^nn++++=solidarity
or ^cc++++=or
an ^at++++=an
alienated ^jj+atrb++xvbn+=alienated
social ^jj+atrb+++=social
bond ^nn++++=bond
between ^in++++=between
the ^ati++++=the
therapist ^nn++++=therapist
and ^cc++++=and
the ^ati++++=the
client ^nn++++=client.
. ^zz++++=EXTRAWORD
