Polymerase ^np+++??+=Polymerase
chain ^nn++++=chain
reaction ^nn++++=reaction
products ^nns++++=products
were ^vbd+bed+aux++=were
visualized ^vpsv++agls+xvbnx+=visualized
with ^in++++=with
agarose ^nn+++??+=agarose
gel ^nn++++=gel
electrophoresis ^nns+++??+=electrophoresis
. ^zz++++=.
Equal ^jj+atrb+++=Equal
volumes ^nns++++=volumes
of ^in++++=of
Pcr ^np+++??+=PCR
products ^nns++++=products
with ^in++++=with
similar ^jj+atrb+++=similar
band ^nn++++=band
intensity ^nn++++=intensity
were ^vbd+bed+aux++=were
mixed ^vpsv++agls+xvbnx+=mixed
and ^cc+phrs+++=and
purified ^vprf+++xvbn+=purified
using ^vbg+++xvbg+=using
the ^ati++++=the
Minelute ^np+++??+=MinElute
Purification ^nn++++=Purification
kit ^nn++++=kit
( ^zz++++=(Qiagen
qiagen ^nn+++??+=EXTRAWORD
Gmbh ^np+++??+=GmbH,
, ^zz++++=EXTRAWORD
Hilden ^np+++??+=Hilden,
, ^zz++++=EXTRAWORD
Germany ^np++++=Germany),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
including ^in++++=including
Pcr ^np+++??+=PCR
products ^nns++++=products
that ^tht+rel+subj++=that
did ^vbd+dod+aux++=did
not ^xnot++not++=not
show ^vb+vprv+++=show
a ^at++++=a
band ^nn++++=band.
. ^zz++++=EXTRAWORD
Concentrations ^nns++++=Concentrations
of ^in++++=of
the ^ati++++=the
pools ^nns++++=pools
with ^in++++=with
purified ^vprf+++xvbn+=purified
Pcr ^np+++??+=PCR
products ^nns++++=products
were ^vbd+bed+aux++=were
measured ^vpsv++agls+xvbnx+=measured
on ^in++++=on
a ^at++++=a
Qubit ^np+++??+=Qubit
2.0 ^cd++++=2.0
with ^in++++=with
the ^ati++++=the
Qubit ^np+++??+=Qubit
dsdna ^nn+++??+=dsDNA
Hs ^np+++??+=HS
kit ^nn++++=kit
( ^zz++++=(ThermoFisher
thermofisher ^nn+++??+=EXTRAWORD
Scientific ^jj++++=Scientific),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pools ^nns++++=pools
were ^vbd+bed+aux++=were
subsequently ^rb+tm+splt++=subsequently
combined ^vpsv++agls+xvbnx+=combined
in ^in++++=in
an ^at++++=an
equimolar ^nn+++??+=equimolar
superpool ^nn+++??+=superpool.
. ^zz++++=EXTRAWORD
Libraries ^nns++++=Libraries
were ^vbd+bed+aux++=were
built ^vpsv++agls+xvbnx+=built
from ^in++++=from
the ^ati++++=the
resulting ^jj+atrb++xvbg+=resulting
superpool ^nn+++??+=superpool
using ^vwbg+++xvbg+=using
the ^ati++++=the
Kapa ^np+++??+=KAPA
Hyperprep ^np+++??+=HyperPrep
Dna ^np+++??+=DNA
kit ^nn++++=kit
( ^zz++++=(Roche)
roche ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
sequenced ^nn+++??+=sequenced
on ^in++++=on
the ^ati++++=the
illumina ^np++++=Illumina
hiseq ^np++++=HiSeq
4000 ^cd++++=4000
at ^in++++=at
the ^ati++++=the
norwegian ^jj+atrb+++=Norwegian
sequencing ^np++++=Sequencing
centre ^jjb++++=Centre.
. ^zz++++=EXTRAWORD
