Compared ^vbd+++xvbn+=Compared
with ^in++++=with
the ^ati++++=the
clear ^jj+atrb+++=clear
similarities ^nns++++=similarities
between ^in++++=between
Boxgrove ^np+++??+=Boxgrove
and ^cc++++=and
Sh ^np+++??+=SH
in ^in++++=in
the ^ati++++=the
lower ^jjr+atrb+++=lower
incisors ^nns+++??+=incisors,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
more ^rbr++++=more
basis ^nn++++=basis
for ^in++++=for
distinguishing ^xvbg+++xvbg+=distinguishing
the ^ati++++=the
Boxgrove ^np+++??+=Boxgrove
tibia ^nn+++??+=tibia
at ^rb++++=at
a ^at++++=a
population ^nn++++=population
level ^nn++++=level
in ^in++++=in
its ^pp$+it+++=its
particular ^jj+atrb+++=particular
combination ^nn++++=combination
of ^in++++=of
traits ^nns++++=traits
otherwise ^rb+cnj+++=otherwise
found ^vbd+vprv++xvbn+=found
in ^in++++=in
Sh ^np+++??+=SH,
, ^zz++++=EXTRAWORD
Neanderthals ^np+++??+=Neanderthals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
modern ^jj+atrb+++=modern
humans ^nns++++=humans.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
primarily ^rb+down+++=primarily
primitive ^jj+atrb+++=primitive
morphology ^nn++++=morphology
of ^in++++=of
the ^ati++++=the
Boxgrove ^np+++??+=Boxgrove
tibial ^nn+++??+=tibial
shaft ^nn++++=shaft
would ^md+prd+++=would
fit ^vb++++=fit
that ^tht+rel+++=that
of ^in++++=of
the ^ati++++=the
predicted ^jj+++xvbn+=predicted
last ^rb++++=last
common ^jj+atrb+++=common
ancestor ^nn++++=ancestor
for ^in++++=for
modern ^jj+atrb+++=modern
humans ^nns++++=humans
and ^cc++++=and
Neanderthals ^np+++??+=Neanderthals
( ^zz++++=(the
the ^ati++++=EXTRAWORD
last ^jj+atrb+++=last
pre ^nn+++??+=pre-split
- ^zz++++=EXTRAWORD
split ^nn+++xvbn+=EXTRAWORD
species ^nn++++=species).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
patterns ^nns++++=patterns
observed ^vbd+vprv++xvbn+=observed
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
justification ^nn++++=justification
for ^in++++=for
assigning ^xvbg+++xvbg+=assigning
the ^ati++++=the
Boxgrove ^np+++??+=Boxgrove
and ^cc++++=and
Sh ^np+++??+=SH
incisors ^nns+++??+=incisors
to ^in++++=to
distinct ^jj+atrb+++=distinct
paleodemes ^nns+++??+=paleodemes,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
tibial ^nn+++??+=tibial
data ^nns++++=data
show ^vb+vprv+++=show
greater ^jjr+atrb+++=greater
contrasts ^nns++++=contrasts
and ^cc++++=and
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
these ^dt+dem+++=these
tibial ^nn+++??+=tibial
specimens ^nns++++=specimens
are ^vb+ber+vrb++=are
unlikely ^jj+pred+++=unlikely
to ^to+jcmp+++=to
represent ^vbi++++=represent
the ^ati++++=the
same ^ap++++=same
population ^nn++++=population.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
Boxgrove ^np+++??+=Boxgrove
incisors ^nns+++??+=incisors
and ^cc++++=and
tibia ^nn+++??+=tibia
represent ^vb++++=represent
a ^at++++=a
single ^jj+atrb+++=single
population ^nn++++=population,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
combination ^nn++++=combination
of ^in++++=of
traits ^nns++++=traits
suggests ^vbz+vpub+tht0++=suggests
this ^dt+dem+++=this
paleodeme ^nn++++=paleodeme
was ^vbd+bedz+vrb++=was
distinct ^jj+pred+++=distinct
from ^in++++=from
the ^ati++++=the
sh ^np++++=SH
paleodeme ^nn++++=paleodeme.
. ^zz++++=EXTRAWORD
