On ^in++++=On
the ^ati++++=the
question ^nn++++=question
of ^in++++=of
the ^ati++++=the
therapist ^nn+++??+=therapist
s ^zz++++=s
influence ^nn++++=influence
on ^in++++=on
what ^wdt+who+++=what
feelings ^nns++++=feelings
clients ^nns++++=clients
display ^nn++++=display
during ^in++++=during
therapy ^nn++++=therapy,
, ^zz++++=EXTRAWORD
T2 ^zz++++=T2
states ^nns++++=states,
, ^zz++++=EXTRAWORD
Psychotherapy ^np+++??+=Psychotherapy
can ^md+pos+++=can
be ^vb+be+vrb++=be
both ^abx++++=both
provocative ^jj++++=provocative
and ^cc+phrs+++=and
manipulative ^jj++++=manipulative
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
and ^cc+cls+++=and
involve ^vb++++=involve
people ^nns++++=people
in ^in++++=in
processes ^nns++++=processes
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
do ^vb+do+aux++=do
not ^xnot++not++=not
want ^vb++++=want
to ^to+vcmp+++=to
participate ^vbi++++=participate
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
therapists ^nns+++??+=therapists
state ^vb++++=state
that ^tht+vcmp+obj++=that
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
a ^at++++=a
dimension ^nn++++=dimension
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
their ^pp$+pp3+++=their
professionalism ^nn++++=professionalism
and ^cc++++=and
their ^pp$+pp3+++=their
ability ^nn++++=ability
to ^to+ncmp+++=to
respect ^vb++++=respect
what ^wdt+who+++=what
individual ^jj+atrb+++=individual
clients ^nns++++=clients
can ^md+pos+++=can
cope ^vb++++=cope
with ^in+strn+++=with.
. ^zz++++=EXTRAWORD
T2 ^zz++++=T2
also ^rb++++=also
states ^np++++=states,
, ^zz++++=EXTRAWORD
The ^ati++++=The
clients ^nns++++=clients
can ^md+pos+++=can
join ^vb++++=join
this ^dt+dem+++=this
Atv ^np+++??+=ATV
therapy ^nn++++=therapy
whenever ^wrb+who+++=whenever
they ^pp3a+pp3+++=they
want ^vb++++=want
but ^cc++++=but
also ^rb++++=also
quit ^vb++++=quit
whenever ^wrb+who+++=whenever
they ^pp3a+pp3+++=they
want ^vb++++=want.
. ^zz++++=EXTRAWORD
no ^at++++=No
compulsion ^nn++++=compulsion
element ^nn++++=element
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
