Visual ^jj+atrb+++=Visual
information ^nn++++=information
of ^in++++=of
the ^ati++++=the
phylomorphospaces ^nns+++??+=phylomorphospaces
is ^vbz+bez+aux++=is
shown ^vpsv++agls+xvbnx+=shown
in ^in++++=in
Figure ^nn++++=Figure
4 ^zz++++=4
. ^zz++++=.
If ^cs+cnd+++=If
the ^ati++++=the
magnitudes ^nns++++=magnitudes
of ^in++++=of
phylogenetic ^jj+atrb+++=phylogenetic
signal ^nn++++=signal
( ^zz++++=(discussed
discussed ^vbd+++xvbn+=EXTRAWORD
earlier ^jjr++++=earlier)
) ^zz++++=EXTRAWORD
indicates ^vbz+vpub+++=indicates
the ^ati++++=the
magnitude ^nn++++=magnitude
and ^cc++++=and
the ^ati++++=the
direction ^nn++++=direction
of ^in++++=of
shape ^nn++++=shape
divergence ^nn++++=divergence
in ^in+cmpx+++=in
the ^in"++++=the
process ^in"++++=process
of ^in"++++=of
evolution ^nn++++=evolution
( ^zz++++=(
Klingenberg ^np++++=Klingenberg
and ^cc++++=and
Gidaszewski ^np+++??+=Gidaszewski,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
) ^zz++++=),
, ^zz++++=EXTRAWORD
the ^ati++++=the
phylomorphospaces ^nns+++??+=phylomorphospaces
allow ^vb++++=allow
one ^cd1++++=one
to ^to++++=to
visualize ^vbi++++=visualize
the ^ati++++=the
history ^nn++++=history
of ^in++++=of
morphological ^jj+atrb+++=morphological
diversification ^nn++++=diversification
of ^in++++=of
a ^at++++=a
clade ^nn+++??+=clade
( ^zz++++=(
Sidlauskas ^np++++=Sidlauskas,
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
Figure ^nn++++=Figure
4 ^zz++++=4
, ^zz++++=,
we ^pp1a+pp1+++=we
can ^md+pos+++=can
observe ^vb+vprv+++=observe
that ^tht+vcmp+++=that
the ^ati++++=the
cranium ^nn+++??+=cranium
and ^cc++++=and
the ^ati++++=the
subaxial ^nn+++??+=subaxial
cervical ^jj+atrb+++=cervical
vertebrae ^nn+++??+=vertebrae
show ^vb+vprv+++=show
a ^at++++=a
similar ^jj+atrb+++=similar
evolutionary ^jj+atrb+++=evolutionary
trend ^nn++++=trend.
. ^zz++++=EXTRAWORD
Hominine ^np+++??+=Hominine
groups ^nns++++=groups
are ^vb+ber+aux++=are
separated ^vpsv++agls+xvbnx+=separated
along ^in+strn+++=along,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
almost ^rb+hdg+++=almost
in ^in++++=in
parallel ^nn++++=parallel,
, ^zz++++=EXTRAWORD
the ^ati++++=the
axis ^nn++++=axis
of ^in++++=of
the ^ati++++=the
Pc1 ^np+++??+=PC1,
, ^zz++++=EXTRAWORD
showing ^vbg+vprv++xvbg+=showing
a ^at++++=a
strong ^jj+atrb+++=strong
divergence ^nn++++=divergence
in ^in++++=in
opposite ^jj+atrb+++=opposite
directions ^nns++++=directions
for ^in++++=for
gorillas ^nns+++??+=gorillas
and ^cc++++=and
humans ^nns++++=humans.
. ^zz++++=EXTRAWORD
The ^ati++++=The
genus ^nns+++??+=genus
Pongo ^np+++??+=Pongo
diverges ^vbz++++=diverges
from ^in++++=from
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
family ^nn++++=family,
, ^zz++++=EXTRAWORD
mostly ^rb++++=mostly
in ^in++++=in
the ^ati++++=the
direction ^nn++++=direction
of ^in++++=of
the ^ati++++=the
Pc2 ^np+++??+=PC2.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
atlas ^nn++++=atlas,
, ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
paniscus ^nns+++??+=paniscus
and ^cc++++=and
H ^zz++++=H.
. ^zz++++=EXTRAWORD
sapiens ^nns+++??+=sapiens
on ^in++++=on
the ^ati++++=the
one ^cd1++++=one
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
P ^zz++++=P.
. ^zz++++=EXTRAWORD
troglodytes ^nns+++??+=troglodytes
and ^cc++++=and
gorillas ^nns+++??+=gorillas
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
show ^vb+vprv+++=show
shorter ^jjr+atrb+++=shorter
distances ^nns++++=distances
between ^in++++=between
them ^pp3o+pp3+++=them
than ^in++++=than
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
their ^pp$+pp3+++=their
common ^jj+atrb+++=common
ancestor ^nn++++=ancestor,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
a ^at++++=a
certain ^jj+atrb+++=certain
homoplasy ^nn+++??+=homoplasy
in ^in++++=in
shape ^nn++++=shape.
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
difficult ^jj+pred+++=difficult
to ^to+jcmp+++=to
ascertain ^vbi+vprv+tht0++=ascertain
the ^ati++++=the
evolutionary ^jj+atrb+++=evolutionary
ratio ^nn++++=ratio
based ^vwbn+++xvbn+=based
only ^rb+down+++=only
on ^in++++=on
the ^ati++++=the
phylomorphospaces ^nns+++??+=phylomorphospaces;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
except ^in++++=except
for ^in++++=for
the ^ati++++=the
atlas ^nn++++=atlas,
, ^zz++++=EXTRAWORD
the ^ati++++=the
longer ^rbr++++=longer
branches ^nns++++=branches
of ^in++++=of
humans ^nns++++=humans
indicate ^vb+vprv+++=indicate
faster ^rbr++++=faster
divergence ^nn++++=divergence
in ^in++++=in
this ^dt+pdem+++=this
species ^vbz++++=species
than ^in++++=than
those ^dt+dem+++=those
of ^in++++=of
the ^ati++++=the
other ^ap++++=other
taxa ^nn+++??+=taxa.
. ^zz++++=EXTRAWORD
Download ^np+++??+=Download:
: ^zz++++=EXTRAWORD
Download ^np+++??+=Download
high ^jj++++=high-res
- ^zz++++=EXTRAWORD
res ^nns+++??+=EXTRAWORD
image ^nn++++=image
( ^zz++++=(841KB)
841kb ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Download ^np+++??+=Download:
: ^zz++++=EXTRAWORD
Download ^np+++??+=Download
full ^jj++++=full-size
- ^zz++++=EXTRAWORD
size ^nn++++=EXTRAWORD
image ^nn++++=image
Figure ^nn++++=Figure
4 ^zz++++=4
. ^zz++++=.
Phylomorphospaces ^np+++??+=Phylomorphospaces
of ^in++++=of
the ^ati++++=the
cranium ^nn+++??+=cranium
and ^cc++++=and
the ^ati++++=the
seven ^cd++++=seven
cervical ^jj+atrb+++=cervical
vertebrae ^nn+++??+=vertebrae
in ^in++++=in
Hominidae ^np+++??+=Hominidae.
. ^zz++++=EXTRAWORD
The ^ati++++=The
phylogenetic ^jj+atrb+++=phylogenetic
tree ^nn++++=tree
of ^in++++=of
this ^dt+dem+++=this
family ^nn++++=family
was ^vbd+bedz+aux++=was
superimposed ^vpsv++agls+xvbnx+=superimposed
onto ^in++++=onto
the ^ati++++=the
first ^rb++++=first
two ^cd++++=two
principal ^jjb+atrb+++=principal
components ^nns++++=components
of ^in++++=of
each ^dt++++=each
anatomical ^jj+atrb+++=anatomical
element ^nn++++=element.
. ^zz++++=EXTRAWORD
The ^ati++++=The
red ^jj+atrb+++=red
dot ^nn++++=dot
indicates ^vbz+vpub+++=indicates
the ^ati++++=the
root ^nn++++=root
of ^in++++=of
the ^ati++++=the
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
numbers ^nns++++=numbers
on ^in++++=on
the ^ati++++=the
branches ^nns++++=branches
( ^zz++++=(internal
internal ^jj+atrb+++=EXTRAWORD
nodes ^nns++++=nodes)
) ^zz++++=EXTRAWORD
represent ^vb++++=represent
the ^ati++++=the
last ^rb++++=last
common ^jj+atrb+++=common
ancestors ^nns++++=ancestors
for ^in++++=for
the ^ati++++=the
respective ^jj+atrb+++=respective
pairs ^nns++++=pairs
of ^in++++=of
lineages ^nns+++??+=lineages
. ^zz++++=.
( ^zz++++=(For
for ^in++++=EXTRAWORD
interpretation ^nn++++=interpretation
of ^in++++=of
the ^ati++++=the
references ^nns++++=references
to ^in++++=to
color ^nn+++??+=color
in ^in++++=in
this ^dt+dem+++=this
figure ^nn++++=figure
legend ^nn++++=legend,
, ^zz++++=EXTRAWORD
the ^ati++++=the
reader ^nn++++=reader
is ^vbz+bez+aux++=is
referred ^vbd+++xvbn+=referred
to ^in++++=to
the ^ati++++=the
web ^nn++++=Web
version ^nn++++=version
of ^in++++=of
this ^dt+dem+++=this
article ^nn++++=article.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
