Syntypes ^np+++??+=Syntypes
6 ^zz++++=6
maxillae ^nn+++??+=maxillae
and ^cc++++=and
37 ^cd++++=37
mandible ^nn+++??+=mandible
fragments ^nns++++=fragments
( ^zz++++=(V
v ^zz++++=EXTRAWORD
61.1585 ^cd++++=61.1585),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
housed ^j+++xvbn+=housed
at ^rb++++=at
the ^ati++++=the
Hungarian ^jj+atrb+++=Hungarian
Natural ^jj+atrb+++=Natural
History ^nn++++=History
Museum ^nn++++=Museum
from ^in++++=from
Budapest ^np++++=Budapest
( ^zz++++=(Hungary)
hungary ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
according ^in++++=according
to ^to++++=to
p ^zz++++=P
lfy ^nn++++=lfy
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2008)
2008 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=.
