Background ^nn++++=BACKGROUND:
: ^zz++++=EXTRAWORD
In ^in++++=In
March ^nn++++=March
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
the ^ati++++=the
World ^nn++++=World
Health ^nn++++=Health
Organization ^nn++++=Organization
( ^zz++++=(WHO)
who ^whp+who+++=EXTRAWORD
) ^zz++++=EXTRAWORD
declared ^vbd+vpub++xvbn+=declared
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
outbreak ^nn++++=outbreak
a ^at++++=a
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
In ^in++++=In
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
the ^ati++++=the
high ^jj+atrb+++=high
rate ^nn++++=rate
of ^in++++=of
dissemination ^nn++++=dissemination
made ^vbd+++xvbn+=made
it ^pp3+it+++=it
necessary ^jj++++=necessary
to ^to+jcmp+++=to
adopt ^vbi++++=adopt
restrictive ^jj+atrb+++=restrictive
measures ^nns++++=measures
nationwide ^jj++++=nationwide
with ^in++++=with
the ^ati++++=the
discussion ^nn++++=discussion
regarding ^in++++=regarding
the ^ati++++=the
resumption ^nn++++=resumption
of ^in++++=of
economic ^jj+atrb+++=economic
activities ^nns++++=activities
starting ^vwbg+++xvbg+=starting
in ^in++++=in
April ^nr++++=April.
. ^zz++++=EXTRAWORD
In ^in++++=In
mid ^jjb++++=mid-December
- ^zz++++=EXTRAWORD
december ^nr++++=EXTRAWORD
the ^ati++++=the
country ^nn++++=country
had ^vb+hv+vrb++=had
6,970,034 ^cd++++=6,970,034
cases ^nns++++=cases
diagnosed ^jj++++=diagnosed
and ^cc++++=and
182,799 ^cd++++=182,799
deaths ^nns++++=deaths
from ^in++++=from
covid ^np++++=COVID-19.
- ^zz++++=EXTRAWORD
19. ^nn++++=EXTRAWORD
