Embedded ^vbd+++xvbn+=Embedded
interrogatives ^nns+++??+=interrogatives
( ^zz++++=((32)b),
( ^zz++++=EXTRAWORD
32)b ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
be ^vbi++vrb++=be
slightly ^rb+down+++=slightly
different ^jj+pred+++=different;
; ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
understood ^vpsv++agls+xvbnx+=understood
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
derived ^vpsv++agls+xvbnx+=derived
via ^in++++=via
wh ^nn+++??+=wh-movement
- ^zz++++=EXTRAWORD
movement ^nn++++=EXTRAWORD
all ^rb++++=all
the ^ati++++=the
same ^ap++++=same,
, ^zz++++=EXTRAWORD
Italian ^jj+atrb+++=Italian
data ^nns++++=data,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in++++=to
Rizzi ^np+++??+=Rizzi
( ^zz++++=(1997)
1997 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Rizzi ^np+++??+=Rizzi
& ^zz++++=&
Bocci ^np+++??+=Bocci
( ^zz++++=(2017),
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
provide ^vb+vsua+++=provide
evidence ^nn++++=evidence
to ^to++++=to
propose ^vbi++++=propose
that ^tht+vcmp+++=that
the ^ati++++=the
displaced ^jj+atrb++xvbn+=displaced
wh ^nn+++??+=wh-element
- ^zz++++=EXTRAWORD
element ^nn++++=EXTRAWORD
doesn ^nn+++??+=doesn
t ^zz++++=t
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
be ^vbi++vrb++=be
focalized ^nn+++??+=focalized,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
one ^cd1++++=one
might ^md+pos+++=might
not ^xnot++not++=not
find ^vb+vprv+++=find
the ^ati++++=the
same ^ap++++=same
restrictions ^nns++++=restrictions
observed ^vbd+++xvbn+=observed
in ^in++++=in
matrix ^nn++++=matrix
within ^in++++=within
an ^at++++=an
embedded ^jj+atrb++xvbn+=embedded
context ^nn++++=context;
; ^zz++++=EXTRAWORD
in ^in++++=in
subordinate ^jj+atrb+++=subordinate
clauses ^nns++++=clauses,
, ^zz++++=EXTRAWORD
wh ^nn+++??+=wh-operators
- ^zz++++=EXTRAWORD
operators ^nns++++=EXTRAWORD
are ^vb+ber+aux++=are
said ^vpsv++agls+xvbnx+=said
to ^to+vcmp+++=to
occupy ^vbi++++=occupy
the ^ati++++=the
spec ^np++++=Spec
position ^nn++++=position
of ^in++++=of
an ^at++++=an
embq ^np++++=EmbQ
projection ^nn++++=projection.
. ^zz++++=EXTRAWORD
