Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
Data ^nns++++=Data
from ^in++++=from
5,564 ^cd++++=5,564
Brazilian ^jj+atrb+++=Brazilian
municipalities ^nns+++??+=municipalities
were ^vbd+bed+aux++=were
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study.
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
medical ^jj+atrb+++=medical
appointments ^nns++++=appointments,
, ^zz++++=EXTRAWORD
the ^ati++++=the
largest ^jjt+atrb+++=largest
reduction ^nn++++=reduction
occasioned ^vwbn+++xvbn+=occasioned
by ^in++++=by
the ^ati++++=the
pandemic ^nn+++??+=pandemic
occurred ^vbd+++xvbn+=occurred
in ^in++++=in
May ^md+pos+++=May
( ^zz++++=(IRR
irr ^nn+++??+=EXTRAWORD
= ^zz++++==
0.27 ^nn+++??+=0.27,
, ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
[ ^zz++++=[0.24
0.24 ^nn+++??+=EXTRAWORD
0.30] ^nn+++??+=0.30]).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^ql++++=As
far ^rb+pl+++=far
as ^ql++++=as
prenatal ^vb+++??+=prenatal
procedures ^nns++++=procedures
are ^vb+ber+aux++=are
concerned ^vpsv++agls+xvbnx+=concerned,
, ^zz++++=EXTRAWORD
the ^ati++++=the
reduction ^nn++++=reduction
was ^vbd+bedz+vrb++=was
65 ^cd++++=65%
% ^zz++++=EXTRAWORD
( ^zz++++=(IRR=
irr ^nn+++??+=EXTRAWORD
= ^zz++++=EXTRAWORD
0.35 ^nn+++??+=0.35,
, ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
[ ^zz++++=[0.32
0.32 ^nn+++??+=EXTRAWORD
0.38 ^nn+++??+=0.38],
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
also ^rb++++=also
in ^in++++=in
May ^md+pos+++=May.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition,
, ^zz++++=EXTRAWORD
diabetes ^nn++++=diabetes
care ^nn++++=care
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
biggest ^jjt+atrb+++=biggest
reductions ^nns++++=reductions
in ^in++++=in
April ^nr++++=April
2020 ^cd++++=2020
( ^zz++++=(IRR
irr ^nn+++??+=EXTRAWORD
= ^zz++++==
0.24 ^nn+++??+=0.24,
, ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
[ ^zz++++=[0.11
0.11 ^nn+++??+=EXTRAWORD
0.53 ^nn+++??+=0.53])
] ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
May ^md+pos+++=May
2020 ^cd++++=2020
( ^zz++++=(IRR
irr ^nn+++??+=EXTRAWORD
= ^zz++++==
0.19 ^nn+++??+=0.19,
, ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
[ ^zz++++=[0.09
0.09 ^nn+++??+=EXTRAWORD
0.43] ^nn+++??+=0.43]).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
From ^in++++=From
February ^nr++++=February
to ^in++++=to
December ^nr++++=December
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pandemic ^nn+++??+=pandemic
had ^vb+hv+vrb++=had
a ^at++++=a
significant ^jj+atrb+++=significant
effect ^nn++++=effect
on ^in++++=on
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
procedures ^nns++++=procedures
evaluated ^vpsv++agls+xvbn+=evaluated.
. ^zz++++=EXTRAWORD
