This ^dt+dem+++=This
species ^nn++++=species
belongs ^vbz++++=belongs
to ^in++++=to
the ^ati++++=the
group ^nn++++=group
pupula ^nn+++??+=pupula
of ^in++++=of
Sellaphora ^np+++??+=Sellaphora
and ^cc++++=and
differs ^vbz++++=differs
from ^in++++=from
Sellaphora ^np+++??+=Sellaphora
pupula ^nn+++??+=pupula
( ^zz++++=(K
k ^zz++++=EXTRAWORD
tzing ^nn+++??+=tzing)
) ^zz++++=EXTRAWORD
Mereschkovsky ^np+++??+=Mereschkovsky
( ^zz++++=(1902:
1902 ^cd+date+++=EXTRAWORD
: ^zz++++=EXTRAWORD
187 ^cd++++=187)
) ^zz++++=EXTRAWORD
in ^in++++=in
its ^pp$+it+++=its
linear ^jj+atrb+++=linear
elliptical ^jj+atrb+++=elliptical
valves ^nns++++=valves,
, ^zz++++=EXTRAWORD
with ^in++++=with
broadly ^rb+down+++=broadly
rounded ^vbd+++xvbn+=rounded
poles ^nns++++=poles
( ^zz++++=(Mann
mann ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2008 ^cd++++=2008).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
present ^vb++++=present
in ^in++++=in
35 ^cd++++=35%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
core ^nn++++=core
samples ^nns++++=samples,
, ^zz++++=EXTRAWORD
reaching ^vbg+++xvbg+=reaching
6 ^zz++++=6%
% ^zz++++=EXTRAWORD
maximum ^nn++++=maximum
abundance ^nn++++=abundance.
. ^zz++++=EXTRAWORD
The ^ati++++=The
species ^nn++++=species
was ^vbd+bedz+aux++=was
identified ^vpsv++agls+xvbnx+=identified
from ^in++++=from
samples ^nns++++=samples
corresponding ^vwbg+++xvbg+=corresponding
to ^in++++=to
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
Mid ^jjb++++=Mid-Holocene
- ^zz++++=EXTRAWORD
holocene ^nn+++??+=EXTRAWORD
to ^in++++=to
the ^ati++++=the
core ^nn++++=core
top ^jjb++++=top
( ^zz++++=(
6.000 ^cd++++=6.000
cal ^nn+++??+=cal.
. ^zz++++=EXTRAWORD
yr ^nn+++??+=yr
Bp ^np+++??+=BP
to ^in++++=to
the ^ati++++=the
present ^jj+atrb+++=present
day ^nn++++=day).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Current ^jj+atrb+++=Current
study ^nn++++=study
is ^vbz+bez+vrb++=is
the ^ati++++=the
first ^od++++=first
communication ^nn++++=communication
of ^in++++=of
this ^dt+dem+++=this
species ^nn++++=species
occurrence ^nn++++=occurrence
in ^in++++=in
the ^ati++++=the
brazilian ^jj+atrb+++=Brazilian
amazon ^np++++=Amazon.
. ^zz++++=EXTRAWORD
