If ^cs+cnd+++=If
we ^pp1a+pp1+++=we
consider ^vb+vprv+++=consider
the ^ati++++=the
whole ^jj++++=whole
que ^&fw++++=que
sentence ^nn++++=sentence
in ^in++++=in
( ^zz++++=(17)
17 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^in++++=to
have ^vbi+vbi+aux++=have
taken ^vprf+++xvbnx+=taken
the ^ati++++=the
place ^nn++++=place
of ^in++++=of
the ^ati++++=the
elided ^nn+++??+=elided
anchor ^nn++++=anchor
working ^vwbg+++xvbg+=working
as ^ql++++=as
the ^ati++++=the
complement ^nn++++=complement
of ^in++++=of
the ^ati++++=the
verb ^nn++++=verb
disse ^nn+++??+=disse,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
becomes ^vbz++++=becomes
clear ^jj++++=clear
that ^tht+jcmp+++=that
the ^ati++++=the
subordinate ^jj+atrb+++=subordinate
clause ^nn++++=clause
in ^in++++=in
( ^zz++++=(15)
15 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
being ^vbg+beg++xvbg+=being
directly ^rb++++=directly
selected ^vpsv++by+xvbn+=selected
by ^in++++=by
the ^ati++++=the
matrix ^nn++++=matrix
verb ^nn++++=verb,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
of ^in+emph+++=of
course ^nn+emph"+++=course
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
selectional ^nn+++??+=selectional
properties ^nns++++=properties
of ^in++++=of
a ^at++++=a
verb ^nn++++=verb
like ^in++++=like
disse ^nn+++??+=disse
( ^zz++++=(we
we ^pp1a+pp1+++=EXTRAWORD
could ^md+pos+++=could
call ^vb++++=call
it ^pp3+it+++=it
a ^at++++=a
Cp ^np+++??+=CP
with ^in++++=with
a ^at++++=a
Dp ^np+++??+=DP-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
nature ^nn++++=nature).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
( ^zz++++=(16),
16 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
by ^in++++=by
its ^pp$+it+++=its
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
be ^vb+be+vrb++=be
different ^jj+pred+++=different
from ^in++++=from
( ^zz++++=(15),
15 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
the ^ati++++=the
ellipsis ^nns+++??+=ellipsis
of ^in++++=of
the ^ati++++=the
anchor ^nn++++=anchor
is ^vbz+bez+aux++=is
not ^xnot++not++=not
allowed ^vbd+++xvbn+=allowed,
, ^zz++++=EXTRAWORD
as ^in++++=as
( ^zz++++=(18)
18 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
shows ^vbz+vprv+++=shows.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
constitutes ^vbz++++=constitutes
evidence ^nn++++=evidence
that ^tht+rel+obj++=that
the ^ati++++=the
que ^&fw++++=que
sentence ^nn++++=sentence
in ^in++++=in
this ^dt+dem+++=this
case ^nn++++=case
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
associated ^vpsv++agls+xvbnx+=associated
to ^in++++=to
the ^ati++++=the
position ^nn++++=position
of ^in++++=of
the ^ati++++=the
anchor ^nn++++=anchor,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
an ^at++++=an
ordinary ^jj+atrb+++=ordinary
Cp ^np+++??+=CP
( ^zz++++=(not
not ^xnot++not++=EXTRAWORD
a ^at++++=a
Dp ^np+++??+=DP-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
Cp ^np+++??+=CP)
) ^zz++++=EXTRAWORD
in ^in++++=in
that ^dt+dem+++=that
context ^nn++++=context
when ^wrb+who+++=when
a ^at++++=a
Dp ^np+++??+=DP
is ^vbz+bez+aux++=is
being ^vbg+beg+aux+xvbg+=being
selected ^vpsv++by+xvbn+=selected
by ^in++++=by
the ^ati++++=the
matrix ^nn++++=matrix
verb ^nn++++=verb.
. ^zz++++=EXTRAWORD
Moreover ^rb+cnj+++=Moreover,
, ^zz++++=EXTRAWORD
the ^ati++++=the
asymmetry ^nn+++??+=asymmetry
between ^in++++=between
( ^zz++++=(15)
15 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
( ^zz++++=(16)
16 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
confirmed ^vpsv++by+xvbnx+=confirmed
by ^in++++=by
the ^ati++++=the
contrast ^nn++++=contrast
observed ^vbd+++xvbn+=observed
in ^in++++=in
( ^zz++++=(19)
19 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
( ^zz++++=(20)
20 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
bellow ^nn++++=bellow:
: ^zz++++=EXTRAWORD
