Generally ^rb+cnj+++=Generally,
, ^zz++++=EXTRAWORD
such ^abl++++=such
items ^nns++++=items
refer ^vb++++=refer
to ^in++++=to
conceptions ^nns++++=conceptions
present ^nn++++=present
in ^in++++=in
the ^ati++++=the
reports ^nns++++=reports
by ^in++++=by
Faure ^np+++??+=Faure
( ^zz++++=(1973)
1973 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
by ^in++++=by
Delors ^np+++??+=Delors
( ^zz++++=(1998)
1998 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
regarding ^in++++=regarding
an ^at++++=an
education ^nn++++=education
geared ^vwbn+++xvbn+=geared
towards ^in++++=towards
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
capacities ^nns++++=capacities
and ^cc++++=and
competences ^nns+++??+=competences
of ^in++++=of
learning ^xvbg+++xvbg+=learning
with ^in++++=with
the ^ati++++=the
social ^jj+atrb+++=social
milieu ^nn++++=milieu.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
item ^nn++++=item
Iv ^np+++??+=IV,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
focuses ^vbz++++=focuses
on ^in++++=on
basic ^jj+atrb+++=basic
education ^nn++++=education,
, ^zz++++=EXTRAWORD
emphasizes ^vbz+vpub+++=emphasizes
the ^ati++++=the
strengthening ^jj+++xvbg+=strengthening
of ^in++++=of
family ^nn++++=family
ties ^nns++++=ties,
, ^zz++++=EXTRAWORD
bonds ^nns++++=bonds
of ^in++++=of
human ^jj+atrb+++=human
solidarity ^nn++++=solidarity
and ^cc++++=and
of ^in++++=of
reciprocal ^jj+atrb+++=reciprocal
tolerance ^nn++++=tolerance
( ^zz++++=(Brasil,
brasil ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1996 ^cd+date+++=1996),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
once ^rb+tm+++=once
again ^rb+tm+++=again
refers ^vbz++++=refers
to ^in++++=to
the ^ati++++=the
Delors ^np+++??+=Delors
report ^nn++++=report
( ^zz++++=(1998)
1998 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
approaches ^vbz++++=approaches
the ^ati++++=the
principle ^nn++++=principle
of ^in++++=of
living ^nn++++=living
together ^rb++++=together.
. ^zz++++=EXTRAWORD
