This ^dt+dem+++=This
study ^nn++++=study
was ^vbd+bedz+aux++=was
financed ^vpsv++agls+xvbnx+=financed
in ^in++++=in
part ^nn++++=part
by ^in++++=by
the ^ati++++=the
Coordena ^np+++??+=Coordena
o ^zz++++=o
de ^&fw++++=de
Aperfei ^np+++??+=Aperfei
oamento ^nn+++??+=oamento
de ^&fw++++=de
Pessoal ^np+++??+=Pessoal
de ^&fw++++=de
N ^zz++++=N
vel ^np++++=vel
superior ^jj+atrb+++=Superior
brasil ^np++++=Brasil
( ^zz++++=(CAPES)
capes ^nns++++=EXTRAWORD
) ^zz++++=EXTRAWORD
finance ^vb++++=Finance
code ^nn++++=Code
001 ^nn++++=001.
. ^zz++++=EXTRAWORD
