According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
author ^nn++++=author,
, ^zz++++=EXTRAWORD
such ^abl++++=such
aims ^nns++++=aims
are ^vb+ber+vrb++=are
not ^xnot++not++=not
new ^jj++++=new,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
had ^vb+hv+aux++=had
already ^rb++splt++=already
made ^vprf+++xvbnx+=made
an ^at++++=an
appearance ^nn++++=appearance
in ^in++++=in
last ^jj+atrb+++=last
century ^nn++++=century
s ^zz++++=s
education ^nn++++=education
reform ^nn++++=reform
texts ^nns++++=texts.
. ^zz++++=EXTRAWORD
The ^ati++++=The
school ^nn++++=school
should ^md+nec+++=should
promote ^vb++++=promote
a ^at++++=a
universal ^jj+atrb+++=universal
type ^nn++++=type
of ^in++++=of
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
forming ^vbg+++xvbg+=forming
the ^ati++++=the
cosmopolitan ^jj+atrb+++=cosmopolitan
citizen ^nn++++=citizen
with ^in++++=with
a ^at++++=a
homeless ^jj+atrb+++=homeless
mind ^nn++++=mind
, ^zz++++=,
taken ^xvbn+++xvbn+=taken
from ^in++++=from
the ^ati++++=the
local ^jj+atrb+++=local
context ^nn++++=context.
. ^zz++++=EXTRAWORD
The ^ati++++=The
individuals ^nns++++=individuals
should ^md+nec+++=should
appropriate ^jj+atrb+++=appropriate
universal ^nn++++=universal
thinking ^vwbg+++xvbg+=thinking
modes ^nns++++=modes
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
plan ^vb++++=plan
their ^pp$+pp3+++=their
own ^ap++++=own
lives ^nns++++=lives
within ^in++++=within
their ^pp$+pp3+++=their
communities ^nns++++=communities.
. ^zz++++=EXTRAWORD
More ^rbr++++=More
recently ^rb+cnj+++=recently,
, ^zz++++=EXTRAWORD
transformations ^nns+++??+=transformations
can ^md+pos+++=can
be ^vb+be+aux++=be
identified ^vpsv++agls+xvbnx+=identified
in ^in++++=in
educational ^jj+atrb+++=educational
discourses ^nns++++=discourses,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
in ^in+cmpx+++=in
the ^in"++++=the
face ^in"++++=face
of ^in"++++=of
an ^at++++=an
uncertain ^jj++++=uncertain
future ^jjb++++=future.
. ^zz++++=EXTRAWORD
The ^ati++++=The
present ^jj+atrb+++=present
day ^nn++++=day
unfinished ^jj++++=unfinished
cosmopolitan ^jj++++=cosmopolitan
is ^vbz+bez+vrb++=is
someone ^pn++++=someone
who ^whp+who+++=who
learns ^vbz+vprv+++=learns
in ^in++++=in
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
To ^in++++=To
the ^ati++++=the
figure ^nn++++=figure
of ^in++++=of
the ^ati++++=the
lifelong ^jj+atrb+++=lifelong
learner ^nn++++=learner
correspond ^vb++++=correspond
the ^ati++++=the
figure ^nn++++=figure
of ^in++++=of
the ^ati++++=the
reflexive ^nn+++??+=reflexive
teacher ^nn++++=teacher
, ^zz++++=,
continually ^rb++++=continually
dedicated ^jj+++xvbn+=dedicated
to ^to++++=to
reflect ^vbi+vprv+++=reflect
on ^in++++=on
his ^pp$+pp3+++=his
or ^cc++++=or
her ^pp$+pp3+++=her
own ^ap++++=own
practice ^nn++++=practice,
, ^zz++++=EXTRAWORD
in ^in++++=in
view ^nn++++=view
of ^in++++=of
obtaining ^vbg+++xvbg+=obtaining
better ^jjr+atrb+++=better
results ^nns++++=results
( ^zz++++=(Popkewitz,
popkewitz ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
