Methods ^nns++++=Methods:
: ^zz++++=EXTRAWORD
This ^dt+dem+++=This
bibliometric ^nn+++??+=bibliometric
study ^nn++++=study
was ^vbd+bedz+aux++=was
carried ^vpsv++agls+xvbnx+=carried
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
basis ^nn++++=basis
of ^in++++=of
the ^ati++++=the
scientific ^jj+atrb+++=scientific
production ^nn++++=production
from ^in++++=from
the ^ati++++=the
most ^ql+emph+++=most
prolific ^jj+atrb+++=prolific
countries ^nns++++=countries
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
members ^nns++++=members
of ^in++++=of
the ^ati++++=the
Scielo ^np+++??+=SciELO
Network ^nn++++=Network,
, ^zz++++=EXTRAWORD
in ^in++++=in
Public ^nn++++=Public
and ^cc++++=and
Collective ^jj+atrb+++=Collective
Health ^nn++++=Health,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
period ^nn++++=period
2011 ^cd++++=2011-2015.
- ^zz++++=EXTRAWORD
2015 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
was ^vbd+bedz+aux++=was
collected ^vpsv++agls+xvbnx+=collected
from ^in++++=from
the ^ati++++=the
Scielo ^np+++??+=SciELO
Citation ^np+++??+=Citation
Index ^nn++++=Index
database ^nn+++??+=database
( ^zz++++=(SciELO
scielo ^nn+++??+=EXTRAWORD
Ci ^np+++??+=CI)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
citations ^nns++++=citations
were ^vbd+bed+aux++=were
analysed ^vprf+++xvbn+=analysed
by ^in++++=by
language ^nn++++=language
and ^cc++++=and
source ^nn++++=source.
. ^zz++++=EXTRAWORD
