Goffman ^np+++??+=Goffman
s ^zz++++=s
ideas ^nns++++=ideas
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
applied ^vpsv++agls+xvbnx+=applied
both ^abx++++=both
to ^in++++=to
analyze ^jj+atrb++??+=analyze
aspects ^nns++++=aspects
that ^tht+rel+subj++=that
include ^vb++++=include
not ^xnot++not++=not
only ^rb+down+++=only
healthcare ^vb+++??+=healthcare
institutions ^nns++++=institutions
and ^cc++++=and
their ^pp$+pp3+++=their
dynamics ^nn++++=dynamics
but ^cc++++=but
also ^rb++++=also
the ^ati++++=the
doctor ^nn++++=doctor-patient
- ^zz++++=EXTRAWORD
patient ^nn++++=EXTRAWORD
relationship ^nn++++=relationship
and ^cc++++=and
to ^to++++=to
describe ^vbi++++=describe
the ^ati++++=the
impact ^nn++++=impact
that ^tht+rel+obj++=that
diseases ^nns++++=diseases
exert ^vb++++=exert
at ^in++++=at
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
the ^ati++++=the
subjectivity ^nn++++=subjectivity
of ^in++++=of
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
suffer ^vb++++=suffer
from ^in++++=from
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
