Controlled ^vbd+++xvbn+=Controlled
detachment ^nn++++=detachment
causes ^nns++++=causes
numerous ^jj+atrb+++=numerous
concerns ^nns++++=concerns
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
the ^ati++++=the
potential ^jj+atrb+++=potential
unintended ^jj+atrb+++=unintended
consequences ^nns++++=consequences
for ^in++++=for
the ^ati++++=the
interruption ^nn++++=interruption,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
partial ^jj+atrb+++=partial
functioning ^nvbg+++xvbg+=functioning,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
change ^nn++++=change
of ^in++++=of
focus ^nn++++=focus
of ^in++++=of
Phc ^np+++??+=PHC
services ^nns++++=services.
. ^zz++++=EXTRAWORD
The ^ati++++=The
World ^nn++++=World
Health ^nn++++=Health
Organization ^nn++++=Organization
has ^vbz+hvz+aux++=has
observed ^vprf+++xvbnx+=observed
a ^at++++=a
75 ^cd++++=75%
% ^zz++++=EXTRAWORD
reduction ^nn++++=reduction
in ^in++++=in
services ^nns++++=services
for ^in++++=for
non ^&fw++++=non-communicable
- ^zz++++=EXTRAWORD
communicable ^nn+++??+=EXTRAWORD
diseases ^nns++++=diseases
such ^abl++++=such
as ^ql++++=as
diabetes ^nn++++=diabetes
and ^cc++++=and
hypertension ^nn+++??+=hypertension
27 ^cd++++=27.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
reduction ^nn++++=reduction
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
profound ^jj+pred+++=profound
in ^in++++=in
lower ^jjr++++=lower-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries
27 ^cd++++=27.
. ^zz++++=EXTRAWORD
The ^ati++++=The
aforementioned ^nn+++??+=aforementioned
data ^nns++++=data
reinforce ^vb++++=reinforce
the ^ati++++=the
concern ^nn++++=concern
about ^in++++=about
a ^at++++=a
delayed ^jj+atrb++xvbn+=delayed
treatment ^nn++++=treatment
and ^cc++++=and
monitoring ^jj+atrb++xvbg+=monitoring
agenda ^nn++++=agenda
for ^in++++=for
patients ^nns++++=patients
who ^whp+rel+subj++=who
live ^vb++++=live
in ^in++++=in
conditions ^nns++++=conditions
that ^tht+rel+subj++=that
require ^vb+vsua+++=require
continuous ^jj+atrb+++=continuous
health ^nn++++=health
care ^nn++++=care.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
regarding ^in++++=regarding
the ^ati++++=the
conditions ^nns++++=conditions
addressed ^vbd+++xvbn+=addressed
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
( ^zz++++=(diabetes
diabetes ^nn++++=EXTRAWORD
and ^cc++++=and
prenatal ^nn+++??+=prenatal),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
postponed ^jj+atrb++xvbn+=postponed
agenda ^nn++++=agenda
may ^md+pos+++=may
bring ^vb++++=bring
about ^rb+phrv+++=about
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
mortality ^nn++++=mortality,
, ^zz++++=EXTRAWORD
infant ^nn++++=infant
mortality ^nn++++=mortality
and ^cc++++=and
disability ^nn++++=disability
in ^in++++=in
2021 ^cd++++=2021.
. ^zz++++=EXTRAWORD
