As ^in++++=As
a ^at++++=a
measure ^nn++++=measure
of ^in++++=of
governance ^nn+++??+=governance
( ^zz++++=(explanatory
explanatory ^jj+atrb+++=EXTRAWORD
factor ^nn++++=factor),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
used ^vbd+++xvbn+=used
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++=of
governance ^nn+++??+=governance
factors ^nns++++=factors
( ^zz++++=(proxies)
proxies ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
identified ^vbd+++xvbn+=identified
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
other ^ap++++=other
authors ^nns++++=authors
( ^zz++++=(for
for ^in++++=EXTRAWORD
example ^nn++++=example
Bromley ^np++++=Bromley
and ^cc++++=and
Orchard ^nn++++=Orchard,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
feng ^np++++=Feng
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
