Objectives ^nns++++=Objectives:
: ^zz++++=EXTRAWORD
the ^ati++++=the
purpose ^nn++++=purpose
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
was ^vbd+bedz+aux++=was
to ^to++++=to
describe ^vbi++++=describe
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn++++=pandemic
on ^in++++=on
primary ^jj+atrb+++=Primary
health ^nn++++=Health
care ^nn++++=Care
in ^in++++=in
brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
