Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
valve ^nn++++=valve
outline ^nn++++=outline,
, ^zz++++=EXTRAWORD
Sellaphora ^np+++??+=Sellaphora
renata ^nn+++??+=renata
Metzeltin ^np+++??+=Metzeltin
& ^zz++++=&
Lange ^np+++??+=Lange-Bertalot
- ^zz++++=EXTRAWORD
bertalot ^nn+++??+=EXTRAWORD
is ^vbz+bez+vrb++=is
quite ^rb++++=quite
similar ^jj+pred+++=similar
to ^in++++=to
Sellaphora ^np+++??+=Sellaphora
lambda ^nn+++??+=lambda
( ^zz++++=(Cleve)
cleve ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Metzeltin ^np+++??+=Metzeltin
& ^zz++++=&
Lange ^np+++??+=Lange-Bertalot
- ^zz++++=EXTRAWORD
bertalot ^nn+++??+=EXTRAWORD
( ^zz++++=(1998:
1998 ^cd+date+++=EXTRAWORD
: ^zz++++=EXTRAWORD
206 ^cd++++=206).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
renata ^nn+++??+=renata
lack ^nn++++=lack
of ^in++++=of
marginal ^jj+atrb+++=marginal
spines ^nns++++=spines
present ^nn++++=present
in ^in++++=in
S ^zz++++=S.
. ^zz++++=EXTRAWORD
lambda ^nn+++??+=lambda
( ^zz++++=(Metzeltin
metzeltin ^nn+++??+=EXTRAWORD
& ^zz++++=&
Lange ^np+++??+=Lange-Bertalot
- ^zz++++=EXTRAWORD
bertalot ^nn+++??+=EXTRAWORD
2007 ^cd++++=2007).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
species ^nn++++=species
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
core ^nn++++=core
samples ^nns++++=samples
and ^cc++++=and
reached ^vbd+++xvbn+=reached
1.5 ^cd++++=1.5%
% ^zz++++=EXTRAWORD
maximum ^nn++++=maximum
abundance ^nn++++=abundance.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
identified ^vpsv++agls+xvbnx+=identified
in ^in++++=in
samples ^nns++++=samples
corresponding ^vwbg+++xvbg+=corresponding
to ^in++++=to
the ^ati++++=the
early ^jj+atrb+++=early
late ^jj+atrb+++=Late
holocene ^np++++=Holocene
( ^zz++++=(
1.322 ^cd++++=1.322
cal ^nn++++=cal.
. ^zz++++=EXTRAWORD
yr ^nn++++=yr
bp ^np++++=BP).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
