High ^jj+atrb+++=High
prevalence ^nn+++??+=prevalence
of ^in++++=of
enteroparasites ^nns+++??+=enteroparasites
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
recorded ^vpsv++agls+xvbnx+=recorded
in ^in++++=in
indigenous ^jj+atrb+++=indigenous
populations ^nns++++=populations
in ^in++++=in
Paran ^np+++??+=Paran
, ^zz++++=,
ranging ^vbg+++xvbg+=ranging
from ^in++++=from
67 ^cd++++=67%
% ^zz++++=EXTRAWORD
to ^to++++=to
95 ^cd++++=95%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
region ^nn++++=region
studied5,9 ^nn+++??+=studied5,9.
. ^zz++++=EXTRAWORD
In ^in++++=In
Kaingang ^np+++??+=Kaingang
lands ^nns++++=lands,
, ^zz++++=EXTRAWORD
the ^ati++++=the
frequency ^nn++++=frequency
of ^in++++=of
peridomiciliar ^nn+++??+=peridomiciliar
soil ^nn++++=soil
samples ^nns++++=samples
contaminated ^vwbn+++xvbn+=contaminated
by ^in++++=by
enteroparasites ^nns+++??+=enteroparasites
of ^in++++=of
humans ^nns++++=humans
or ^cc++++=or
animals ^nns++++=animals
with ^in++++=with
zoonotic ^nn+++??+=zoonotic
potential ^jj++++=potential
ranged ^jj+++xvbn+=ranged
from ^in++++=from
75.7 ^cd++++=75.7%
% ^zz++++=EXTRAWORD
to ^to++++=to
96.2%8 ^cd++++=96.2%8,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
water ^nn++++=water
contamination ^nn++++=contamination
with ^in++++=with
waterborne ^nn+++??+=waterborne
protozoa ^nn+++??+=protozoa,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Giardia ^np+++??+=Giardia
spp ^nn+++??+=spp
and ^cc++++=and
Cryptosporidium ^np+++??+=Cryptosporidium
spp ^nn+++??+=spp,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
also ^rb++++=also
observed.10 ^jj+pred++??+=observed.10
These ^dt+dem+++=These
findings ^nns++++=findings
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
treatment ^nn++++=treatment
of ^in++++=of
human ^jj++++=human
and ^cc++++=and
animal ^nn++++=animal
excrement ^nn++++=excrement
in ^in++++=in
indigenous ^jj+atrb+++=indigenous
lands ^nns++++=lands
is ^vbz+bez+vrb++=is
inadequate ^jj+pred+++=inadequate
and ^cc++++=and
improvements ^nns++++=improvements
in ^in++++=in
sanitation ^nn++++=sanitation
and ^cc++++=and
water ^nn++++=water
treatment ^nn++++=treatment,
, ^zz++++=EXTRAWORD
in ^in++++=in
addition ^nn++++=addition
to ^in++++=to
periodic ^jj+atrb+++=periodic
treatment ^nn++++=treatment
of ^in++++=of
the ^ati++++=the
population ^nn++++=population
with ^in++++=with
antiparasitic ^nn++++=antiparasitic
agents ^nns++++=agents,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
necessary ^jj+pred+++=necessary.
. ^zz++++=EXTRAWORD
4 ^zz++++=4-10
- ^zz++++=EXTRAWORD
10 ^nn++++=EXTRAWORD
