Methodology ^np+++??+=Methodology:
: ^zz++++=EXTRAWORD
An ^at++++=An
exploratory ^jj+atrb+++=exploratory
ecological ^nn+++??+=ecological
study ^nn++++=study
investigated ^vbd+++xvbn+=investigated
the ^ati++++=the
global ^jj+atrb+++=global
spatial ^jj+atrb+++=spatial
autocorrelation ^nn+++??+=autocorrelation
of ^in++++=of
epidemiological ^nn+++??+=epidemiological
aspects ^nns++++=aspects
with ^in++++=with
feminicide ^nn+++??+=feminicide
rates ^nns++++=rates
from ^in++++=from
municipalities ^nns+++??+=municipalities
of ^in++++=of
the ^ati++++=the
State ^nn++++=State
of ^in++++=of
Sergipe ^np+++??+=Sergipe
Brazil ^np++++=Brazil
( ^zz++++=(n=
n ^zz++++=EXTRAWORD
= ^zz++++=EXTRAWORD
75 ^cd++++=75),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
2013 ^cd++++=2013-2017
- ^zz++++=EXTRAWORD
2017 ^cd++++=EXTRAWORD
period ^nn++++=period,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
the ^ati++++=the
global ^jj+atrb+++=global
and ^cc+phrs+++=and
local ^jj+atrb+++=local
Moran ^np+++??+=Moran
statistic ^nn++++=statistic
method ^nn++++=method
and ^cc++++=and
a ^at++++=a
multiple ^jj+atrb+++=multiple
spatial ^jj+atrb+++=spatial
regression ^nn++++=regression,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
as ^ql++++=as
variables ^nns++++=variables
of ^in++++=of
exposure ^nn++++=exposure
the ^ati++++=the
socioeconomic ^nn+++??+=socioeconomic
status ^nn++++=status,
, ^zz++++=EXTRAWORD
the ^ati++++=the
demographic ^jj+atrb+++=demographic
status ^nn++++=status,
, ^zz++++=EXTRAWORD
the ^ati++++=the
services ^nns++++=services
and ^cc++++=and
health ^nn++++=health
status ^nn++++=status,
, ^zz++++=EXTRAWORD
feminicide ^nn+++??+=feminicide
rates ^nns++++=rates.
. ^zz++++=EXTRAWORD
The ^ati++++=The
software ^nn++++=software
used ^vwbn+++xvbn+=used
was ^vbd+bedz+vrb++=was
stata ^np++++=Stata
11.0 ^cd++++=11.0,
, ^zz++++=EXTRAWORD
spss ^np++++=SPSS
18.0 ^cd+date+++=18.0
and ^cc++++=and
geoda ^np++++=GeoDa
0.95 ^nn++++=0.95-i.
- ^zz++++=EXTRAWORD
i. ^nn++++=EXTRAWORD
