Gomphonema ^np+++??+=Gomphonema
was ^vbd+bedz+vrb++=was
the ^ati++++=the
most ^ql+emph+++=most
represented ^jj+atrb++xvbn+=represented
genus ^nns+++??+=genus
in ^in++++=in
species ^nn++++=species
number ^nn++++=number
( ^zz++++=(six
six ^cd++++=EXTRAWORD
species ^nn++++=species),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
Eunotia ^np+++??+=Eunotia
( ^zz++++=(five
five ^cd++++=EXTRAWORD
species ^nn++++=species),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Sellaphora ^np+++??+=Sellaphora
( ^zz++++=(five
five ^cd++++=EXTRAWORD
species ^nn++++=species)
) ^zz++++=EXTRAWORD
and ^cc++++=and
staurosirella ^np++++=Staurosirella
( ^zz++++=(four
four ^cd++++=EXTRAWORD
species ^nn++++=species).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
