Let ^vb+++xvbn+=Let
us ^pp1o+pp1+++=us
turn ^nn++++=turn
back ^jjb++++=back
to ^in++++=to
data ^nns++++=data
in ^in++++=in
( ^zz++++=(1)a
1)a ^cd++++=EXTRAWORD
repeated ^vbd+++xvbn+=repeated
as ^in++++=as
( ^zz++++=(47)
47 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
( ^zz++++=(16)
16 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
repeated ^vpsv++agls+xvbn+=repeated
as ^in++++=as
( ^zz++++=(48)
48 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
bellow ^nn++++=bellow:
: ^zz++++=EXTRAWORD
