According ^in++++=According
to ^to++++=to
Who ^whp+who+++=WHO
( ^zz++++=(2018),
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
periodic ^jj+atrb+++=periodic
treatment ^nn++++=treatment
is ^vbz+bez+vrb++=is
a ^at++++=a
preventive ^jj+atrb+++=preventive
and ^cc+phrs+++=and
effective ^jj+atrb+++=effective
measure ^nn++++=measure
to ^to++++=to
reduce ^vbi++++=reduce
the ^ati++++=the
parasitic ^jj+atrb+++=parasitic
burden ^nn++++=burden
and ^cc++++=and
its ^pp$+it+++=its
consequences ^nns++++=consequences.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
control ^nn++++=control
strategy ^nn++++=strategy
in ^in++++=in
schools ^nns++++=schools
give ^vb++++=give
good ^jj+atrb+++=good
results ^nns++++=results,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
plan ^vb++++=plan
activities ^nns++++=activities
following ^vwbg+++xvbg+=following
the ^ati++++=the
steps ^nns++++=steps
that ^tht+rel+subj++=that
go ^vb++++=go
from ^in++++=from
a ^at++++=a
good ^jj+atrb+++=good
articulation ^nn++++=articulation
between ^in++++=between
the ^ati++++=the
local ^jj+atrb+++=local
health ^nn++++=health
and ^cc++++=and
education ^nn++++=education
system ^nn++++=system,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
monitoring ^nn++++=monitoring
and ^cc++++=and
evaluation ^nn++++=evaluation
of ^in++++=of
the ^ati++++=the
intervention ^nn++++=intervention.
. ^zz++++=EXTRAWORD
