Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
A ^at++++=A
total ^nn++++=total
of ^in++++=of
1996 ^cd+date+++=1996
patients ^nns++++=patients
at ^rb++++=at
high ^jj++++=high
bleeding ^xvbg+++xvbg+=bleeding
risk ^vb++++=risk
were ^vbd+bed+aux++=were
randomly ^rb++splt++=randomly
assigned ^vpsv++agls+xvbnx+=assigned
in ^in++++=in
a ^at++++=a
1:1 ^cd++++=1:1
ratio ^nn++++=ratio
to ^to++++=to
receive ^vbi++++=receive
zotarolimus ^nns+++??+=zotarolimus-eluting
- ^zz++++=EXTRAWORD
eluting ^jj+atrb+++=EXTRAWORD
stents ^nns+++??+=stents
( ^zz++++=(1003
1003 ^cd++++=EXTRAWORD
patients ^nns++++=patients)
) ^zz++++=EXTRAWORD
or ^cc++++=or
polymer ^jjr++++=polymer-free
- ^zz++++=EXTRAWORD
free ^jj+atrb+++=EXTRAWORD
drug ^nn++++=drug-coated
- ^zz++++=EXTRAWORD
coated ^vbd+++xvbn+=EXTRAWORD
stents ^nns+++??+=stents
( ^zz++++=(993
993 ^cd++++=EXTRAWORD
patients ^nns++++=patients).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^rb++++=At
1 ^zz++++=1
year ^nn++++=year,
, ^zz++++=EXTRAWORD
the ^ati++++=the
primary ^jj+atrb+++=primary
outcome ^nn++++=outcome
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
169 ^cd++++=169
of ^in++++=of
988 ^cd++++=988
patients ^nns++++=patients
( ^zz++++=(17.1%)
17.1 ^cd+date+++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
zotarolimus ^nns+++??+=zotarolimus-eluting
- ^zz++++=EXTRAWORD
eluting ^jj+atrb+++=EXTRAWORD
stent ^jj+atrb+++=stent
group ^nn++++=group
and ^cc++++=and
in ^in++++=in
164 ^cd++++=164
of ^in++++=of
969 ^cd++++=969
( ^zz++++=(16.9%)
16.9 ^cd+date+++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
polymer ^jjr++++=polymer-free
- ^zz++++=EXTRAWORD
free ^jj+atrb+++=EXTRAWORD
drug ^nn++++=drug-coated
- ^zz++++=EXTRAWORD
coated ^vwbn+++xvbn+=EXTRAWORD
stent ^jj+atrb+++=stent
group ^nn++++=group
( ^zz++++=(risk
risk ^vb++++=EXTRAWORD
difference ^nn+nom+++=difference,
, ^zz++++=EXTRAWORD
0.2 ^nn+++??+=0.2
percentage ^nn+nom+++=percentage
points ^nns++++=points;
; ^zz++++=EXTRAWORD
upper ^jjb+atrb+++=upper
boundary ^nn+nom+++=boundary
of ^in++++=of
the ^ati++++=the
one ^cd1++++=one-sided
- ^zz++++=EXTRAWORD
sided ^jj+++xvbn+=EXTRAWORD
97.5 ^cd++++=97.5%
% ^zz++++=EXTRAWORD
confidence ^nn+nom+++=confidence
interval ^nn+nom+++=interval
[ ^zz++++=[CI],
ci ^nn+++??+=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
3.5 ^cd++++=3.5;
; ^zz++++=EXTRAWORD
noninferiority ^nn+nom+++=noninferiority
margin ^nn++++=margin,
, ^zz++++=EXTRAWORD
4.1 ^cd++++=4.1;
; ^zz++++=EXTRAWORD
P=0.01 ^np+++??+=P=0.01
for ^in++++=for
noninferiority ^nn+nom+++=noninferiority).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
principal ^jjb+atrb+++=principal
