Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
27 ^cd++++=27
883 ^cd++++=883
abstracts ^nns+++??+=abstracts
were ^vbd+bed+aux++=were
screened ^vpsv++agls+xvbnx+=screened
and ^cc++++=and
988 ^cd++++=988
articles ^nns++++=articles
underwent ^jj+atrb+++=underwent
full ^jj+atrb+++=full
text ^nn++++=text
review ^nn++++=review.
. ^zz++++=EXTRAWORD
28 ^cd++++=28
studies ^nns++++=studies
contributed ^vbd+++xvbn+=contributed
data ^nns++++=data
for ^in++++=for
analysis ^nn++++=analysis
of ^in++++=of
tuberculosis ^nn++++=tuberculosis
case ^nn++++=case
notifications ^nns+nom+++=notifications,
, ^zz++++=EXTRAWORD
nine ^cd++++=nine
for ^in++++=for
prevalence ^nn+nom+++=prevalence
of ^in++++=of
tuberculosis ^nn++++=tuberculosis
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
for ^in++++=for
incidence ^nn+nom+++=incidence
or ^cc++++=or
prevalence ^nn+nom+++=prevalence
of ^in++++=of
tuberculosis ^nn++++=tuberculosis
infection ^nn+nom+++=infection
in ^in++++=in
children ^nns++++=children.
. ^zz++++=EXTRAWORD
In ^in++++=In
one ^cd1++++=one
cluster ^nn+nom+++=cluster-randomised
- ^zz++++=EXTRAWORD
randomised ^jj+atrb++xvbn+=EXTRAWORD
trial ^nn++++=trial
in ^in++++=in
South ^np+pl+++=South
Africa ^np++++=Africa
and ^cc++++=and
Zambia ^np++++=Zambia,
, ^zz++++=EXTRAWORD
an ^at++++=an
active ^jj+atrb+++=active
case ^nn++++=case-finding
- ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=EXTRAWORD
intervention ^nn+nom+++=intervention
based ^vwbn+++xvbn+=based
on ^in++++=on
community ^nn+nom+++=community
mobilisation ^nn+nom+++=mobilisation
and ^cc++++=and
sputum ^nn+++??+=sputum
drop ^vb++++=drop-off
- ^zz++++=EXTRAWORD
off ^rp+pl+++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
affect ^vb++++=affect
tuberculosis ^nn++++=tuberculosis
prevalence ^nn+nom+++=prevalence,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
cluster ^nn+nom+++=cluster-randomised
- ^zz++++=EXTRAWORD
randomised ^jj+atrb++xvbn+=EXTRAWORD
trial ^nn++++=trial
in ^in++++=in
Vietnam ^np++++=Vietnam,
, ^zz++++=EXTRAWORD
an ^at++++=an
active ^jj+atrb+++=active
case ^nn++++=case-finding
- ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=EXTRAWORD
intervention ^nn+nom+++=intervention
based ^vwbn+++xvbn+=based
on ^in++++=on
sputum ^nn+++??+=sputum
tuberculosis ^nn++++=tuberculosis
tests ^nns++++=tests
for ^in++++=for
everyone ^pn++++=everyone
reduced ^vbd+++xvbn+=reduced
tuberculosis ^nn++++=tuberculosis
prevalence ^nn+nom+++=prevalence
in ^in++++=in
the ^ati++++=the
community ^nn+nom+++=community.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
found ^vbd+vprv++xvbn+=found
inconsistent ^jj++++=inconsistent,
, ^zz++++=EXTRAWORD
low ^jj++++=low-quality
- ^zz++++=EXTRAWORD
quality ^nn+nom+++=EXTRAWORD
evidence ^nn+nom+++=evidence
that ^tht+rel+++=that
active ^jj+atrb+++=active
case ^nn++++=case-finding
- ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=EXTRAWORD
might ^md+pos+++=might
increase ^vb++++=increase
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
cases ^nns++++=cases
of ^in++++=of
tuberculosis ^nn++++=tuberculosis
notified ^vwbn+++xvbn+=notified
in ^in++++=in
populations ^nns+nom+++=populations
with ^in++++=with
structural ^nn++++=structural
risk ^vb++++=risk
factors ^nns++++=factors
for ^in++++=for
tuberculosis ^nn++++=tuberculosis.
. ^zz++++=EXTRAWORD
