Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
Of ^in++++=Of
the ^ati++++=the
229 ^cd++++=229
patients ^nns++++=patients
enrolled ^vbd+++xvbn+=enrolled,
, ^zz++++=EXTRAWORD
153 ^cd++++=153
were ^vbd+bed+aux++=were
randomly ^rb++splt++=randomly
assigned ^vpsv++agls+xvbnx+=assigned
to ^to++++=to
receive ^vbi++++=receive
luspatercept ^nn+++??+=luspatercept
and ^cc++++=and
76 ^cd++++=76
to ^to++++=to
receive ^vbi++++=receive
placebo ^nn+++??+=placebo;
; ^zz++++=EXTRAWORD
the ^ati++++=the
baseline ^nn+++??+=baseline
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
patients ^nns++++=patients
were ^vbd+bed+aux++=were
balanced ^vpsv++agls+xvbnx+=balanced.
. ^zz++++=EXTRAWORD
Transfusion ^nn++++=Transfusion
independence ^nn++++=independence
for ^in++++=for
8 ^zz++++=8
weeks ^nns++++=weeks
or ^cc++++=or
longer ^rbr++++=longer
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
38 ^cd++++=38%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
patients ^nns++++=patients
in ^in++++=in
the ^ati++++=the
luspatercept ^nn+++??+=luspatercept
group ^nn++++=group,
, ^zz++++=EXTRAWORD
as ^in++++=as
compared ^nn++++=compared
with ^in++++=with
13 ^cd++++=13%
% ^zz++++=EXTRAWORD
of ^in++++=of
those ^dt+dem+++=those
in ^in++++=in
the ^ati++++=the
placebo ^nn+++??+=placebo
group ^nn++++=group
( ^zz++++=(P<0.001).
p<0.001 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
higher ^jjr+atrb+++=higher
percentage ^nn++++=percentage
of ^in++++=of
patients ^nns++++=patients
in ^in++++=in
the ^ati++++=the
luspatercept ^nn+++??+=luspatercept
group ^nn++++=group
than ^in++++=than
in ^in++++=in
the ^ati++++=the
placebo ^nn+++??+=placebo
group ^nn++++=group
met ^vbd+++xvbn+=met
the ^ati++++=the
key ^jjb+atrb+++=key
secondary ^jj+atrb+++=secondary
end ^nn++++=end
point ^nn++++=point
( ^zz++++=(28%
28 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
vs ^in+strn+++=vs.
. ^zz++++=EXTRAWORD
8 ^zz++++=8%
% ^zz++++=EXTRAWORD
for ^in++++=for
weeks ^nns++++=weeks
1 ^zz++++=1
through ^in++++=through
24 ^cd++++=24,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
33 ^cd++++=33%
% ^zz++++=EXTRAWORD
vs ^in+strn+++=vs.
. ^zz++++=EXTRAWORD
12 ^cd++++=12%
% ^zz++++=EXTRAWORD
for ^in++++=for
weeks ^nns++++=weeks
1 ^zz++++=1
through ^in++++=through
48 ^cd++++=48;
; ^zz++++=EXTRAWORD
P<0.001 ^np+++??+=P<0.001
for ^in++++=for
both ^abx++++=both
comparisons ^nns++++=comparisons).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
most ^ql+emph+++=most
common ^jj+atrb+++=common
luspatercept ^nn+++??+=luspatercept-associated
- ^zz++++=EXTRAWORD
associated ^vbd+++xvbn+=EXTRAWORD
adverse ^jj+atrb+++=adverse
events ^nns++++=events
( ^zz++++=(of
of ^in++++=EXTRAWORD
any ^dti++++=any
grade ^nn++++=grade)
) ^zz++++=EXTRAWORD
included ^vbd+++xvbn+=included
fatigue ^nn++++=fatigue,
, ^zz++++=EXTRAWORD
diarrhea ^nn+++??+=diarrhea,
, ^zz++++=EXTRAWORD
asthenia ^nn+++??+=asthenia,
, ^zz++++=EXTRAWORD
nausea ^nn++++=nausea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dizziness ^nns+++??+=dizziness.
. ^zz++++=EXTRAWORD
the ^ati++++=The
incidence ^nn++++=incidence
of ^in++++=of
adverse ^jj+atrb+++=adverse
events ^nns++++=events
decreased ^vprf+++xvbn+=decreased
over ^in++++=over
time ^nn++++=time.
. ^zz++++=EXTRAWORD
