Ninety ^cd++++=Ninety-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
percent ^nnu++++=percent
of ^in++++=of
the ^ati++++=the
world ^nn++++=world's
's ^$++++=EXTRAWORD
population ^nn++++=population
lives ^nns++++=lives
in ^in++++=in
areas ^nns++++=areas
exceeding ^vwbg+++xvbg+=exceeding
the ^ati++++=the
World ^nn++++=World
Health ^nn++++=Health
Organization ^nn++++=Organization
( ^zz++++=(WHO)
who ^whp+who+++=EXTRAWORD
) ^zz++++=EXTRAWORD
guideline ^nn+++??+=guideline
for ^in++++=for
healthy ^jj+atrb+++=healthy
air ^nn++++=air
( ^zz++++=(
34 ^cd++++=34
) ^zz++++=).
. ^zz++++=EXTRAWORD
Air ^nn++++=Air
pollution ^nn++++=pollution
is ^vbz+bez+vrb++=is
a ^at++++=a
global ^jj++++=global
leading ^xvbg+++xvbg+=leading
risk ^vb++++=risk
factor ^nn++++=factor
for ^in++++=for
mortality ^nn++++=mortality
and ^cc++++=and
morbidity ^nn+++??+=morbidity
( ^zz++++=(
34 ^cd++++=34
) ^zz++++=).
. ^zz++++=EXTRAWORD
Motorized ^jj+atrb+++=Motorized
vehicles ^nns++++=vehicles
are ^vb+ber+vrb++=are
a ^at++++=a
major ^jj+atrb+++=major
source ^nn++++=source
of ^in++++=of
air ^nn++++=air
pollution ^nn++++=pollution
in ^in++++=in
urban ^jj+atrb+++=urban
areas ^nns++++=areas
( ^zz++++=(
3 ^zz++++=3
, ^zz++++=,
68 ^cd++++=68
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
2015 ^cd++++=2015,
, ^zz++++=EXTRAWORD
estimates ^nns++++=estimates
indicate ^vb+vprv+tht0++=indicate
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
globally ^nn+++??+=globally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
attributable ^jj+atrb+++=attributable
number ^nn++++=number
of ^in++++=of
deaths ^nns++++=deaths
related ^vbd+++xvbn+=related
to ^in++++=to
road ^npl++++=road
transport ^nn++++=transport
air ^nn++++=air
pollution ^nn++++=pollution
was ^vbd+bedz+vrb++=was
250,000 ^cd++++=250,000
( ^zz++++=(
4 ^zz++++=4
) ^zz++++=).
. ^zz++++=EXTRAWORD
Moreover ^rb+cnj+++=Moreover,
, ^zz++++=EXTRAWORD
exposure ^nn++++=exposure
to ^in++++=to
air ^nn++++=air
pollution ^nn++++=pollution
tends ^vbz++++=tends
to ^to+vcmp+++=to
be ^vbi++vrb++=be
greater ^jjr+pred+++=greater
for ^in++++=for
people ^nns++++=people
within ^in++++=within
automobiles ^nns++++=automobiles
than ^in++++=than
for ^in++++=for
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
walking ^vbg+++xvbgx+=walking,
, ^zz++++=EXTRAWORD
cycling ^vbg+++xvbg+=cycling,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
riding ^nvbg+++xvbg+=riding
buses ^nns++++=buses
( ^zz++++=(
22 ^cd++++=22
) ^zz++++=).
. ^zz++++=EXTRAWORD
Transport ^nn++++=Transport-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
air ^nn++++=air
pollution ^nn++++=pollution
emissions ^nns+++??+=emissions
can ^md+pos+++=can
be ^vb+be+aux++=be
classified ^vpsv++agls+xvbn+=classified
as ^ql++++=as
exhaust ^nn++++=exhaust
and ^cc++++=and
nonexhaust ^nn++++=nonexhaust
emissions ^nns++++=emissions.
. ^zz++++=EXTRAWORD
