Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
enrolled ^vbd+++xvbn+=enrolled
821 ^cd++++=821
asymptomatic ^jj+atrb+++=asymptomatic
participants ^nns+nom+++=participants.
. ^zz++++=EXTRAWORD
Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
87.6 ^cd++++=87.6%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
participants ^nns+nom+++=participants
( ^zz++++=(719
719 ^cd++++=EXTRAWORD
of ^in++++=of
821 ^cd++++=821)
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
a ^at++++=a
high ^jj++++=high-risk
- ^zz++++=EXTRAWORD
risk ^vb++++=EXTRAWORD
exposure ^nn++++=exposure
to ^in++++=to
a ^at++++=a
confirmed ^jj+++xvbn+=confirmed
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
contact ^nn++++=contact.
. ^zz++++=EXTRAWORD
The ^ati++++=The
incidence ^nn+nom+++=incidence
of ^in++++=of
new ^jj+atrb+++=new
illness ^nns+nom+++=illness
compatible ^jj++++=compatible
with ^in++++=with
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
differ ^vb++++=differ
significantly ^rb++++=significantly
between ^in++++=between
participants ^nns+nom+++=participants
receiving ^vwbg+++xvbg+=receiving
hydroxychloroquine ^nn+++??+=hydroxychloroquine
( ^zz++++=(49
49 ^cd++++=EXTRAWORD
of ^in++++=of
414 ^cd++++=414
[ ^zz++++=[11.8%])
11.8% ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
those ^dt+dem+++=those
receiving ^jj+atrb++xvbg+=receiving
placebo ^nn+++??+=placebo
( ^zz++++=(58
58 ^cd++++=EXTRAWORD
of ^in++++=of
407 ^cd++++=407
[ ^zz++++=[14.3%]);
14.3%] ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
the ^ati++++=the
absolute ^jj+atrb+++=absolute
difference ^nn+nom+++=difference
was ^vbd+bedz+vrb++=was
2.4 ^cd++++=2.4
percentage ^nn+nom+++=percentage
points ^nns++++=points
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
confidence ^nn+nom+++=confidence
interval ^nn+nom+++=interval,
, ^zz++++=EXTRAWORD
7.0 ^cd++++=7.0
to ^to++++=to
2.2 ^cd++++=2.2;
; ^zz++++=EXTRAWORD
P=0.35 ^np+++??+=P=0.35).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Side ^nn++++=Side
effects ^nns++++=effects
were ^vbd+bed+vrb++=were
more ^rbr++++=more
common ^jj+pred+++=common
with ^in++++=with
hydroxychloroquine ^nn+++??+=hydroxychloroquine
than ^in++++=than
with ^in++++=with
placebo ^nn+++??+=placebo
( ^zz++++=(40.1%
40.1 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
vs ^in+strn+++=vs.
. ^zz++++=EXTRAWORD
16.8% ^cd++++=16.8%),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
serious ^jj+atrb+++=serious
adverse ^jj+atrb+++=adverse
reactions ^nns+nom+++=reactions
were ^vbd+bed+aux++=were
reported ^vbn+vpub+++=reported.
. ^zz++++=EXTRAWORD
